time,voltage,current,percentage
0.0,4.0,0.5,80.0
0.01,4.0,0.5,80.0
0.02,4.0,0.5,80.0
0.039,4.0,0.5,80.0
0.042,4.0,0.5,80.0
0.05,4.0,0.5,80.0
0.06,4.0,0.5,80.0
0.07,4.0,0.5,80.0
0.08,4.0,0.5,80.0
0.099,4.0,0.5,80.0
0.103,4.0,0.5,80.0
0.11,4.0,0.5,80.0
0.12,4.0,0.5,80.0
0.13,4.0,0.5,80.0
0.14,4.0,0.5,80.0
0.159,4.0,0.5,80.0
0.162,4.0,0.5,80.0
0.17,4.0,0.5,80.0
0.18,4.0,0.5,80.0
0.19,4.0,0.5,80.0
0.2,4.0,0.5,80.0
0.215,4.0,0.5,80.0
0.22,4.0,0.5,80.0
0.23,4.0,0.5,80.0
0.24,4.0,0.5,80.0
0.25,4.0,0.5,80.0
0.26,4.0,0.5,80.0
0.278,4.0,0.5,80.0
0.282,4.0,0.5,80.0
0.29,4.0,0.5,80.0
0.3,4.0,0.5,80.0
0.31,4.0,0.5,80.0
0.328,4.0,0.5,80.0
0.332,4.0,0.5,80.0
0.34,4.0,0.5,80.0
0.35,4.0,0.5,80.0
0.36,4.0,0.5,80.0
0.37,4.0,0.5,80.0
0.38,4.0,0.5,80.0
0.393,4.0,0.5,80.0
0.4,4.0,0.5,80.0
0.41,4.0,0.5,80.0
0.42,4.0,0.5,80.0
0.43,4.0,0.5,80.0
0.449,4.0,0.5,80.0
0.453,4.0,0.5,80.0
0.46,4.0,0.5,80.0
0.47,4.0,0.5,80.0
0.48,4.0,0.5,80.0
0.49,4.0,0.5,80.0
0.51,4.0,0.5,80.0
0.513,4.0,0.5,80.0
0.52,4.0,0.5,80.0
0.53,4.0,0.5,80.0
0.54,4.0,0.5,80.0
0.55,4.0,0.5,80.0
0.569,4.0,0.5,80.0
0.573,4.0,0.5,80.0
0.58,4.0,0.5,80.0
0.59,4.0,0.5,80.0
0.6,4.0,0.5,80.0
0.61,4.0,0.5,80.0
0.629,4.0,0.5,80.0
0.633,4.0,0.5,80.0
0.64,4.0,0.5,80.0
0.65,4.0,0.5,80.0
0.66,4.0,0.5,80.0
0.67,4.0,0.5,80.0
0.69,4.0,0.5,80.0
0.693,4.0,0.5,80.0
0.7,4.0,0.5,80.0
0.71,4.0,0.5,80.0
0.72,4.0,0.5,80.0
0.73,4.0,0.5,80.0
0.749,4.0,0.5,80.0
0.753,4.0,0.5,80.0
0.76,4.0,0.5,80.0
0.77,4.0,0.5,80.0
0.78,4.0,0.5,80.0
0.79,4.0,0.5,80.0
1.056,4.0,0.5,80.0
1.066,4.0,0.5,80.0
1.076,4.0,0.5,80.0
1.086,4.0,0.5,80.0
1.096,4.0,0.5,80.0
1.116,4.0,0.5,80.0
1.119,4.0,0.5,80.0
1.126,4.0,0.5,80.0
1.136,4.0,0.5,80.0
1.146,4.0,0.5,80.0
1.156,4.0,0.5,80.0
1.169,4.0,0.5,80.0
1.176,4.0,0.5,80.0
1.186,4.0,0.5,80.0
1.196,4.0,0.5,80.0
1.206,4.0,0.5,80.0
1.216,4.0,0.5,80.0
1.235,4.0,0.5,80.0
1.238,4.0,0.5,80.0
1.246,4.0,0.5,80.0
1.256,4.0,0.5,80.0
1.266,4.0,0.5,80.0
1.285,4.0,0.5,80.0
1.289,4.0,0.5,80.0
1.296,4.0,0.5,80.0
1.306,4.0,0.5,80.0
1.316,4.0,0.5,80.0
1.326,4.0,0.5,80.0
1.336,4.0,0.5,80.0
1.352,4.0,0.5,80.0
1.356,4.0,0.5,80.0
1.366,4.0,0.5,80.0
1.376,4.0,0.5,80.0
1.386,4.0,0.5,80.0
1.405,4.0,0.5,80.0
1.409,4.0,0.5,80.0
1.416,4.0,0.5,80.0
1.426,4.0,0.5,80.0
1.436,4.0,0.5,80.0
1.446,4.0,0.5,80.0
1.466,4.0,0.5,80.0
1.47,4.0,0.5,80.0
1.476,4.0,0.5,80.0
1.486,4.0,0.5,80.0
1.496,4.0,0.5,80.0
1.506,4.0,0.5,80.0
1.525,4.0,0.5,80.0
1.529,4.0,0.5,80.0
