time,voltage,current,percentage
0.0,4.0,0.5,80.0
0.01,4.0,0.5,80.0
0.029,4.0,0.5,80.0
0.032,4.0,0.5,80.0
0.04,4.0,0.5,80.0
0.05,4.0,0.5,80.0
0.06,4.0,0.5,80.0
0.07,4.0,0.5,80.0
0.089,4.0,0.5,80.0
0.093,4.0,0.5,80.0
0.1,4.0,0.5,80.0
0.11,4.0,0.5,80.0
0.12,4.0,0.5,80.0
0.13,4.0,0.5,80.0
0.149,4.0,0.5,80.0
0.153,4.0,0.5,80.0
0.16,4.0,0.5,80.0
0.17,4.0,0.5,80.0
0.18,4.0,0.5,80.0
0.19,4.0,0.5,80.0
0.209,4.0,0.5,80.0
0.213,4.0,0.5,80.0
0.22,4.0,0.5,80.0
0.23,4.0,0.5,80.0
0.24,4.0,0.5,80.0
0.25,4.0,0.5,80.0
0.269,4.0,0.5,80.0
0.272,4.0,0.5,80.0
0.28,4.0,0.5,80.0
0.29,4.0,0.5,80.0
0.3,4.0,0.5,80.0
0.31,4.0,0.5,80.0
0.329,4.0,0.5,80.0
0.333,4.0,0.5,80.0
0.34,4.0,0.5,80.0
0.35,4.0,0.5,80.0
0.36,4.0,0.5,80.0
0.37,4.0,0.5,80.0
0.389,4.0,0.5,80.0
0.393,4.0,0.5,80.0
0.4,4.0,0.5,80.0
0.41,4.0,0.5,80.0
0.42,4.0,0.5,80.0
0.43,4.0,0.5,80.0
0.449,4.0,0.5,80.0
0.452,4.0,0.5,80.0
0.46,4.0,0.5,80.0
0.47,4.0,0.5,80.0
0.48,4.0,0.5,80.0
0.49,4.0,0.5,80.0
0.503,4.0,0.5,80.0
0.51,4.0,0.5,80.0
0.52,4.0,0.5,80.0
0.53,4.0,0.5,80.0
0.54,4.0,0.5,80.0
0.55,4.0,0.5,80.0
0.566,4.0,0.5,80.0
0.57,4.0,0.5,80.0
0.58,4.0,0.5,80.0
0.59,4.0,0.5,80.0
0.6,4.0,0.5,80.0
0.618,4.0,0.5,80.0
0.622,4.0,0.5,80.0
0.63,4.0,0.5,80.0
0.64,4.0,0.5,80.0
0.65,4.0,0.5,80.0
0.66,4.0,0.5,80.0
0.67,4.0,0.5,80.0
0.682,4.0,0.5,80.0
0.69,4.0,0.5,80.0
0.7,4.0,0.5,80.0
0.71,4.0,0.5,80.0
0.72,4.0,0.5,80.0
0.739,4.0,0.5,80.0
0.743,4.0,0.5,80.0
0.75,4.0,0.5,80.0
0.76,4.0,0.5,80.0
0.77,4.0,0.5,80.0
0.78,4.0,0.5,80.0
0.798,4.0,0.5,80.0
0.803,4.0,0.5,80.0
0.81,4.0,0.5,80.0
0.82,4.0,0.5,80.0
0.83,4.0,0.5,80.0
0.84,4.0,0.5,80.0
0.859,4.0,0.5,80.0
0.863,4.0,0.5,80.0
0.87,4.0,0.5,80.0
0.88,4.0,0.5,80.0
0.89,4.0,0.5,80.0
0.9,4.0,0.5,80.0
0.92,4.0,0.5,80.0
0.923,4.0,0.5,80.0
0.93,4.0,0.5,80.0
0.94,4.0,0.5,80.0
0.95,4.0,0.5,80.0
0.96,4.0,0.5,80.0
0.979,4.0,0.5,80.0
0.983,4.0,0.5,80.0
0.99,4.0,0.5,80.0
1.174,4.0,0.5,80.0
1.184,4.0,0.5,80.0
1.194,4.0,0.5,80.0
1.204,4.0,0.5,80.0
1.224,4.0,0.5,80.0
1.228,4.0,0.5,80.0
1.234,4.0,0.5,80.0
1.244,4.0,0.5,80.0
1.254,4.0,0.5,80.0
1.264,4.0,0.5,80.0
1.277,4.0,0.5,80.0
1.284,4.0,0.5,80.0
1.294,4.0,0.5,80.0
1.304,4.0,0.5,80.0
1.314,4.0,0.5,80.0
1.324,4.0,0.5,80.0
1.34,4.0,0.5,80.0
1.344,4.0,0.5,80.0
1.354,4.0,0.5,80.0
1.364,4.0,0.5,80.0
1.374,4.0,0.5,80.0
1.393,4.0,0.5,80.0
1.397,4.0,0.5,80.0
1.404,4.0,0.5,80.0
1.414,4.0,0.5,80.0
1.424,4.0,0.5,80.0
1.434,4.0,0.5,80.0
1.453,4.0,0.5,80.0
