time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.0,3.7914273738861084,-8.830711364746094,2.2061824798583984,0.021838432177901268,-0.0018325956771150231,-0.02672535367310047,-54.048526763916016,46.4191780090332,-41.91756820678711
0.01,3.7603206634521484,-8.889335632324219,2.200200319290161,0.020158551633358,-0.003359758760780096,-0.02122756652534008,-53.68313217163086,46.22917175292969,-41.639869689941406
0.029,3.823730707168579,-8.86660385131836,2.203789472579956,0.01237002108246088,0.005192354787141085,-0.01710422709584236,-53.68313217163086,45.62993240356445,-41.81526184082031
0.032,3.8691940307617188,-8.868996620178223,2.2121644020080566,0.010842857882380486,0.00809396430850029,-0.016340645030140877,-54.32621765136719,46.05378341674805,-41.66910171508789
0.04,3.867997646331787,-8.818747520446777,2.2193429470062256,0.0013744467869400978,0.0177150908857584,-0.014049900695681572,-53.69774627685547,46.112247467041016,-41.756797790527344
0.05,3.8799617290496826,-8.769694328308105,2.1786649227142334,-0.011301006190478802,0.022907447069883347,-0.018478674814105034,-53.30312728881836,46.316864013671875,-41.2452507019043
0.06,3.9457645416259766,-8.714659690856934,2.121237277984619,-0.01191187184303999,0.026572639122605324,-0.022907447069883347,-53.78544235229492,46.1414794921875,-41.85910415649414
0.07,3.9900314807891846,-8.708678245544434,2.1511476039886475,-0.012064589187502861,0.030695976689457893,-0.026419920846819878,-53.843902587890625,45.8199348449707,-40.879859924316406
0.089,4.019941806793213,-8.70508861541748,2.1846470832824707,-0.013286319561302662,0.03252857178449631,-0.029626963660120964,-53.624671936035156,46.185325622558594,-41.80064392089844
0.093,4.035495281219482,-8.639286041259766,2.1535403728485107,-0.013591751456260681,0.02626720443367958,-0.03405573591589928,-53.97544479370117,45.922245025634766,-40.952938079833984
0.1,3.9912281036376953,-8.57946491241455,2.1403796672821045,-0.014049900695681572,0.02076941914856434,-0.03390302136540413,-53.5369758605957,46.22917175292969,-41.21601867675781
0.11,3.9361932277679443,-8.555537223815918,2.091326951980591,-0.0088575454428792,0.0032070425804704428,-0.03039054572582245,-53.27389907836914,45.732242584228516,-42.136802673339844
0.12,3.9361932277679443,-8.682356834411621,2.1200408935546875,0.001527163083665073,-0.016493361443281174,-0.025503622367978096,-53.639286041259766,46.375328063964844,-41.23063278198242
0.13,3.895514965057373,-8.774479866027832,2.1619153022766113,0.012980885803699493,-0.03191770985722542,-0.01817324012517929,-53.434669494628906,46.05378341674805,-41.56679153442383
0.149,3.8727831840515137,-8.855835914611816,2.225324869155884,0.01237002108246088,-0.014660765416920185,-0.018936822190880775,-53.4200553894043,46.33148193359375,-41.61064147949219
0.153,3.8009984493255615,-8.86660385131836,2.287538528442383,0.008399397134780884,-0.0025961773935705423,-0.022907447069883347,-53.4200553894043,46.477638244628906,-42.0052604675293
0.16,3.786641836166382,-8.845067977905273,2.2504496574401855,0.0007635815418325365,0.016035212203860283,-0.027030786499381065,-53.69774627685547,46.170711517333984,-42.10757064819336
0.17,3.775874137878418,-8.797212600708008,2.2061824798583984,-0.003054326167330146,0.02825251594185829,-0.028099801391363144,-53.639286041259766,46.097633361816406,-42.063724517822266
0.18,3.844069242477417,-8.804390907287598,2.1367905139923096,-0.0019853119738399982,0.022602012380957603,-0.026114489883184433,-53.127742767333984,46.19994354248047,-42.09295654296875
0.19,3.85483717918396,-8.794819831848145,2.108076810836792,0.01114829070866108,0.010690141469240189,-0.01725694164633751,-52.952354431152344,45.556854248046875,-41.97603225708008
0.209,3.8871400356292725,-8.740981101989746,2.1236300468444824,0.02535090781748295,-0.026419920846819878,-0.00015271631127689034,-53.08388900756836,45.89301300048828,-41.39140701293945
0.213,3.895514965057373,-8.700303077697754,2.1128623485565186,0.02535090781748295,-0.03375030308961868,0.0003054326225537807,-53.17158508300781,45.96609115600586,-41.36217498779297
0.22,3.912264823913574,-8.715856552124023,2.115255117416382,0.025503622367978096,-0.03756821155548096,-0.0004581489192787558,-53.478515625,46.40456008911133,-42.16603469848633
0.23,3.94815731048584,-8.775676727294922,2.0889341831207275,0.025045473128557205,-0.04199698567390442,-0.0009162978385575116,-53.244667053222656,46.477638244628906,-41.56679153442383
0.24,3.964907169342041,-8.790033340454102,2.0781664848327637,0.024434609338641167,-0.03894266113638878,-0.0027488935738801956,-53.28851318359375,46.43379211425781,-40.894474029541016
0.25,3.9768712520599365,-8.790033340454102,2.062613010406494,0.027641652151942253,-0.028405234217643738,-0.00855211354792118,-53.05466079711914,45.90762710571289,-41.40602111816406
0.269,3.9361932277679443,-8.767301559448242,2.0781664848327637,0.012675453908741474,-0.00015271631127689034,-0.02382374368607998,-52.83543014526367,46.15609359741211,-41.28909683227539
0.272,3.9361932277679443,-8.721837997436523,2.084148406982422,0.005192354787141085,0.006108652334660292,-0.027030786499381065,-53.46390151977539,45.51300811767578,-41.80064392089844
0.28,3.9146575927734375,-8.681159973144531,2.0721843242645264,-0.005803219974040985,0.015577062964439392,-0.031001411378383636,-53.5369758605957,46.05378341674805,-42.01987838745117
0.29,3.906282901763916,-8.665606498718262,2.062613010406494,-0.022907447069883347,0.020463986322283745,-0.03787364438176155,-53.01081466674805,46.126861572265625,-41.3037109375
0.3,3.906282901763916,-8.664410591125488,2.0578272342681885,-0.03145955875515938,0.01863138936460018,-0.04046982154250145,-53.215431213378906,46.33148193359375,-41.78602600097656
0.31,3.9661033153533936,-8.718249320983887,2.0817556381225586,-0.03176499158143997,0.0073303827084600925,-0.03481931984424591,-53.71236038208008,46.27302169799805,-41.39140701293945
0.329,4.015156269073486,-8.773283958435059,2.1236300468444824,-0.019547687843441963,-0.03481931984424591,-0.022602012380957603,-53.36158752441406,46.21455764770508,-41.6252555847168
0.333,3.9936206340789795,-8.800801277160645,2.128415822982788,-0.016340645030140877,-0.03848451003432274,-0.020922133699059486,-53.37620544433594,46.185325622558594,-41.97603225708008
0.34,3.9517464637756348,-8.776873588562012,2.1475582122802734,-0.009468411095440388,-0.04642575979232788,-0.01878410577774048,-53.449283599853516,46.40456008911133,-41.84449005126953
0.35,3.9110684394836426,-8.763712882995605,2.1511476039886475,0.0009162978385575116,-0.04352414980530739,-0.01817324012517929,-53.27389907836914,46.02455520629883,-41.46448516845703
0.36,3.816551923751831,-8.699106216430664,2.1846470832824707,0.0036651913542300463,-0.025503622367978096,-0.021074850112199783,-53.23004913330078,46.302249908447266,-41.34756088256836
0.37,3.8428730964660645,-8.678768157958984,2.197807550430298,-0.0009162978385575116,-0.009926560334861279,-0.02672535367310047,-52.79158401489258,45.790706634521484,-41.2452507019043
0.389,3.8560335636138916,-8.69791030883789,2.20737886428833,0.0019853119738399982,0.02825251594185829,-0.03176499158143997,-53.04004669189453,45.84916687011719,-41.186790466308594
0.393,3.827319860458374,-8.676374435424805,2.1894326210021973,0.003359758760780096,0.031001411378383636,-0.031001411378383636,-53.01081466674805,46.22917175292969,-40.689857482910156
0.4,3.7902309894561768,-8.645268440246582,2.17627215385437,0.004886921960860491,0.0377209298312664,-0.030543262138962746,-53.4200553894043,46.24378967285156,-40.309852600097656
0.41,3.7639100551605225,-8.657232284545898,2.1678972244262695,0.010079275816679,0.040622539818286896,-0.026572639122605324,-53.1569709777832,45.995323181152344,-41.318328857421875
0.42,3.8021950721740723,-8.723034858703613,2.1607186794281006,0.020616700872778893,0.032070424407720566,-0.019089538604021072,-53.06927490234375,46.63841247558594,-41.91756820678711
0.43,3.8763725757598877,-8.865407943725586,2.194218397140503,0.033139437437057495,0.020005837082862854,-0.010537425056099892,-52.77696990966797,46.27302169799805,-41.59602355957031
0.449,3.913461446762085,-8.848657608032227,2.1858434677124023,0.05574145168066025,0.02687807008624077,0.003054326167330146,-52.76234817504883,46.550716400146484,-42.0052604675293
0.452,3.9218363761901855,-8.791230201721191,2.179861307144165,0.056810468435287476,0.03130684420466423,0.0050396379083395,-53.40544128417969,46.49225616455078,-41.99064636230469
0.46,3.9385857582092285,-8.669196128845215,2.17627215385437,0.058948494493961334,0.043676864355802536,0.0036651913542300463,-53.17158508300781,46.477638244628906,-42.29757308959961
0.47,3.974478244781494,-8.572286605834961,2.155933141708374,0.052839841693639755,0.05696318298578262,0.0025961773935705423,-52.908504486083984,46.360713958740234,-41.91756820678711
0.48,4.01037073135376,-8.60219669342041,2.149951219558716,0.04260785132646561,0.05314527824521065,-0.0027488935738801956,-52.99620056152344,46.71148681640625,-41.727561950683594
0.49,4.060619831085205,-8.677571296691895,2.137986898422241,0.03527746722102165,0.04199698567390442,-0.01572977937757969,-53.30312728881836,46.097633361816406,-41.698333740234375
0.503,4.132404327392578,-8.770891189575195,2.1068801879882812,0.03634648025035858,0.044287726283073425,-0.01970040239393711,-53.40544128417969,46.24378967285156,-41.142940521240234
0.51,4.144368648529053,-8.748159408569336,2.108076810836792,0.04001167416572571,0.04795292019844055,-0.019394971430301666,-53.49312973022461,46.22917175292969,-41.522945404052734
0.52,4.163511276245117,-8.695516586303711,2.0985054969787598,0.04612032324075699,0.03191770985722542,-0.016798794269561768,-53.55158996582031,46.15609359741211,-40.952938079833984
0.53,4.096512317657471,-8.651249885559082,2.084148406982422,0.0455094613134861,0.0044287727214396,-0.012980885803699493,-53.06927490234375,46.08301544189453,-41.186790466308594
0.54,3.9732820987701416,-8.635696411132812,2.0673987865448,0.04734205827116966,-0.015271631069481373,-0.01710422709584236,-53.653900146484375,46.43379211425781,-42.268341064453125
0.55,3.9314074516296387,-8.707481384277344,2.1188442707061768,0.0481056347489357,-0.017867807298898697,-0.024434609338641167,-53.4200553894043,46.521484375,-42.19526290893555
0.566,3.988835334777832,-8.779266357421875,2.2229323387145996,0.0377209298312664,0.0044287727214396,-0.03145955875515938,-52.733116149902344,46.4191780090332,-42.516807556152344
0.57,3.9936206340789795,-8.757730484008789,2.231307029724121,0.03252857178449631,0.01542434748262167,-0.029474247246980667,-52.64542770385742,46.521484375,-42.76527404785156
0.58,3.998406410217285,-8.702695846557617,2.170289993286133,0.03145955875515938,0.02626720443367958,-0.030085112899541855,-53.06927490234375,46.477638244628906,-42.91142654418945
0.59,3.9732820987701416,-8.688338279724121,2.190629005432129,0.03084869496524334,0.02367102913558483,-0.025045473128557205,-52.85004425048828,46.302249908447266,-42.136802673339844
0.6,3.9493536949157715,-8.706284523010254,2.1678972244262695,0.03191770985722542,0.008246680721640587,-0.019853120669722557,-53.40544128417969,46.44840621948242,-41.47909927368164
0.618,3.9326038360595703,-8.766105651855469,2.1583259105682373,0.038026362657547,-0.007788531482219696,-0.014813481830060482,-53.215431213378906,46.15609359741211,-41.727561950683594
0.622,3.896711587905884,-8.798408508300781,2.203789472579956,0.04444044828414917,-0.028099801391363144,-0.003359758760780096,-53.814674377441406,46.550716400146484,-42.809120178222656
0.63,3.841676712036133,-8.828319549560547,2.2803597450256348,0.04459316283464432,-0.03481931984424591,0.0032070425804704428,-53.23004913330078,46.097633361816406,-41.47909927368164
0.64,3.816551923751831,-8.842676162719727,2.2803597450256348,0.04153883829712868,-0.04001167416572571,0.0088575454428792,-53.56621170043945,46.57994842529297,-42.58988571166992
0.65,3.7220354080200195,-8.818747520446777,2.252842426300049,0.04214970022439957,-0.027030786499381065,0.012064589187502861,-53.36158752441406,46.097633361816406,-43.01374053955078
0.66,3.6526436805725098,-8.761320114135742,2.26959228515625,0.041233401745557785,-0.0007635815418325365,0.008399397134780884,-53.50774383544922,46.43379211425781,-42.91142654418945
0.67,3.658625841140747,-8.724230766296387,2.328216314315796,0.020005837082862854,0.03436116874217987,0.004123340360820293,-53.46390151977539,45.84916687011719,-42.72142791748047
0.682,3.7316067218780518,-8.762516021728516,2.337787628173828,-0.004123340360820293,0.06322455406188965,-0.004734205547720194,-53.97544479370117,46.44840621948242,-41.43525314331055
0.69,3.806980848312378,-8.788837432861328,2.3509480953216553,-0.012828170321881771,0.07742717117071152,-0.0050396379083395,-53.34697341918945,46.112247467041016,-41.712947845458984
0.7,3.889533042907715,-8.779266357421875,2.3533408641815186,-0.01237002108246088,0.08857545256614685,-0.0064140851609408855,-53.50774383544922,46.56533432006836,-42.39988327026367
0.71,3.9553356170654297,-8.7505521774292,2.3509480953216553,-0.00809396430850029,0.08811730891466141,-0.006719517521560192,-52.937740325927734,45.86378479003906,-42.18064880371094
0.72,3.9912281036376953,-8.676374435424805,2.3234305381774902,-0.0007635815418325365,0.07391469925642014,-0.005803219974040985,-53.36158752441406,46.360713958740234,-42.41449737548828
0.739,4.006781578063965,-8.615358352661133,2.3270199298858643,0.004123340360820293,0.059406641870737076,-0.004886921960860491,-53.2008171081543,45.761470794677734,-43.11604690551758
0.743,4.033102512359619,-8.551947593688965,2.334198474884033,0.009773843921720982,0.049785517156124115,-0.007941247895359993,-53.7562141418457,46.346099853515625,-43.30604934692383
0.75,4.051048755645752,-8.622536659240723,2.3473589420318604,0.01817324012517929,0.04444044828414917,-0.0088575454428792,-53.17158508300781,46.50687026977539,-42.98450469970703
0.76,4.028316974639893,-8.675178527832031,2.352144718170166,0.031154125928878784,0.03405573591589928,-0.006261368282139301,-53.741600036621094,46.375328063964844,-42.823734283447266
0.77,4.0079779624938965,-8.739784240722656,2.3712871074676514,0.04138611629605293,0.026114489883184433,-0.0027488935738801956,-53.27389907836914,46.477638244628906,-42.79450607299805
0.78,3.9421751499176025,-8.754141807556152,2.407179594039917,0.04245513305068016,0.023518310859799385,0.00015271631127689034,-53.434669494628906,46.40456008911133,-42.312191009521484
0.798,3.8488550186157227,-8.729016304016113,2.3641088008880615,0.041691552847623825,0.033139437437057495,0.001679879380390048,-53.332359313964844,45.995323181152344,-43.072200775146484
0.803,3.867997646331787,-8.706284523010254,2.3509480953216553,0.03985895588994026,0.04612032324075699,0.0018325956771150231,-53.69774627685547,46.550716400146484,-42.429115295410156
0.81,3.8835508823394775,-8.673981666564941,2.3473589420318604,0.03940080478787422,0.04703662171959877,0.005345070734620094,-53.06927490234375,45.65916442871094,-42.049110412597656
0.82,3.933800458908081,-8.670392990112305,2.337787628173828,0.03695734962821007,0.04444044828414917,0.003817907767370343,-53.36158752441406,46.06840133666992,-42.6629638671875
0.83,3.944568157196045,-8.63330364227295,2.3258235454559326,0.03649919852614403,0.05161811038851738,-0.002138028386980295,-53.77082824707031,45.746856689453125,-43.84682846069336
0.84,4.0079779624938965,-8.622536659240723,2.3497517108917236,0.03451388329267502,0.05604688450694084,-0.0064140851609408855,-53.25928497314453,46.112247467041016,-42.999122619628906
0.859,4.039084434509277,-8.639286041259766,2.3186450004577637,0.03344487026333809,0.05665775015950203,-0.013439035043120384,-53.46390151977539,45.96609115600586,-42.95527648925781
0.863,4.113262176513672,-8.694320678710938,2.310270071029663,0.040164388716220856,0.05253440886735916,-0.018325956538319588,-53.5369758605957,46.65302658081055,-42.85296630859375
0.87,4.122833251953125,-8.706284523010254,2.289931058883667,0.04581489413976669,0.04993823170661926,-0.020463986322283745,-53.127742767333984,45.96609115600586,-43.17451095581055
0.88,4.0905303955078125,-8.700303077697754,2.258824348449707,0.052839841693639755,0.040164388716220856,-0.016951510682702065,-53.18620300292969,46.40456008911133,-42.92604446411133
0.89,4.036691665649414,-8.687142372131348,2.2301106452941895,0.05253440886735916,0.02977968007326126,-0.016798794269561768,-53.0985107421875,46.22917175292969,-43.27682113647461
0.9,3.999603033065796,-8.723034858703613,2.225324869155884,0.04703662171959877,0.013591751456260681,-0.014660765416920185,-53.332359313964844,46.63841247558594,-42.96989059448242
0.92,3.9972100257873535,-8.756534576416016,2.231307029724121,0.040317103266716,0.0036651913542300463,-0.013439035043120384,-53.113128662109375,46.62379455566406,-43.072200775146484
0.923,3.9696924686431885,-8.688338279724121,2.2336997985839844,0.0328340083360672,0.007788531482219696,-0.010079275816679,-53.68313217163086,46.24378967285156,-42.6629638671875
0.93,3.9397823810577393,-8.673981666564941,2.2468602657318115,0.024129178375005722,0.010690141469240189,-0.01160643994808197,-53.5369758605957,46.44840621948242,-42.95527648925781
0.94,3.9349966049194336,-8.663214683532715,2.287538528442383,0.008246680721640587,0.011759155429899693,-0.015118913725018501,-53.5369758605957,46.682254791259766,-42.692195892333984
0.95,3.967299699783325,-8.6967134475708,2.2815563678741455,-0.0003054326225537807,0.015577062964439392,-0.016340645030140877,-53.522361755371094,46.08301544189453,-42.47296142578125
0.96,4.027120590209961,-8.715856552124023,2.27677059173584,0.0004581489192787558,0.013439035043120384,-0.015882495790719986,-53.814674377441406,46.59456253051758,-42.96989059448242
0.979,4.0247273445129395,-8.715856552124023,2.3270199298858643,0.0012217304902151227,0.0024434609804302454,-0.01572977937757969,-53.317745208740234,46.24378967285156,-41.84449005126953
0.983,3.9912281036376953,-8.725427627563477,2.355733871459961,0.003054326167330146,-0.019089538604021072,-0.010690141469240189,-53.55158996582031,46.726104736328125,-42.58988571166992
0.99,3.9003007411956787,-8.730213165283203,2.348555326461792,0.004886921960860491,-0.021074850112199783,-0.009162978269159794,-53.36158752441406,46.360713958740234,-43.057586669921875
