time,voltage,current,percentage
0.0,4.0,0.5,80.0
0.01,4.0,0.5,80.0
0.029,4.0,0.5,80.0
0.033,4.0,0.5,80.0
0.04,4.0,0.5,80.0
0.05,4.0,0.5,80.0
0.06,4.0,0.5,80.0
0.07,4.0,0.5,80.0
0.09,4.0,0.5,80.0
0.093,4.0,0.5,80.0
0.1,4.0,0.5,80.0
0.11,4.0,0.5,80.0
0.12,4.0,0.5,80.0
0.13,4.0,0.5,80.0
0.149,4.0,0.5,80.0
0.152,4.0,0.5,80.0
0.16,4.0,0.5,80.0
0.17,4.0,0.5,80.0
0.18,4.0,0.5,80.0
0.19,4.0,0.5,80.0
0.203,4.0,0.5,80.0
0.21,4.0,0.5,80.0
0.22,4.0,0.5,80.0
0.23,4.0,0.5,80.0
0.24,4.0,0.5,80.0
0.259,4.0,0.5,80.0
0.263,4.0,0.5,80.0
0.27,4.0,0.5,80.0
0.28,4.0,0.5,80.0
0.29,4.0,0.5,80.0
0.3,4.0,0.5,80.0
0.32,4.0,0.5,80.0
0.324,4.0,0.5,80.0
0.33,4.0,0.5,80.0
0.34,4.0,0.5,80.0
0.35,4.0,0.5,80.0
0.36,4.0,0.5,80.0
0.379,4.0,0.5,80.0
0.383,4.0,0.5,80.0
0.39,4.0,0.5,80.0
0.4,4.0,0.5,80.0
0.41,4.0,0.5,80.0
0.42,4.0,0.5,80.0
0.44,4.0,0.5,80.0
0.443,4.0,0.5,80.0
0.45,4.0,0.5,80.0
0.46,4.0,0.5,80.0
0.47,4.0,0.5,80.0
0.48,4.0,0.5,80.0
0.5,4.0,0.5,80.0
0.504,4.0,0.5,80.0
0.51,4.0,0.5,80.0
0.52,4.0,0.5,80.0
0.53,4.0,0.5,80.0
0.54,4.0,0.5,80.0
0.559,4.0,0.5,80.0
0.563,4.0,0.5,80.0
0.57,4.0,0.5,80.0
0.58,4.0,0.5,80.0
0.59,4.0,0.5,80.0
0.6,4.0,0.5,80.0
0.619,4.0,0.5,80.0
0.622,4.0,0.5,80.0
0.63,4.0,0.5,80.0
0.64,4.0,0.5,80.0
0.65,4.0,0.5,80.0
0.66,4.0,0.5,80.0
0.68,4.0,0.5,80.0
0.683,4.0,0.5,80.0
0.69,4.0,0.5,80.0
0.7,4.0,0.5,80.0
0.71,4.0,0.5,80.0
0.72,4.0,0.5,80.0
0.732,4.0,0.5,80.0
0.74,4.0,0.5,80.0
0.75,4.0,0.5,80.0
0.76,4.0,0.5,80.0
0.77,4.0,0.5,80.0
0.78,4.0,0.5,80.0
0.793,4.0,0.5,80.0
0.8,4.0,0.5,80.0
0.81,4.0,0.5,80.0
0.82,4.0,0.5,80.0
0.83,4.0,0.5,80.0
0.85,4.0,0.5,80.0
0.854,4.0,0.5,80.0
0.86,4.0,0.5,80.0
0.87,4.0,0.5,80.0
0.88,4.0,0.5,80.0
0.89,4.0,0.5,80.0
0.909,4.0,0.5,80.0
0.912,4.0,0.5,80.0
0.92,4.0,0.5,80.0
0.93,4.0,0.5,80.0
0.94,4.0,0.5,80.0
0.95,4.0,0.5,80.0
0.969,4.0,0.5,80.0
0.973,4.0,0.5,80.0
0.98,4.0,0.5,80.0
0.99,4.0,0.5,80.0
1.0,4.0,0.5,80.0
1.01,4.0,0.5,80.0
1.029,4.0,0.5,80.0
1.033,4.0,0.5,80.0
1.04,4.0,0.5,80.0
1.05,4.0,0.5,80.0
1.06,4.0,0.5,80.0
1.07,4.0,0.5,80.0
1.09,4.0,0.5,80.0
1.093,4.0,0.5,80.0
1.1,4.0,0.5,80.0
1.11,4.0,0.5,80.0
1.12,4.0,0.5,80.0
1.138,4.0,0.5,80.0
1.142,4.0,0.5,80.0
1.15,4.0,0.5,80.0
1.16,4.0,0.5,80.0
1.17,4.0,0.5,80.0
1.18,4.0,0.5,80.0
1.19,4.0,0.5,80.0
1.203,4.0,0.5,80.0
1.21,4.0,0.5,80.0
1.22,4.0,0.5,80.0
1.23,4.0,0.5,80.0
1.24,4.0,0.5,80.0
1.259,4.0,0.5,80.0
1.263,4.0,0.5,80.0
1.27,4.0,0.5,80.0
