time,voltage,current,percentage
0.0,4.0,0.5,80.0
0.009,4.0,0.5,80.0
0.019,4.0,0.5,80.0
0.039,4.0,0.5,80.0
0.042,4.0,0.5,80.0
0.05,4.0,0.5,80.0
0.06,4.0,0.5,80.0
0.07,4.0,0.5,80.0
0.08,4.0,0.5,80.0
0.099,4.0,0.5,80.0
0.103,4.0,0.5,80.0
0.11,4.0,0.5,80.0
0.12,4.0,0.5,80.0
0.13,4.0,0.5,80.0
0.14,4.0,0.5,80.0
0.159,4.0,0.5,80.0
0.163,4.0,0.5,80.0
0.17,4.0,0.5,80.0
0.18,4.0,0.5,80.0
0.19,4.0,0.5,80.0
0.2,4.0,0.5,80.0
0.219,4.0,0.5,80.0
0.223,4.0,0.5,80.0
0.23,4.0,0.5,80.0
0.24,4.0,0.5,80.0
0.25,4.0,0.5,80.0
0.26,4.0,0.5,80.0
0.279,4.0,0.5,80.0
0.283,4.0,0.5,80.0
0.29,4.0,0.5,80.0
0.3,4.0,0.5,80.0
0.31,4.0,0.5,80.0
0.32,4.0,0.5,80.0
0.339,4.0,0.5,80.0
0.342,4.0,0.5,80.0
0.35,4.0,0.5,80.0
0.36,4.0,0.5,80.0
0.37,4.0,0.5,80.0
0.38,4.0,0.5,80.0
0.399,4.0,0.5,80.0
0.403,4.0,0.5,80.0
0.41,4.0,0.5,80.0
0.42,4.0,0.5,80.0
0.43,4.0,0.5,80.0
0.44,4.0,0.5,80.0
0.459,4.0,0.5,80.0
0.462,4.0,0.5,80.0
0.47,4.0,0.5,80.0
0.48,4.0,0.5,80.0
0.49,4.0,0.5,80.0
0.5,4.0,0.5,80.0
0.518,4.0,0.5,80.0
0.521,4.0,0.5,80.0
0.53,4.0,0.5,80.0
0.54,4.0,0.5,80.0
0.55,4.0,0.5,80.0
0.56,4.0,0.5,80.0
0.579,4.0,0.5,80.0
0.583,4.0,0.5,80.0
0.59,4.0,0.5,80.0
0.6,4.0,0.5,80.0
0.61,4.0,0.5,80.0
0.62,4.0,0.5,80.0
0.633,4.0,0.5,80.0
0.64,4.0,0.5,80.0
0.65,4.0,0.5,80.0
0.66,4.0,0.5,80.0
0.67,4.0,0.5,80.0
0.68,4.0,0.5,80.0
0.696,4.0,0.5,80.0
0.7,4.0,0.5,80.0
0.71,4.0,0.5,80.0
0.72,4.0,0.5,80.0
0.73,4.0,0.5,80.0
0.748,4.0,0.5,80.0
0.752,4.0,0.5,80.0
