time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.0,58.226985931396484,-11.41555404663086,-27.198131561279297,17.453292846679688,-8.39356803894043,-1.7320060729980469,-22.05000114440918,5.700000286102295,-18.30000114440918
0.009,72.01758575439453,1.4173674583435059,-32.44622039794922,6.128636837005615,-10.125574111938477,0.1332312375307083,-22.05000114440918,5.700000286102295,-18.30000114440918
0.019,70.44699096679688,2.183511972427368,-34.782962799072266,11.591117858886719,-1.9984685182571411,9.859111785888672,-21.150001525878906,6.300000190734863,-19.200000762939453
0.039,68.03363800048828,-0.1149216815829277,-34.591426849365234,-15.055130004882812,10.791729927062988,2.131699800491333,-20.55000114440918,5.400000095367432,-17.55000114440918
0.042,70.06391906738281,0.6512228846549988,-34.51481246948242,-29.31087303161621,18.91883659362793,0.1332312375307083,-22.05000114440918,6.450000286102295,-17.55000114440918
0.05,73.664794921875,4.098873138427734,-30.109479904174805,-26.779478073120117,12.523736000061035,-0.39969372749328613,-21.150001525878906,4.350000381469727,-16.650001525878906
0.06,75.61846923828125,3.869029998779297,-28.38565444946289,-24.381317138671875,5.329249382019043,-7.860642910003662,-21.150001525878906,4.350000381469727,-16.650001525878906
0.07,76.42292022705078,3.5625722408294678,-28.309040069580078,-25.580398559570312,-2.6646246910095215,-4.529861927032471,-21.450000762939453,5.100000381469727,-18.450000762939453
0.08,75.12047576904297,5.1331682205200195,-27.696125030517578,-9.326186180114746,-18.119447708129883,-17.053598403930664,-21.900001525878906,4.800000190734863,-16.650001525878906
0.099,74.92893981933594,7.2783732414245605,-31.7183837890625,-1.3323123455047607,-21.84992218017578,-14.655436515808105,-21.900001525878906,3.6000001430511475,-18.150001525878906
0.103,73.6264877319336,5.439626216888428,-30.530860900878906,-3.197549819946289,-22.249616622924805,-11.990811347961426,-22.80000114440918,4.950000286102295,-18.30000114440918
0.11,72.4006576538086,4.9799394607543945,-33.097442626953125,-7.72741174697876,-14.522205352783203,-18.652372360229492,-22.5,6.450000286102295,-18.0
0.12,71.09821319580078,2.5665841102600098,-32.21637725830078,-5.728943347930908,-13.189892768859863,-7.9938740730285645,-22.5,6.450000286102295,-18.0
0.13,67.91871643066406,-0.38307225704193115,-34.782962799072266,-16.387441635131836,-4.396630764007568,-11.591117858886719,-22.05000114440918,6.450000286102295,-17.55000114440918
0.14,69.14454650878906,3.2178070545196533,-33.365596771240234,-30.509952545166016,18.385910034179688,-15.854516983032227,-21.30000114440918,5.700000286102295,-18.0
0.159,70.52360534667969,4.290409564971924,-33.05913543701172,-16.520673751831055,10.258805274963379,-8.793261528015137,-21.450000762939453,5.550000190734863,-17.700000762939453
0.163,71.48128509521484,4.520252704620361,-30.952239990234375,-23.581928253173828,18.2526798248291,-13.456355094909668,-20.55000114440918,4.5,-17.55000114440918
0.17,74.20109558105469,6.550535678863525,-28.692113876342773,-13.856048583984375,19.45176124572754,-21.183767318725586,-20.55000114440918,4.5,-17.55000114440918
0.18,74.08617401123047,8.159439086914062,-28.155811309814453,0.6661561727523804,9.459418296813965,-24.381317138671875,-21.0,4.950000286102295,-18.30000114440918
0.19,74.62248229980469,7.201758861541748,-28.8453426361084,14.12251091003418,-6.794793128967285,-16.25421142578125,-21.30000114440918,5.700000286102295,-17.55000114440918
0.2,75.38862609863281,6.512228488922119,-28.53888511657715,13.58958625793457,-6.9280242919921875,-24.248085021972656,-22.05000114440918,4.950000286102295,-18.30000114440918
0.219,74.20109558105469,4.367023944854736,-30.224401473999023,17.852985382080078,-8.926492691040039,-27.84532928466797,-19.80000114440918,7.650000095367432,-16.80000114440918
0.223,71.8260498046875,2.145204782485962,-32.10145568847656,17.852985382080078,-15.188361167907715,-17.32006072998047,-19.80000114440918,7.650000095367432,-16.80000114440918
0.23,70.48529815673828,2.873042106628418,-30.301015853881836,10.525267601013184,-9.72588062286377,-15.188361167907715,-19.80000114440918,7.650000095367432,-16.80000114440918
0.24,71.213134765625,3.294421434402466,-31.067161560058594,-8.793261528015137,-2.9310872554779053,-18.91883659362793,-22.05000114440918,6.150000095367432,-18.0
0.25,71.1748275756836,0.9193734526634216,-33.17405700683594,-15.321592330932617,4.663093090057373,-18.2526798248291,-19.80000114440918,4.950000286102295,-17.55000114440918
0.26,69.60423278808594,1.4939818382263184,-35.24264907836914,-14.522205352783203,5.329249382019043,-13.989279747009277,-22.5,5.700000286102295,-16.80000114440918
0.279,69.87238311767578,2.6815059185028076,-32.484527587890625,-27.445634841918945,19.45176124572754,-12.25727367401123,-22.650001525878906,5.550000190734863,-18.450000762939453
0.283,70.21714782714844,2.0685901641845703,-30.26270866394043,-26.513015747070312,12.923430442810059,-7.9938740730285645,-22.650001525878906,5.550000190734863,-18.450000762939453
0.29,74.12448120117188,5.171475887298584,-28.653806686401367,-16.12097930908203,8.260336875915527,-9.459418296813965,-20.400001525878906,4.800000190734863,-17.100000381469727
0.3,75.04386138916016,6.167463779449463,-27.734432220458984,-12.124042510986328,3.7304747104644775,-24.914241790771484,-21.150001525878906,7.500000476837158,-18.150001525878906
0.31,74.2777099609375,7.393294811248779,-30.186094284057617,-0.6661561727523804,0.5329249501228333,-19.45176124572754,-21.0,7.200000286102295,-18.30000114440918
