time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.0,0.5347958207130432,-9.292526245117188,-3.0723841190338135,0.06673702597618103,0.14446963369846344,0.06123923882842064,-44.7822265625,42.58988571166992,-26.118093490600586
0.01,0.5730810165405273,-9.262616157531738,-3.016152858734131,0.060475654900074005,0.15454889833927155,0.06276640295982361,-44.606842041015625,42.516807556152344,-26.49810028076172
0.02,0.8039883971214294,-9.212367057800293,-3.029313325881958,0.05253440886735916,0.1511891484260559,0.055436018854379654,-44.636070251464844,43.27682113647461,-26.220401763916016
0.029,0.7585247159004211,-9.162117958068848,-3.0209386348724365,0.06780604273080826,0.12812897562980652,0.0630718320608139,-44.636070251464844,42.48757553100586,-26.278865814208984
0.04,0.36251261830329895,-9.148957252502441,-2.906083106994629,0.0705549344420433,0.11087203770875931,0.04688390716910362,-44.41683578491211,42.76527404785156,-26.381174087524414
0.05,0.28115665912628174,-9.287740707397461,-2.8594231605529785,0.06505714356899261,0.11743884533643723,-0.003359758760780096,-44.15375518798828,42.312191009521484,-26.556564331054688
0.069,0.638883650302887,-9.485148429870605,-2.9551358222961426,0.058795779943466187,0.1791362315416336,-0.0039706239476799965,-45.235313415527344,42.35603332519531,-27.05349349975586
0.072,0.665204644203186,-9.506684303283691,-2.9204399585723877,0.058948494493961334,0.18707747757434845,0.0029016099870204926,-44.88453674316406,42.443729400634766,-27.05349349975586
0.08,0.6317051649093628,-9.507880210876465,-2.9838497638702393,0.0529925599694252,0.21013763546943665,0.020616700872778893,-45.235313415527344,42.37065124511719,-27.740427017211914
0.09,0.6604190468788147,-9.499505043029785,-3.091526985168457,0.04306599870324135,0.2376265674829483,0.033597588539123535,-45.70301055908203,42.77988815307617,-26.658872604370117
0.1,0.9116654396057129,-9.541379928588867,-3.0652055740356445,0.032681290060281754,0.20952677726745605,0.03649919852614403,-45.001461029052734,42.6045036315918,-27.272727966308594
0.11,0.8961120247840881,-9.55095100402832,-3.042473793029785,0.014049900695681572,0.1791362315416336,0.05268712714314461,-45.39608383178711,42.809120178222656,-27.05349349975586
0.129,0.8015955090522766,-9.20279598236084,-3.221935510635376,0.020922133699059486,0.1543961763381958,0.0757472887635231,-45.64455032348633,42.867584228515625,-26.761180877685547
0.132,0.8099704384803772,-9.164510726928711,-3.2434709072113037,0.03130684420466423,0.15913039445877075,0.07925976812839508,-45.4837760925293,42.73604202270508,-26.834259033203125
0.14,0.8697909712791443,-9.146564483642578,-3.1381869316101074,0.058184914290905,0.11957687139511108,0.07880160957574844,-45.07453918457031,42.91142654418945,-26.176557540893555
0.15,0.6221339106559753,-9.196813583374023,-3.0723841190338135,0.06536258012056351,0.09972374886274338,0.08765916526317596,-45.70301055908203,43.21835708618164,-26.571178436279297
0.16,0.38644087314605713,-9.122635841369629,-2.9072792530059814,0.0933096632361412,0.10766499489545822,0.08857545256614685,-45.83454895019531,42.867584228515625,-26.49810028076172
0.17,0.5048855543136597,-9.327221870422363,-2.5567307472229004,0.10537425428628922,0.08933904021978378,0.05253440886735916,-45.732242584228516,43.23297119140625,-27.08272361755371
0.189,0.5216353535652161,-9.827322959899902,-2.5782663822174072,0.025961771607398987,0.04382958263158798,0.022602012380957603,-45.4837760925293,43.23297119140625,-26.819643020629883
0.193,0.47138604521751404,-9.850053787231445,-2.6177480220794678,-0.007635815534740686,0.03497203439474106,0.01664607785642147,-45.33761978149414,42.9406623840332,-26.629642486572266
0.2,0.4570291042327881,-9.745965957641602,-2.750549554824829,-0.05421429127454758,0.026572639122605324,-0.0006108652451075613,-45.717628479003906,42.92604446411133,-26.68810272216797
0.21,0.38763725757598877,-9.55095100402832,-2.906083106994629,-0.09529497474431992,0.02168571576476097,-0.0088575454428792,-45.07453918457031,42.9406623840332,-26.30809783935547
0.22,0.2464607208967209,-9.470791816711426,-2.9527430534362793,-0.10934487730264664,0.053297992795705795,0.004886921960860491,-44.91376876831055,42.838348388671875,-26.366558074951172
0.23,-0.11246266216039658,-9.329615592956543,-3.3439693450927734,-0.09605855494737625,0.16294831037521362,0.023060161620378494,-45.08915710449219,43.20374298095703,-27.389652252197266
0.245,0.9966105818748474,-8.445466995239258,-3.5330023765563965,0.002138028386980295,0.18814648687839508,0.027183502912521362,-45.001461029052734,42.76527404785156,-27.1704158782959
0.25,0.7621140480041504,-8.3629150390625,-3.449253797531128,0.052839841693639755,0.16630806028842926,0.057879481464624405,-44.69453430175781,43.057586669921875,-26.89272117614746
0.26,0.03110669180750847,-8.769694328308105,-3.043670415878296,0.11652254313230515,0.19058994948863983,0.07376197725534439,-45.118385314941406,42.867584228515625,-27.038877487182617
0.27,0.22492532432079315,-9.342775344848633,-3.016152858734131,0.16462817788124084,0.27580565214157104,0.06398813426494598,-45.14761734008789,43.20374298095703,-27.05349349975586
0.28,0.6544370055198669,-9.644271850585938,-2.8893332481384277,0.17837265133857727,0.3121521472930908,0.09025533497333527,-45.4837760925293,43.27682113647461,-27.60888671875
0.29,0.6340979933738708,-9.54377269744873,-2.81276273727417,0.15302173793315887,0.26343563199043274,0.09010262042284012,-45.717628479003906,42.838348388671875,-27.535808563232422
0.303,0.7992027401924133,-9.522236824035645,-2.654836893081665,0.15271630883216858,0.19288070499897003,0.08460482954978943,-45.86378479003906,43.04296875,-27.404266357421875
0.31,0.5910272002220154,-9.82133960723877,-2.5902304649353027,0.12110403180122375,0.16814064979553223,0.10430524498224258,-46.02455520629883,43.23297119140625,-27.375036239624023
0.32,0.5682953596115112,-9.954142570495605,-2.77447772026062,0.03222314268350601,0.1391245573759079,0.09575312584638596,-45.4399299621582,43.04296875,-27.477344512939453
0.33,0.9810572266578674,-9.623931884765625,-2.937189817428589,-0.03039054572582245,0.055436018854379654,0.08888089656829834,-45.08915710449219,43.14527893066406,-28.018123626708984
0.34,0.2907279431819916,-9.408578872680664,-2.849851608276367,-0.052228979766368866,0.010079275816679,0.15073098242282867,-45.64455032348633,43.189125061035156,-27.886581420898438
0.358,0.25722840428352356,-9.449256896972656,-2.9036900997161865,-0.09575312584638596,0.055283304303884506,0.14767667651176453,-45.70301055908203,42.692195892333984,-27.41888427734375
0.362,0.11246266216039658,-9.227920532226562,-2.943171739578247,-0.0429132841527462,0.1258382350206375,0.22250765562057495,-45.746856689453125,42.706809997558594,-27.915815353393555
0.37,-0.31824538111686707,-9.025726318359375,-2.8354947566986084,-0.00015271631127689034,0.1716531366109848,0.2448042333126068,-45.07453918457031,42.823734283447266,-27.71119499206543
0.38,-0.5383850932121277,-8.986245155334473,-2.5950162410736084,0.060933806002140045,0.30512717366218567,0.24617868661880493,-45.206077575683594,43.23297119140625,-27.60888671875
0.39,-0.38644087314605713,-9.080760955810547,-2.352144718170166,0.08552113175392151,0.37048977613449097,0.21532998979091644,-45.93686294555664,43.422977447509766,-27.316574096679688
0.4,0.29790639877319336,-9.211170196533203,-2.586641311645508,0.08643742650747299,0.3234531283378601,0.15592335164546967,-44.986846923828125,43.23297119140625,-28.368898391723633
0.419,0.41874393820762634,-9.414560317993164,-2.5770697593688965,0.13408491015434265,0.2431243658065796,0.20586158335208893,-45.26454162597656,43.55451583862305,-28.003507614135742
0.423,-0.2632104754447937,-9.273384094238281,-2.489731788635254,0.12828169763088226,0.2768746614456177,0.22250765562057495,-45.498390197753906,43.08681869506836,-28.1496639251709
0.43,0.24765713512897491,-9.239884376525879,-2.915654182434082,0.11194105446338654,0.31184670329093933,0.19715675711631775,-45.118385314941406,43.27682113647461,-28.091201782226562
0.44,0.9583254456520081,-9.279365539550781,-3.102294445037842,0.13209959864616394,0.2454151064157486,0.21838431060314178,-45.4399299621582,43.393741607666016,-28.61736488342285
0.45,1.2263215780258179,-9.159724235534668,-2.939582586288452,0.13515393435955048,0.07376197725534439,0.251676470041275,-45.717628479003906,43.627593994140625,-29.085063934326172
0.46,0.6783652305603027,-9.152545928955078,-2.8247268199920654,0.14065171778202057,-0.027183502912521362,0.26251932978630066,-44.89915466308594,43.56913375854492,-29.128910064697266
0.478,0.5730810165405273,-9.269794464111328,-2.4873390197753906,0.11423180252313614,-0.118660569190979,0.2483167201280594,-44.82607650756836,43.58374786376953,-28.748903274536133
0.482,0.5288137793540955,-9.213563919067383,-2.413161516189575,0.07742717117071152,-0.21823160350322723,0.23228150606155396,-45.132999420166016,43.496055603027344,-28.13504981994629
0.49,0.37926235795021057,-8.963513374328613,-2.7421746253967285,0.0555887334048748,-0.2545780837535858,0.23625212907791138,-44.28529739379883,43.393741607666016,-29.275066375732422
0.5,0.5647060871124268,-8.864211082458496,-2.657229423522949,0.05925392732024193,-0.290313720703125,0.2376265674829483,-44.32914352416992,43.83221435546875,-27.769657135009766
0.51,0.7238287925720215,-8.997013092041016,-2.548356056213379,0.017409659922122955,-0.33826664090156555,0.2603813111782074,-44.27068328857422,43.83221435546875,-27.72580909729004
0.52,0.6855436563491821,-8.739784240722656,-3.1992037296295166,-0.025656340643763542,-0.34437528252601624,0.29107728600502014,-44.562992095947266,43.84682846069336,-28.003507614135742
0.539,1.2287143468856812,-8.654839515686035,-3.6370902061462402,-0.01114829070866108,-0.3381139039993286,0.3016147017478943,-44.10990905761719,43.89067459106445,-27.681964874267578
