time,voltage,current,percentage
0.0,4.0,0.5,80.0
0.018,4.0,0.5,80.0
0.022,4.0,0.5,80.0
0.029,4.0,0.5,80.0
0.039,4.0,0.5,80.0
0.049,4.0,0.5,80.0
0.059,4.0,0.5,80.0
0.079,4.0,0.5,80.0
0.083,4.0,0.5,80.0
0.09,4.0,0.5,80.0
0.1,4.0,0.5,80.0
0.109,4.0,0.5,80.0
0.12,4.0,0.5,80.0
0.139,4.0,0.5,80.0
0.143,4.0,0.5,80.0
0.15,4.0,0.5,80.0
0.159,4.0,0.5,80.0
0.169,4.0,0.5,80.0
0.179,4.0,0.5,80.0
0.199,4.0,0.5,80.0
0.203,4.0,0.5,80.0
0.21,4.0,0.5,80.0
0.219,4.0,0.5,80.0
0.229,4.0,0.5,80.0
0.239,4.0,0.5,80.0
0.259,4.0,0.5,80.0
0.263,4.0,0.5,80.0
0.27,4.0,0.5,80.0
0.279,4.0,0.5,80.0
0.289,4.0,0.5,80.0
0.3,4.0,0.5,80.0
0.319,4.0,0.5,80.0
0.323,4.0,0.5,80.0
0.329,4.0,0.5,80.0
0.339,4.0,0.5,80.0
0.349,4.0,0.5,80.0
0.359,4.0,0.5,80.0
0.379,4.0,0.5,80.0
0.382,4.0,0.5,80.0
0.389,4.0,0.5,80.0
0.4,4.0,0.5,80.0
0.409,4.0,0.5,80.0
0.419,4.0,0.5,80.0
0.44,4.0,0.5,80.0
0.444,4.0,0.5,80.0
0.45,4.0,0.5,80.0
0.459,4.0,0.5,80.0
0.47,4.0,0.5,80.0
0.479,4.0,0.5,80.0
0.499,4.0,0.5,80.0
0.503,4.0,0.5,80.0
0.51,4.0,0.5,80.0
0.519,4.0,0.5,80.0
0.53,4.0,0.5,80.0
0.539,4.0,0.5,80.0
0.559,4.0,0.5,80.0
0.562,4.0,0.5,80.0
0.569,4.0,0.5,80.0
0.579,4.0,0.5,80.0
0.589,4.0,0.5,80.0
0.608,4.0,0.5,80.0
0.612,4.0,0.5,80.0
0.62,4.0,0.5,80.0
0.629,4.0,0.5,80.0
0.639,4.0,0.5,80.0
0.65,4.0,0.5,80.0
0.66,4.0,0.5,80.0
0.675,4.0,0.5,80.0
0.68,4.0,0.5,80.0
0.689,4.0,0.5,80.0
0.7,4.0,0.5,80.0
0.71,4.0,0.5,80.0
0.729,4.0,0.5,80.0
0.733,4.0,0.5,80.0
0.74,4.0,0.5,80.0
0.749,4.0,0.5,80.0
0.759,4.0,0.5,80.0
0.769,4.0,0.5,80.0
0.788,4.0,0.5,80.0
0.792,4.0,0.5,80.0
1.054,4.0,0.5,80.0
1.063,4.0,0.5,80.0
1.073,4.0,0.5,80.0
1.093,4.0,0.5,80.0
1.096,4.0,0.5,80.0
1.104,4.0,0.5,80.0
1.114,4.0,0.5,80.0
1.124,4.0,0.5,80.0
1.134,4.0,0.5,80.0
1.153,4.0,0.5,80.0
1.158,4.0,0.5,80.0
1.164,4.0,0.5,80.0
1.174,4.0,0.5,80.0
1.183,4.0,0.5,80.0
1.194,4.0,0.5,80.0
1.213,4.0,0.5,80.0
1.217,4.0,0.5,80.0
1.224,4.0,0.5,80.0
1.234,4.0,0.5,80.0
1.244,4.0,0.5,80.0
1.254,4.0,0.5,80.0
1.266,4.0,0.5,80.0
1.274,4.0,0.5,80.0
1.284,4.0,0.5,80.0
1.294,4.0,0.5,80.0
1.304,4.0,0.5,80.0
1.314,4.0,0.5,80.0
1.329,4.0,0.5,80.0
