time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.0,2.183450698852539,-8.614161491394043,-3.5988051891326904,-0.0861319974064827,0.0705549344420433,-0.021532999351620674,-16.617948532104492,38.35136032104492,-26.33732795715332
0.01,2.421536445617676,-8.563911437988281,-3.7052857875823975,-0.058490343391895294,0.11331550031900406,-0.03390302136540413,-16.530254364013672,37.43057632446289,-26.278865814208984
0.02,2.5471596717834473,-8.693124771118164,-3.4743783473968506,-0.03145955875515938,0.15302173793315887,-0.02275473065674305,-16.6325626373291,37.605960845947266,-25.855012893676758
0.03,2.5232315063476562,-8.85224723815918,-3.4540393352508545,-0.04413501173257828,0.19517144560813904,0.0019853119738399982,-16.939491271972656,37.91289138793945,-25.21192741394043
0.04,2.520838737487793,-8.971887588500977,-3.2195427417755127,-0.05772676318883896,0.1722639948129654,-0.020922133699059486,-16.793336868286133,37.54750061035156,-24.788074493408203
0.05,2.664407968521118,-8.918049812316895,-3.311666488647461,-0.0858265683054924,0.1391245573759079,-0.0328340083360672,-16.617948532104492,37.474422454833984,-25.796550750732422
0.07,2.7314069271087646,-8.894121170043945,-3.442075490951538,-0.1212567538022995,0.04856378585100174,-0.017409659922122955,-16.530254364013672,37.34288024902344,-25.591930389404297
0.073,2.7457637786865234,-8.861818313598633,-3.6263227462768555,-0.12217304855585098,0.031001411378383636,-0.00809396430850029,-16.413330078125,36.96287536621094,-25.007307052612305
0.08,2.733799695968628,-8.791230201721191,-3.696910858154297,-0.11270463466644287,0.005192354787141085,0.0039706239476799965,-16.515640258789062,37.4451904296875,-24.74422836303711
0.09,2.581855535507202,-8.645268440246582,-3.7328033447265625,-0.09254607558250427,-0.027183502912521362,0.016951510682702065,-16.647178649902344,37.48904037475586,-25.358083724975586
0.1,2.4526431560516357,-8.513663291931152,-3.676571846008301,-0.06414084881544113,-0.06032294034957886,0.012064589187502861,-16.267173767089844,37.50365447998047,-24.992692947387695
0.11,2.0985054969787598,-8.46341323852539,-3.4396824836730957,-0.012675453908741474,-0.0734565407037735,0.0009162978385575116,-16.23794174194336,37.79596710205078,-25.34346580505371
0.13,1.9369899034500122,-8.417949676513672,-3.4360930919647217,0.06398813426494598,0.04153883829712868,-0.03634648025035858,-16.164865493774414,37.109031677246094,-24.86115074157715
