time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.0,69.56592559814453,24.13355255126953,-37.42616271972656,-1.5987749099731445,6.794793128967285,7.194486618041992,-26.400001525878906,-15.90000057220459,-28.80000114440918
0.003,67.07595825195312,16.433799743652344,-38.000770568847656,1.1990811824798584,2.2649309635162354,18.78560447692871,-25.80000114440918,-16.200000762939453,-28.950000762939453
0.011,67.61225891113281,15.974113464355469,-36.96647262573242,-6.661561965942383,8.39356803894043,16.25421142578125,-27.750001907348633,-16.5,-28.950000762939453
0.021,67.26749420166016,16.548721313476562,-36.66001510620117,-20.517610549926758,22.649311065673828,11.724349021911621,-27.750001907348633,-16.5,-28.950000762939453
0.031,66.34811401367188,13.982137680053711,-36.315250396728516,-17.719755172729492,29.444103240966797,8.660030364990234,-27.30000114440918,-15.450000762939453,-27.900001525878906
0.041,67.76548767089844,14.786589622497559,-34.3615837097168,-22.116384506225586,20.251148223876953,9.992342948913574,-27.150001525878906,-17.55000114440918,-28.500001907348633
0.062,67.38241577148438,15.705963134765625,-35.5874137878418,-27.84532928466797,30.37672233581543,-1.3323123455047607,-27.000001907348633,-15.450000762939453,-27.900001525878906
0.065,69.52761840820312,17.391481399536133,-35.74064254760742,-11.724349021911621,31.709033966064453,-1.5987749099731445,-28.200000762939453,-16.350000381469727,-27.30000114440918
0.071,69.45100402832031,20.379444122314453,-33.82528305053711,-4.796324729919434,16.78713607788086,17.586523056030273,-28.200000762939453,-16.350000381469727,-27.30000114440918
0.081,69.29777526855469,21.030668258666992,-33.44221115112305,7.194486618041992,16.25421142578125,16.25421142578125,-26.700000762939453,-16.350000381469727,-26.55000114440918
0.091,67.88040924072266,20.724210739135742,-36.2386360168457,15.055130004882812,14.788667678833008,21.45022964477539,-27.30000114440918,-15.450000762939453,-28.650001525878906
0.101,68.26348114013672,17.966089248657227,-36.16202163696289,19.185298919677734,20.650842666625977,21.050535202026367,-27.750001907348633,-16.950000762939453,-28.650001525878906
0.12,66.99934387207031,17.73624610900879,-38.8818359375,20.784072875976562,27.978559494018555,19.98468589782715,-27.450000762939453,-15.90000057220459,-27.30000114440918
0.124,66.23319244384766,15.322891235351562,-36.66001510620117,10.392036437988281,33.70750427246094,19.718223571777344,-27.30000114440918,-16.950000762939453,-27.900001525878906
0.131,67.72718048095703,14.633360862731934,-35.16603469848633,11.591117858886719,32.64165496826172,17.32006072998047,-27.30000114440918,-16.950000762939453,-27.900001525878906
0.141,67.45903015136719,12.986149787902832,-34.51481246948242,5.462480545043945,25.18070411682129,22.51607894897461,-27.150001525878906,-17.100000381469727,-27.750001907348633
0.151,67.76548767089844,12.90953540802002,-33.94020462036133,-14.788667678833008,27.978559494018555,24.381317138671875,-27.750001907348633,-16.5,-28.650001525878906
0.161,67.34410858154297,11.338939666748047,-35.28095626831055,-34.373661041259766,39.9693717956543,19.98468589782715,-27.750001907348633,-17.400001525878906,-27.150001525878906
0.18,65.9267349243164,11.224017143249512,-33.63374710083008,-44.76569747924805,35.839202880859375,23.04900360107422,-27.450000762939453,-16.350000381469727,-27.000001907348633
0.184,67.45903015136719,14.173673629760742,-33.17405700683594,-62.8851432800293,38.77029037475586,15.721285820007324,-27.450000762939453,-16.350000381469727,-27.000001907348633
0.191,71.09821319580078,15.284584045410156,-32.599449157714844,-58.754974365234375,37.03828430175781,21.45022964477539,-28.80000114440918,-16.950000762939453,-27.900001525878906
0.201,71.2514419555664,17.73624610900879,-34.170047760009766,-53.29249572753906,32.24195861816406,21.716691970825195,-27.900001525878906,-15.90000057220459,-27.30000114440918
0.211,70.86837005615234,22.218191146850586,-36.66001510620117,-31.44257164001465,23.04900360107422,37.70444107055664,-28.950000762939453,-17.100000381469727,-26.250001907348633
0.221,70.83006286621094,23.13756561279297,-37.19631576538086,-20.650842666625977,23.315465927124023,35.03981399536133,-28.200000762939453,-16.80000114440918,-27.000001907348633
0.24,68.95301055908203,22.026655197143555,-35.47249221801758,-11.724349021911621,25.980091094970703,32.24195861816406,-28.200000762939453,-16.80000114440918,-27.000001907348633
0.244,69.14454650878906,19.000385284423828,-35.31926345825195,-3.4640121459960938,26.513015747070312,32.37519073486328,-28.200000762939453,-16.80000114440918,-27.000001907348633
0.251,67.4973373413086,15.705963134765625,-35.47249221801758,-10.658498764038086,25.980091094970703,44.89892578125,-27.750001907348633,-16.200000762939453,-26.400001525878906
0.261,67.65056610107422,15.552734375,-35.97048568725586,-25.18070411682129,35.57273864746094,22.915773391723633,-28.650001525878906,-17.850000381469727,-27.30000114440918
0.271,66.61626434326172,14.173673629760742,-33.097442626953125,-46.764163970947266,39.03675079345703,30.37672233581543,-27.750001907348633,-17.700000762939453,-26.100000381469727
0.281,68.07194519042969,12.411541938781738,-30.569168090820312,-53.95865249633789,35.839202880859375,33.70750427246094,-28.650001525878906,-17.850000381469727,-26.250001907348633
0.3,69.68084716796875,12.947842597961426,-30.837318420410156,-83.00305938720703,45.96477508544922,38.90352249145508,-28.650001525878906,-17.850000381469727,-26.250001907348633
0.303,70.67683410644531,13.369222640991211,-29.84132957458496,-94.72740936279297,42.101070404052734,39.16998291015625,-28.80000114440918,-18.900001525878906,-26.100000381469727
0.311,69.71915435791016,13.599065780639648,-31.756690979003906,-95.79325866699219,33.57427215576172,44.76569747924805,-30.450000762939453,-17.850000381469727,-24.750001907348633
0.321,70.44699096679688,12.641385078430176,-34.3615837097168,-89.5313949584961,28.911178588867188,27.71209716796875,-29.250001907348633,-15.750000953674316,-27.450000762939453
0.331,70.6002197265625,13.752294540405273,-32.178070068359375,-75.14241790771484,17.719755172729492,5.728943347930908,-29.400001525878906,-16.80000114440918,-26.250001907348633
0.341,72.89865112304688,21.45204734802246,-37.387855529785156,-27.045940399169922,15.45482349395752,-9.192955017089844,-29.400001525878906,-16.80000114440918,-26.250001907348633
0.362,73.35833740234375,36.69832229614258,-37.15800857543945,15.588054656982422,6.261868000030518,10.92496109008789,-28.200000762939453,-17.100000381469727,-24.450000762939453
0.365,71.97927856445312,39.91613006591797,-32.52283477783203,31.975496292114258,0.9326186776161194,20.784072875976562,-29.250001907348633,-17.700000762939453,-24.600000381469727
0.371,72.82203674316406,18.655620574951172,-31.29700469970703,33.97396469116211,1.3323123455047607,26.513015747070312,-29.250001907348633,-17.700000762939453,-24.600000381469727
0.381,71.71112823486328,12.02846908569336,-31.7183837890625,47.696781158447266,-4.796324729919434,10.658498764038086,-29.700000762939453,-17.850000381469727,-25.200000762939453
0.391,71.7877426147461,12.334927558898926,-31.756690979003906,21.583459854125977,0.5329249501228333,-5.462480545043945,-30.30000114440918,-17.400001525878906,-25.650001525878906
0.401,71.44297790527344,14.058752059936523,-30.79901123046875,14.255742073059082,-1.9984685182571411,-4.396630764007568,-30.30000114440918,-17.400001525878906,-25.650001525878906
0.42,71.63451385498047,13.254301071166992,-34.09343338012695,-5.8621745109558105,6.261868000030518,-9.192955017089844,-28.05000114440918,-17.700000762939453,-27.150001525878906
0.423,70.6002197265625,10.879252433776855,-33.672054290771484,-36.63859176635742,6.128636837005615,1.8652373552322388,-28.650001525878906,-17.100000381469727,-25.80000114440918
0.431,72.4006576538086,6.320692539215088,-32.599449157714844,-63.018375396728516,10.791729927062988,-7.72741174697876,-29.400001525878906,-17.100000381469727,-27.30000114440918
0.441,73.6264877319336,8.236053466796875,-32.9442138671875,-85.00152587890625,5.196018218994141,-23.715160369873047,-29.400001525878906,-17.100000381469727,-25.500001907348633
0.451,73.51156616210938,15.399505615234375,-33.05913543701172,-88.19908142089844,-11.191424369812012,-9.192955017089844,-29.400001525878906,-17.100000381469727,-25.500001907348633
0.461,74.58417510986328,17.12333106994629,-32.599449157714844,-95.39356231689453,-21.183767318725586,-4.929555892944336,-28.80000114440918,-16.950000762939453,-25.650001525878906
0.482,72.78372955322266,17.8128604888916,-36.77493667602539,-104.45329284667969,-3.7304747104644775,-10.258805274963379,-29.55000114440918,-16.950000762939453,-26.400001525878906
0.485,71.28974914550781,22.792800903320312,-33.51882553100586,-81.53751373291016,-16.920366287231445,-6.9280242919921875,-29.250001907348633,-16.200000762939453,-25.350000381469727
0.491,71.59620666503906,21.835119247436523,-32.9442138671875,-79.80551147460938,-9.326186180114746,-16.65390396118164,-29.250001907348633,-16.200000762939453,-25.350000381469727
0.501,71.02159881591797,20.570980072021484,-32.13976287841797,-59.55436325073242,-4.130168437957764,-20.517610549926758,-28.500001907348633,-15.450000762939453,-25.650001525878906
