time,voltage,current,percentage
0.0,4.0,0.5,80.0
0.009,4.0,0.5,80.0
0.019,4.0,0.5,80.0
0.029,4.0,0.5,80.0
0.048,4.0,0.5,80.0
0.052,4.0,0.5,80.0
0.06,4.0,0.5,80.0
0.069,4.0,0.5,80.0
0.079,4.0,0.5,80.0
0.089,4.0,0.5,80.0
0.109,4.0,0.5,80.0
0.113,4.0,0.5,80.0
0.12,4.0,0.5,80.0
0.13,4.0,0.5,80.0
0.14,4.0,0.5,80.0
0.15,4.0,0.5,80.0
0.169,4.0,0.5,80.0
0.173,4.0,0.5,80.0
0.18,4.0,0.5,80.0
0.19,4.0,0.5,80.0
0.2,4.0,0.5,80.0
0.21,4.0,0.5,80.0
0.23,4.0,0.5,80.0
0.233,4.0,0.5,80.0
0.24,4.0,0.5,80.0
0.249,4.0,0.5,80.0
0.26,4.0,0.5,80.0
0.27,4.0,0.5,80.0
0.289,4.0,0.5,80.0
0.293,4.0,0.5,80.0
0.3,4.0,0.5,80.0
0.31,4.0,0.5,80.0
0.32,4.0,0.5,80.0
0.33,4.0,0.5,80.0
0.349,4.0,0.5,80.0
0.353,4.0,0.5,80.0
0.36,4.0,0.5,80.0
0.37,4.0,0.5,80.0
0.38,4.0,0.5,80.0
0.39,4.0,0.5,80.0
0.409,4.0,0.5,80.0
0.412,4.0,0.5,80.0
0.42,4.0,0.5,80.0
0.429,4.0,0.5,80.0
0.44,4.0,0.5,80.0
0.45,4.0,0.5,80.0
0.469,4.0,0.5,80.0
0.473,4.0,0.5,80.0
0.48,4.0,0.5,80.0
0.489,4.0,0.5,80.0
0.5,4.0,0.5,80.0
0.51,4.0,0.5,80.0
0.528,4.0,0.5,80.0
0.532,4.0,0.5,80.0
0.54,4.0,0.5,80.0
0.549,4.0,0.5,80.0
0.56,4.0,0.5,80.0
0.569,4.0,0.5,80.0
0.589,4.0,0.5,80.0
0.592,4.0,0.5,80.0
0.6,4.0,0.5,80.0
0.61,4.0,0.5,80.0
0.62,4.0,0.5,80.0
0.63,4.0,0.5,80.0
0.65,4.0,0.5,80.0
0.654,4.0,0.5,80.0
0.66,4.0,0.5,80.0
0.669,4.0,0.5,80.0
0.679,4.0,0.5,80.0
0.69,4.0,0.5,80.0
0.706,4.0,0.5,80.0
0.71,4.0,0.5,80.0
0.72,4.0,0.5,80.0
0.73,4.0,0.5,80.0
0.739,4.0,0.5,80.0
0.75,4.0,0.5,80.0
