time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.0,3.025723934173584,-8.828319549560547,-3.8392839431762695,0.02733621932566166,0.23594669997692108,0.11071932315826416,-20.008769989013672,48.52382278442383,-14.440221786499023
0.009,2.967099905014038,-8.939584732055664,-3.5341989994049072,0.008704829961061478,0.2519819140434265,0.13255774974822998,-19.99415397644043,48.23151397705078,-14.571762084960938
0.019,2.6847469806671143,-9.072386741638184,-3.324826955795288,-0.039706241339445114,0.18967366218566895,0.09666942805051804,-19.7310733795166,48.39228439331055,-14.674072265625
0.029,2.5603203773498535,-8.920442581176758,-3.772284984588623,-0.08628471195697784,0.07635815441608429,-0.021532999351620674,-19.964923858642578,48.81613540649414,-14.147910118103027
0.048,2.8139593601226807,-8.800801277160645,-3.7459635734558105,-0.09972374886274338,-0.012522736564278603,-0.08124507963657379,-19.891843795776367,48.494590759277344,-13.753289222717285
0.052,2.5363919734954834,-8.757730484008789,-3.638286828994751,-0.10125090926885605,-0.055283304303884506,-0.07467827200889587,-20.18415641784668,48.20227813720703,-13.592517852783203
0.06,2.2085752487182617,-8.525627136230469,-3.8464622497558594,-0.09437867254018784,-0.037110064178705215,-0.07116580009460449,-19.891843795776367,48.39228439331055,-14.250219345092773
0.069,2.0123636722564697,-8.482555389404297,-3.85483717918396,-0.055283304303884506,0.030237827450037003,-0.08109235763549805,-20.608009338378906,48.5822868347168,-14.133294105529785
0.079,2.3437697887420654,-8.465806007385254,-3.9038898944854736,0.0177150908857584,0.1511891484260559,-0.039095375686883926,-20.98801612854004,48.43613052368164,-13.7240571975708
0.089,2.908475875854492,-8.74337387084961,-3.7627134323120117,0.06933320313692093,0.21395555138587952,0.008246680721640587,-20.564163208007812,48.611515045166016,-13.256357192993164
0.109,3.0113673210144043,-8.788837432861328,-3.576073169708252,0.09575312584638596,0.199294775724411,0.06200282275676727,-20.944168090820312,48.669979095458984,-13.344051361083984
0.113,2.348555326461792,-8.987441062927246,-3.239881753921509,0.07849618047475815,0.10812314599752426,0.13958270847797394,-20.18415641784668,48.14381790161133,-14.90792179107666
0.12,1.8293129205703735,-9.016155242919922,-3.126222848892212,0.06123923882842064,0.10415252298116684,0.13561208546161652,-20.154926300048828,48.62613296508789,-14.834843635559082
0.13,1.765903115272522,-9.127422332763672,-3.102294445037842,-0.012064589187502861,0.06872233748435974,-0.014049900695681572,-20.052616119384766,48.289974212646484,-14.35252857208252
0.14,2.8486552238464355,-8.818747520446777,-3.4612178802490234,-0.0455094613134861,0.0013744467869400978,-0.07651086896657944,-20.125694274902344,48.75767135620117,-13.534053802490234
0.15,2.8737800121307373,-8.614161491394043,-3.4157540798187256,-0.036193765699863434,-0.0007635815418325365,0.019547687843441963,-20.403390884399414,48.43613052368164,-14.250219345092773
0.169,2.0853447914123535,-8.60459041595459,-3.541377305984497,-0.025503622367978096,-0.026572639122605324,0.05345070734620094,-20.783395767211914,48.52382278442383,-13.943290710449219
0.173,1.6905291080474854,-8.549554824829102,-3.7950165271759033,0.03191770985722542,-0.011759155429899693,-0.03375030308961868,-20.754165649414062,48.87459945678711,-13.826367378234863
0.18,1.9489539861679077,-8.39162826538086,-3.5054850578308105,0.08811730891466141,0.006719517521560192,-0.060933806002140045,-20.564163208007812,48.33382034301758,-13.884828567504883
0.19,2.1786649227142334,-8.331808090209961,-3.473181962966919,0.1543961763381958,0.02535090781748295,-0.04841107130050659,-20.71031951904297,48.611515045166016,-13.753289222717285
0.2,2.029113531112671,-8.441878318786621,-3.2518458366394043,0.2197587788105011,-0.005803219974040985,-0.05650503188371658,-20.447237014770508,48.684593200683594,-14.410990715026855
0.21,1.8771692514419556,-8.569893836975098,-3.3750762939453125,0.2727513313293457,-0.030543262138962746,-0.08216137439012527,-20.315698623657227,48.5822868347168,-13.636363983154297
0.23,2.0578272342681885,-8.721837997436523,-3.236292600631714,0.32268956303596497,-0.039095375686883926,-0.10583239793777466,-20.067232131958008,49.45922088623047,-14.513299942016602
0.233,2.2791635990142822,-8.956335067749023,-3.0592236518859863,0.33490684628486633,-0.06933320313692093,-0.1039998009800911,-20.286466598510742,49.26921844482422,-14.381760597229004
0.24,2.287538528442383,-9.109475135803223,-2.8151557445526123,0.314442902803421,-0.11789698898792267,-0.10384708642959595,-20.35954475402832,49.34230041503906,-15.097925186157227
0.249,2.1571295261383057,-9.17886734008789,-2.882154941558838,0.2744311988353729,-0.1765400469303131,-0.11591167747974396,-20.82724380493164,48.684593200683594,-14.484068870544434
0.26,2.2983059883117676,-9.232706069946289,-2.919243335723877,0.2347249537706375,-0.1950187236070633,-0.09972374886274338,-20.798011779785156,48.5822868347168,-15.22946548461914
0.27,2.3473589420318604,-9.032905578613281,-3.2470602989196777,0.19975292682647705,-0.21135936677455902,-0.06490442901849747,-20.62262535095215,49.7223014831543,-15.28792667388916
0.289,2.2372889518737793,-8.93838882446289,-3.212364435195923,0.19853119552135468,-0.2554943859577179,-0.04535674676299095,-20.534931182861328,49.239986419677734,-15.507162094116211
0.293,1.7862420082092285,-8.883354187011719,-3.1860432624816895,0.19624045491218567,-0.21639901399612427,0.026419920846819878,-20.228002548217773,49.12306213378906,-15.346389770507812
0.3,1.6067804098129272,-8.939584732055664,-3.104687213897705,0.20066924393177032,-0.1699732542037964,0.06169738993048668,-20.724933624267578,48.976905822753906,-15.711779594421387
0.31,1.5565310716629028,-9.059226036071777,-2.956332206726074,0.21013763546943665,-0.1082758679986,0.0832303911447525,-20.505699157714844,49.41537857055664,-15.872551918029785
0.32,1.636690616607666,-9.150154113769531,-2.801995277404785,0.20357082784175873,-0.05451972037553787,0.10797043144702911,-20.257234573364258,48.94767761230469,-16.033323287963867
0.33,1.6139588356018066,-9.115457534790039,-2.9718856811523438,0.21853703260421753,0.012522736564278603,0.15225815773010254,-20.052616119384766,49.53229904174805,-15.989476203918457
0.349,1.317248821258545,-9.047262191772461,-2.874976396560669,0.22143864631652832,0.10903944075107574,0.18784105777740479,-20.213388442993164,49.31306457519531,-15.931015014648438
0.353,0.9044869542121887,-9.06281566619873,-2.4885356426239014,0.2583959996700287,0.21899518370628357,0.17928895354270935,-20.82724380493164,49.649227142333984,-15.56562328338623
0.36,0.9571290016174316,-9.399006843566895,-2.368894338607788,0.2269364297389984,0.3113885521888733,0.18096882104873657,-20.418006896972656,49.42999267578125,-15.916398048400879
0.37,1.3268201351165771,-9.353543281555176,-2.647658109664917,0.18738290667533875,0.4150829017162323,0.18738290667533875,-20.2718505859375,49.70768737792969,-15.624086380004883
0.38,1.6151552200317383,-9.145367622375488,-2.7290141582489014,0.19226983189582825,0.4297436773777008,0.17898350954055786,-20.447237014770508,49.34230041503906,-16.369482040405273
0.39,1.6043875217437744,-8.9910306930542,-3.0233314037323,0.17699819803237915,0.48380523920059204,0.22678370773792267,-20.491085052490234,50.01461410522461,-15.872551918029785
0.409,1.5840485095977783,-8.772088050842285,-3.231506824493408,0.21853703260421753,0.5149593949317932,0.24419337511062622,-20.46185302734375,49.7223014831543,-15.945630073547363
0.412,1.8017953634262085,-8.973084449768066,-3.022134780883789,0.2226603776216507,0.5025893449783325,0.2522873282432556,-20.242618560791016,49.576148986816406,-16.42794418334961
0.42,1.8735800981521606,-9.031708717346191,-2.946760892868042,0.24663683772087097,0.4836525619029999,0.26481008529663086,-20.08184814453125,50.01461410522461,-15.653318405151367
0.429,2.0195422172546387,-9.452845573425293,-2.720639228820801,0.23900103569030762,0.48197266459465027,0.30344730615615845,-20.344928741455078,49.80999755859375,-15.41946792602539
0.44,2.39401912689209,-9.276973724365234,-3.1920251846313477,0.237321138381958,0.3874412775039673,0.30833423137664795,-19.847997665405273,50.13154220581055,-15.81408977508545
0.45,2.1846470832824707,-9.156135559082031,-2.9180471897125244,0.24724771082401276,0.2974913716316223,0.3425426781177521,-19.92107582092285,50.30692672729492,-16.793336868286133
0.469,1.810170292854309,-9.067601203918457,-2.794816732406616,0.22602012753486633,0.27580565214157104,0.3683517277240753,-19.80415153503418,49.53229904174805,-16.07716941833496
0.473,1.9669002294540405,-9.249455451965332,-2.7038893699645996,0.2070833146572113,0.15363259613513947,0.2900082468986511,-20.344928741455078,49.97077178955078,-16.544870376586914
0.48,1.9645073413848877,-9.144170761108398,-2.9108684062957764,0.18417586386203766,0.12660181522369385,0.27519479393959045,-20.30108070373535,50.64308547973633,-16.486408233642578
0.489,1.9609181880950928,-8.853443145751953,-3.177668571472168,0.17806722223758698,0.11316278576850891,0.24694228172302246,-19.54106903076172,50.745399475097656,-16.033323287963867
0.5,2.449054002761841,-8.664410591125488,-3.3954150676727295,0.18402314186096191,0.076052725315094,0.21624629199504852,-19.62876319885254,50.51154327392578,-16.88102912902832
0.51,2.9012973308563232,-8.5100736618042,-3.452842950820923,0.18875734508037567,0.02076941914856434,0.23105978965759277,-19.117216110229492,50.555397033691406,-16.895645141601562
0.528,2.5052852630615234,-8.069793701171875,-3.544966459274292,0.22067506611347198,-0.14034628868103027,0.26190847158432007,-18.97106170654297,50.92078399658203,-17.80181312561035
0.532,2.310270071029663,-7.909474849700928,-3.5258240699768066,0.22586742043495178,-0.16233743727207184,0.2519819140434265,-18.88336753845215,50.87693786621094,-17.290266036987305
0.54,2.139183282852173,-7.800601482391357,-3.5365920066833496,0.2356412708759308,-0.23625212907791138,0.21365012228488922,-18.63490104675293,50.540775299072266,-17.114879608154297
0.549,2.094916343688965,-7.552944660186768,-3.460021495819092,0.23716843128204346,-0.30283644795417786,0.1518000215291977,-18.72259521484375,50.46770095825195,-16.88102912902832
0.56,2.421536445617676,-7.619943618774414,-3.13938307762146,0.2448042333126068,-0.37461310625076294,0.13576479256153107,-18.591054916381836,50.160770416259766,-17.480268478393555
0.569,2.599801778793335,-7.823333263397217,-3.3966116905212402,0.21166479587554932,-0.4332561492919922,0.13927727937698364,-18.401052474975586,50.745399475097656,-17.290266036987305
0.589,2.6811578273773193,-7.915457248687744,-3.634697675704956,0.1673770695924759,-0.6159048676490784,0.1059851199388504,-17.772581100463867,50.540775299072266,-17.743350982666016
0.592,2.9012973308563232,-8.288737297058105,-3.425325632095337,0.14278973639011383,-0.6543893814086914,0.10751228034496307,-17.43642234802246,50.80385971069336,-17.641040802001953
0.6,2.939582586288452,-8.58066177368164,-3.4911282062530518,0.08521570265293121,-0.7050911784172058,0.10919215530157089,-17.80181312561035,50.86231994628906,-16.837182998657227
0.61,3.3786656856536865,-8.965906143188477,-3.8189449310302734,0.02932153083384037,-0.7574729323387146,0.0959058403968811,-17.290266036987305,50.73078155517578,-17.69950294494629
0.62,3.972085475921631,-9.006584167480469,-4.371686935424805,-0.0025961773935705423,-0.7539604306221008,0.15821409225463867,-17.012569427490234,50.336158752441406,-17.392576217651367
0.63,3.871586799621582,-8.906085968017578,-4.627718925476074,-0.0032070425804704428,-0.6507241725921631,0.3152064383029938,-16.807950973510742,50.11692810058594,-17.304880142211914
0.65,2.179861307144165,-8.941977500915527,-4.284348964691162,0.028405234217643738,-0.2122756689786911,0.4824308156967163,-15.931015014648438,50.90616989135742,-18.415668487548828
0.654,1.9501503705978394,-9.07717227935791,-4.015156269073486,0.028405234217643738,-0.13927727937698364,0.4870122969150543,-15.434082984924316,50.146156311035156,-18.123355865478516
0.66,1.9106688499450684,-9.254240989685059,-3.9003007411956787,0.024434609338641167,0.09957103431224823,0.48808133602142334,-15.887167930603027,50.81847381591797,-18.152587890625
