time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.0,-1.452443242073059,-9.726823806762695,-0.7668996453285217,0.008399397134780884,0.0007635815418325365,-0.004734205547720194,-7.863198280334473,48.596900939941406,-43.75913619995117
0.01,-1.4727823734283447,-9.750751495361328,-0.7860422134399414,0.0073303827084600925,0.009010262787342072,-0.0027488935738801956,-7.541654109954834,48.9622917175293,-44.82607650756836
0.02,-1.4344971179962158,-9.713663101196289,-0.7633103728294373,0.008704829961061478,0.016798794269561768,0.0,-7.687810897827148,48.976905822753906,-43.7445182800293
0.03,-1.3914263248443604,-9.718448638916016,-0.7310072779655457,0.010995574295520782,0.020616700872778893,0.003359758760780096,-7.907044887542725,49.473838806152344,-43.686058044433594
0.04,-1.345962643623352,-9.720841407775879,-0.7010970711708069,0.010231993161141872,0.014355332590639591,0.005497787147760391,-8.345513343811035,48.80152130126953,-43.876060485839844
0.058,-1.3232309818267822,-9.714859962463379,-0.7286145091056824,0.012064589187502861,-0.0039706239476799965,0.007635815534740686,-7.439345359802246,49.225372314453125,-43.14527893066406
0.061,-1.3052847385406494,-9.69212818145752,-0.7345964908599854,0.011453723534941673,-0.004734205547720194,0.008399397134780884,-7.7901201248168945,49.34230041503906,-43.817596435546875
0.07,-1.325623631477356,-9.68494987487793,-0.7322037220001221,0.01160643994808197,-0.017867807298898697,0.005803219974040985,-7.220110893249512,49.26921844482422,-43.34989929199219
0.08,-1.3567304611206055,-9.724431037902832,-0.7154539227485657,0.01038470957428217,-0.028557950630784035,0.004886921960860491,-7.702425956726074,48.87459945678711,-44.24144744873047
0.09,-1.4033904075622559,-9.734002113342285,-0.7310072779655457,0.00427605677396059,-0.032681290060281754,0.004886921960860491,-7.950891494750977,49.45922088623047,-43.56913375854492
0.108,-1.4656038284301758,-9.724431037902832,-0.7154539227485657,-0.0013744467869400978,-0.0328340083360672,0.006566801108419895,-8.082432746887207,49.049983978271484,-43.978370666503906
0.112,-1.5278172492980957,-9.678967475891113,-0.751346230506897,-0.004734205547720194,-0.019394971430301666,0.003054326167330146,-8.155509948730469,49.37152862548828,-44.0806770324707
0.12,-1.5445669889450073,-9.641878128051758,-0.7489534616470337,-0.003054326167330146,-0.013439035043120384,-0.00015271631127689034,-7.965507507324219,49.37152862548828,-43.466819763183594
0.13,-1.5086746215820312,-9.604789733886719,-0.7322037220001221,-0.0003054326225537807,-0.008704829961061478,-0.004123340360820293,-7.8485822677612305,48.9184455871582,-43.08681869506836
0.14,-1.5074782371520996,-9.600004196166992,-0.7369893193244934,0.005345070734620094,-0.009162978269159794,-0.008246680721640587,-7.468576908111572,48.479976654052734,-44.007598876953125
0.15,-1.5086746215820312,-9.607182502746582,-0.7118647694587708,0.013286319561302662,-0.007788531482219696,-0.013439035043120384,-8.140894889831543,48.75767135620117,-43.75913619995117
0.16,-1.4895319938659668,-9.657431602478027,-0.6819544434547424,0.016798794269561768,-0.00427605677396059,-0.017562376335263252,-8.140894889831543,48.24612808227539,-44.03683090209961
0.175,-1.470389485359192,-9.722038269042969,-0.7022933959960938,0.018020525574684143,0.0032070425804704428,-0.022602012380957603,-7.819350719451904,48.90382766723633,-43.86144256591797
0.18,-1.4596216678619385,-9.7124662399292,-0.7178468108177185,0.01817324012517929,0.005803219974040985,-0.02428189292550087,-7.921660900115967,48.88921356201172,-43.876060485839844
0.19,-1.447657585144043,-9.743573188781738,-0.7525426745414734,0.015271631069481373,0.013286319561302662,-0.024892758578062057,-7.673194885253906,49.38614273071289,-43.61297607421875
0.2,-1.4249258041381836,-9.768697738647461,-0.7812565565109253,0.01038470957428217,0.019089538604021072,-0.019394971430301666,-7.7901201248168945,48.669979095458984,-43.59836196899414
0.21,-1.4009976387023926,-9.766304969787598,-0.787238597869873,0.007788531482219696,0.024129178375005722,-0.014049900695681572,-7.76088809967041,49.18152618408203,-44.0806770324707
0.228,-1.3531410694122314,-9.714859962463379,-0.7968099117279053,0.006719517521560192,0.02733621932566166,-0.006261368282139301,-8.228588104248047,48.74305725097656,-44.21221923828125
0.232,-1.286142110824585,-9.688538551330566,-0.7633103728294373,0.00809396430850029,0.02168571576476097,0.0027488935738801956,-7.439345359802246,48.81613540649414,-44.738380432128906
0.24,-1.2717852592468262,-9.67657470703125,-0.7322037220001221,0.009621127508580685,0.015271631069481373,0.007635815534740686,-7.527039051055908,48.55305480957031,-44.22683334350586
0.25,-1.2658032178878784,-9.68973445892334,-0.6999006271362305,0.010842857882380486,0.003512475173920393,0.010231993161141872,-7.527039051055908,49.225372314453125,-44.03683090209961
