time,voltage,current,percentage
0.0,4.0,0.5,80.0
0.009,4.0,0.5,80.0
0.03,4.0,0.5,80.0
0.033,4.0,0.5,80.0
0.04,4.0,0.5,80.0
0.05,4.0,0.5,80.0
0.06,4.0,0.5,80.0
0.07,4.0,0.5,80.0
0.089,4.0,0.5,80.0
0.093,4.0,0.5,80.0
0.1,4.0,0.5,80.0
0.109,4.0,0.5,80.0
0.12,4.0,0.5,80.0
0.13,4.0,0.5,80.0
0.15,4.0,0.5,80.0
0.153,4.0,0.5,80.0
0.16,4.0,0.5,80.0
0.17,4.0,0.5,80.0
0.18,4.0,0.5,80.0
0.19,4.0,0.5,80.0
0.209,4.0,0.5,80.0
0.213,4.0,0.5,80.0
0.22,4.0,0.5,80.0
0.23,4.0,0.5,80.0
0.24,4.0,0.5,80.0
0.249,4.0,0.5,80.0
0.269,4.0,0.5,80.0
0.273,4.0,0.5,80.0
0.28,4.0,0.5,80.0
0.29,4.0,0.5,80.0
0.3,4.0,0.5,80.0
0.31,4.0,0.5,80.0
0.329,4.0,0.5,80.0
0.332,4.0,0.5,80.0
0.34,4.0,0.5,80.0
0.35,4.0,0.5,80.0
0.36,4.0,0.5,80.0
0.37,4.0,0.5,80.0
0.39,4.0,0.5,80.0
0.394,4.0,0.5,80.0
0.4,4.0,0.5,80.0
0.41,4.0,0.5,80.0
0.42,4.0,0.5,80.0
0.43,4.0,0.5,80.0
0.449,4.0,0.5,80.0
0.452,4.0,0.5,80.0
0.46,4.0,0.5,80.0
0.469,4.0,0.5,80.0
0.479,4.0,0.5,80.0
0.49,4.0,0.5,80.0
0.509,4.0,0.5,80.0
0.513,4.0,0.5,80.0
0.52,4.0,0.5,80.0
0.529,4.0,0.5,80.0
0.54,4.0,0.5,80.0
0.55,4.0,0.5,80.0
0.569,4.0,0.5,80.0
0.572,4.0,0.5,80.0
0.58,4.0,0.5,80.0
0.59,4.0,0.5,80.0
0.6,4.0,0.5,80.0
0.61,4.0,0.5,80.0
0.628,4.0,0.5,80.0
0.632,4.0,0.5,80.0
0.639,4.0,0.5,80.0
0.65,4.0,0.5,80.0
0.66,4.0,0.5,80.0
0.669,4.0,0.5,80.0
0.689,4.0,0.5,80.0
0.693,4.0,0.5,80.0
0.7,4.0,0.5,80.0
0.71,4.0,0.5,80.0
0.72,4.0,0.5,80.0
0.73,4.0,0.5,80.0
0.743,4.0,0.5,80.0
0.75,4.0,0.5,80.0
