time,voltage,current,percentage
0.0,4.0,0.5,80.0
0.01,4.0,0.5,80.0
0.029,4.0,0.5,80.0
0.033,4.0,0.5,80.0
0.04,4.0,0.5,80.0
0.05,4.0,0.5,80.0
0.06,4.0,0.5,80.0
0.07,4.0,0.5,80.0
0.09,4.0,0.5,80.0
0.093,4.0,0.5,80.0
0.1,4.0,0.5,80.0
0.11,4.0,0.5,80.0
0.12,4.0,0.5,80.0
0.13,4.0,0.5,80.0
0.149,4.0,0.5,80.0
0.153,4.0,0.5,80.0
0.16,4.0,0.5,80.0
0.17,4.0,0.5,80.0
0.18,4.0,0.5,80.0
0.19,4.0,0.5,80.0
0.206,4.0,0.5,80.0
0.21,4.0,0.5,80.0
0.22,4.0,0.5,80.0
0.23,4.0,0.5,80.0
0.24,4.0,0.5,80.0
0.25,4.0,0.5,80.0
0.269,4.0,0.5,80.0
0.273,4.0,0.5,80.0
0.28,4.0,0.5,80.0
0.29,4.0,0.5,80.0
0.3,4.0,0.5,80.0
0.319,4.0,0.5,80.0
0.323,4.0,0.5,80.0
0.33,4.0,0.5,80.0
0.34,4.0,0.5,80.0
0.35,4.0,0.5,80.0
0.36,4.0,0.5,80.0
0.37,4.0,0.5,80.0
0.386,4.0,0.5,80.0
0.39,4.0,0.5,80.0
0.4,4.0,0.5,80.0
0.41,4.0,0.5,80.0
0.42,4.0,0.5,80.0
0.44,4.0,0.5,80.0
0.443,4.0,0.5,80.0
0.45,4.0,0.5,80.0
0.46,4.0,0.5,80.0
0.47,4.0,0.5,80.0
0.48,4.0,0.5,80.0
0.499,4.0,0.5,80.0
0.6,4.0,0.5,80.0
0.62,4.0,0.5,80.0
0.623,4.0,0.5,80.0
0.63,4.0,0.5,80.0
0.64,4.0,0.5,80.0
0.65,4.0,0.5,80.0
0.66,4.0,0.5,80.0
0.68,4.0,0.5,80.0
0.683,4.0,0.5,80.0
0.69,4.0,0.5,80.0
0.7,4.0,0.5,80.0
0.71,4.0,0.5,80.0
0.72,4.0,0.5,80.0
0.739,4.0,0.5,80.0
0.743,4.0,0.5,80.0
0.75,4.0,0.5,80.0
0.76,4.0,0.5,80.0
0.77,4.0,0.5,80.0
0.78,4.0,0.5,80.0
0.8,4.0,0.5,80.0
0.804,4.0,0.5,80.0
0.81,4.0,0.5,80.0
0.82,4.0,0.5,80.0
0.83,4.0,0.5,80.0
0.84,4.0,0.5,80.0
0.86,4.0,0.5,80.0
0.863,4.0,0.5,80.0
0.87,4.0,0.5,80.0
0.88,4.0,0.5,80.0
0.89,4.0,0.5,80.0
0.9,4.0,0.5,80.0
0.919,4.0,0.5,80.0
0.923,4.0,0.5,80.0
0.93,4.0,0.5,80.0
0.94,4.0,0.5,80.0
0.95,4.0,0.5,80.0
0.96,4.0,0.5,80.0
0.979,4.0,0.5,80.0
0.983,4.0,0.5,80.0
0.99,4.0,0.5,80.0
1.0,4.0,0.5,80.0
1.01,4.0,0.5,80.0
1.02,4.0,0.5,80.0
1.036,4.0,0.5,80.0
1.04,4.0,0.5,80.0
1.05,4.0,0.5,80.0
1.06,4.0,0.5,80.0
1.07,4.0,0.5,80.0
1.08,4.0,0.5,80.0
1.097,4.0,0.5,80.0
1.101,4.0,0.5,80.0
1.11,4.0,0.5,80.0
1.12,4.0,0.5,80.0
1.13,4.0,0.5,80.0
1.149,4.0,0.5,80.0
1.153,4.0,0.5,80.0
1.16,4.0,0.5,80.0
1.17,4.0,0.5,80.0
1.18,4.0,0.5,80.0
1.19,4.0,0.5,80.0
1.21,4.0,0.5,80.0
1.213,4.0,0.5,80.0
1.22,4.0,0.5,80.0
1.23,4.0,0.5,80.0
1.24,4.0,0.5,80.0
1.25,4.0,0.5,80.0
1.269,4.0,0.5,80.0
1.274,4.0,0.5,80.0
1.28,4.0,0.5,80.0
1.29,4.0,0.5,80.0
1.3,4.0,0.5,80.0
1.31,4.0,0.5,80.0
1.33,4.0,0.5,80.0
1.334,4.0,0.5,80.0
1.34,4.0,0.5,80.0
1.35,4.0,0.5,80.0
1.36,4.0,0.5,80.0
1.37,4.0,0.5,80.0
