time,voltage,current,percentage
0.0,4.0,0.5,80.0
0.009,4.0,0.5,80.0
0.019,4.0,0.5,80.0
0.029,4.0,0.5,80.0
0.039,4.0,0.5,80.0
0.049,4.0,0.5,80.0
0.068,4.0,0.5,80.0
0.071,4.0,0.5,80.0
0.079,4.0,0.5,80.0
0.089,4.0,0.5,80.0
0.099,4.0,0.5,80.0
0.109,4.0,0.5,80.0
0.128,4.0,0.5,80.0
0.132,4.0,0.5,80.0
0.139,4.0,0.5,80.0
0.149,4.0,0.5,80.0
0.159,4.0,0.5,80.0
0.169,4.0,0.5,80.0
0.188,4.0,0.5,80.0
0.192,4.0,0.5,80.0
0.199,4.0,0.5,80.0
0.209,4.0,0.5,80.0
0.219,4.0,0.5,80.0
0.23,4.0,0.5,80.0
0.248,4.0,0.5,80.0
0.252,4.0,0.5,80.0
0.259,4.0,0.5,80.0
0.269,4.0,0.5,80.0
0.279,4.0,0.5,80.0
0.289,4.0,0.5,80.0
0.308,4.0,0.5,80.0
0.311,4.0,0.5,80.0
0.319,4.0,0.5,80.0
0.329,4.0,0.5,80.0
0.339,4.0,0.5,80.0
0.349,4.0,0.5,80.0
0.368,4.0,0.5,80.0
0.372,4.0,0.5,80.0
0.379,4.0,0.5,80.0
0.389,4.0,0.5,80.0
0.399,4.0,0.5,80.0
0.409,4.0,0.5,80.0
0.422,4.0,0.5,80.0
0.429,4.0,0.5,80.0
0.439,4.0,0.5,80.0
0.449,4.0,0.5,80.0
0.459,4.0,0.5,80.0
0.469,4.0,0.5,80.0
0.483,4.0,0.5,80.0
0.489,4.0,0.5,80.0
0.499,4.0,0.5,80.0
0.509,4.0,0.5,80.0
0.519,4.0,0.5,80.0
0.538,4.0,0.5,80.0
0.542,4.0,0.5,80.0
0.549,4.0,0.5,80.0
0.559,4.0,0.5,80.0
0.569,4.0,0.5,80.0
0.579,4.0,0.5,80.0
0.598,4.0,0.5,80.0
0.602,4.0,0.5,80.0
0.609,4.0,0.5,80.0
0.619,4.0,0.5,80.0
0.629,4.0,0.5,80.0
0.639,4.0,0.5,80.0
0.658,4.0,0.5,80.0
0.662,4.0,0.5,80.0
0.669,4.0,0.5,80.0
0.679,4.0,0.5,80.0
0.689,4.0,0.5,80.0
0.699,4.0,0.5,80.0
0.718,4.0,0.5,80.0
0.722,4.0,0.5,80.0
0.729,4.0,0.5,80.0
0.739,4.0,0.5,80.0
0.749,4.0,0.5,80.0
