time,voltage,current,percentage
0.0,4.0,0.5,80.0
0.009,4.0,0.5,80.0
0.029,4.0,0.5,80.0
0.032,4.0,0.5,80.0
0.039,4.0,0.5,80.0
0.049,4.0,0.5,80.0
0.059,4.0,0.5,80.0
0.069,4.0,0.5,80.0
0.079,4.0,0.5,80.0
0.096,4.0,0.5,80.0
0.1,4.0,0.5,80.0
0.109,4.0,0.5,80.0
0.119,4.0,0.5,80.0
0.129,4.0,0.5,80.0
0.148,4.0,0.5,80.0
0.152,4.0,0.5,80.0
0.159,4.0,0.5,80.0
0.169,4.0,0.5,80.0
0.179,4.0,0.5,80.0
0.189,4.0,0.5,80.0
0.209,4.0,0.5,80.0
0.212,4.0,0.5,80.0
0.219,4.0,0.5,80.0
0.229,4.0,0.5,80.0
0.239,4.0,0.5,80.0
0.249,4.0,0.5,80.0
0.259,4.0,0.5,80.0
0.272,4.0,0.5,80.0
0.279,4.0,0.5,80.0
0.289,4.0,0.5,80.0
0.299,4.0,0.5,80.0
0.312,4.0,0.5,80.0
0.319,4.0,0.5,80.0
0.329,4.0,0.5,80.0
0.339,4.0,0.5,80.0
0.349,4.0,0.5,80.0
0.359,4.0,0.5,80.0
0.379,4.0,0.5,80.0
0.382,4.0,0.5,80.0
0.389,4.0,0.5,80.0
0.399,4.0,0.5,80.0
0.409,4.0,0.5,80.0
0.419,4.0,0.5,80.0
0.435,4.0,0.5,80.0
0.44,4.0,0.5,80.0
0.449,4.0,0.5,80.0
0.459,4.0,0.5,80.0
0.469,4.0,0.5,80.0
0.479,4.0,0.5,80.0
0.499,4.0,0.5,80.0
0.503,4.0,0.5,80.0
0.509,4.0,0.5,80.0
0.519,4.0,0.5,80.0
0.529,4.0,0.5,80.0
0.539,4.0,0.5,80.0
0.556,4.0,0.5,80.0
0.56,4.0,0.5,80.0
0.569,4.0,0.5,80.0
0.579,4.0,0.5,80.0
0.589,4.0,0.5,80.0
0.608,4.0,0.5,80.0
0.612,4.0,0.5,80.0
0.619,4.0,0.5,80.0
0.629,4.0,0.5,80.0
0.64,4.0,0.5,80.0
0.649,4.0,0.5,80.0
0.659,4.0,0.5,80.0
0.677,4.0,0.5,80.0
0.681,4.0,0.5,80.0
0.689,4.0,0.5,80.0
0.699,4.0,0.5,80.0
0.709,4.0,0.5,80.0
0.728,4.0,0.5,80.0
0.732,4.0,0.5,80.0
0.739,4.0,0.5,80.0
0.749,4.0,0.5,80.0
