time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.0,0.18065811693668365,-9.774680137634277,-1.210768222808838,0.006261368282139301,-0.014508049935102463,0.07757988572120667,-19.657995223999023,38.234432220458984,-24.46653175354004
0.009,0.1866401582956314,-9.842875480651855,-1.172482967376709,0.013591751456260681,-0.020158551633358,0.0835358202457428,-19.33645248413086,37.79596710205078,-24.904998779296875
0.029,0.18065811693668365,-9.875179290771484,-1.124626636505127,0.01817324012517929,-0.02672535367310047,0.08506298810243607,-19.760305404663086,37.69365692138672,-23.823442459106445
0.032,0.20458632707595825,-9.760323524475098,-1.0995019674301147,0.013439035043120384,-0.031612277030944824,0.06765332818031311,-19.17568016052246,37.474422454833984,-25.109615325927734
0.039,0.22013966739177704,-9.729216575622559,-1.0229315757751465,0.012980885803699493,-0.035735614597797394,0.05467243865132332,-19.774919509887695,37.54750061035156,-24.94884490966797
0.049,0.2309073656797409,-9.79262638092041,-0.9595218300819397,0.005497787147760391,-0.04077525436878204,0.0354301817715168,-20.038002014160156,37.854427337646484,-24.49576187133789
0.059,0.2584248483181,-9.719645500183105,-0.9726824164390564,-0.00931569468230009,-0.04398229718208313,0.026572639122605324,-19.862613677978516,38.278282165527344,-25.518856048583984
0.069,0.2189432680606842,-9.595218658447266,-1.0564311742782593,-0.018020525574684143,-0.0455094613134861,0.0277943667024374,-19.16106414794922,37.7667350769043,-25.50423812866211
0.079,0.13519448041915894,-9.512666702270508,-1.1365907192230225,-0.006261368282139301,-0.0529925599694252,0.03726277872920036,-19.52645492553711,37.854427337646484,-24.77345848083496
0.096,-0.035892337560653687,-9.509077072143555,-1.1569297313690186,0.006872233934700489,-0.057421330362558365,0.04245513305068016,-19.00029182434082,37.664424896240234,-24.94884490966797
0.1,-0.07178467512130737,-9.505488395690918,-1.1198409795761108,0.010079275816679,-0.05513058975338936,0.03955352306365967,-19.24875831604004,37.86904525756836,-24.77345848083496
0.109,-0.06340979784727097,-9.558130264282227,-1.0875378847122192,0.014202617108821869,-0.05268712714314461,0.029474247246980667,-19.62876319885254,37.664424896240234,-25.05115509033203
0.119,-0.05503491684794426,-9.702895164489746,-1.0109676122665405,0.014355332590639591,-0.04841107130050659,0.02428189292550087,-19.424144744873047,37.971351623535156,-24.934228897094727
0.129,-0.07657032459974289,-9.853643417358398,-0.9427720904350281,0.003359758760780096,-0.03405573591589928,0.01817324012517929,-19.424144744873047,37.79596710205078,-24.627302169799805
0.148,-0.010767702013254166,-9.968499183654785,-0.9702895283699036,-0.013286319561302662,-0.01725694164633751,0.014966198243200779,-19.219526290893555,37.708274841308594,-24.56884002685547
0.152,0.06699903309345245,-9.969695091247559,-1.0301101207733154,-0.0328340083360672,-0.0003054326225537807,0.015882495790719986,-18.72259521484375,37.81058120727539,-24.612686157226562
0.159,0.13878370821475983,-9.919445991516113,-1.0851449966430664,-0.04138611629605293,-0.003512475173920393,0.01191187184303999,-19.131834030151367,38.278282165527344,-24.554224014282227
0.169,0.18424732983112335,-9.779465675354004,-1.1306086778640747,-0.03833179175853729,-0.011453723534941673,0.006108652334660292,-19.7310733795166,37.679039001464844,-24.70037841796875
0.179,0.22612173855304718,-9.686145782470703,-1.1006983518600464,-0.029626963660120964,-0.037110064178705215,-0.0012217304902151227,-19.570301055908203,37.78135299682617,-24.510377883911133
0.189,0.22372892498970032,-9.568897247314453,-1.0887342691421509,-0.01038470957428217,-0.05925392732024193,-0.005955935921519995,-19.16106414794922,37.7667350769043,-23.94036865234375
