time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.0,95.1934585571289,-30.224401473999023,9.500192642211914,-1.9984685182571411,3.197549819946289,3.9969370365142822,-37.80000305175781,-3.0,-5.400000095367432
0.009,76.42292022705078,-10.189722061157227,13.48414421081543,1.7320060729980469,-0.6661561727523804,-3.3307809829711914,-37.80000305175781,-1.8000000715255737,-3.6000001430511475
0.019,76.84429931640625,-9.959878921508789,14.288596153259277,-2.398162364959717,2.131699800491333,2.2649309635162354,-37.95000076293945,-2.8500001430511475,-4.200000286102295
0.029,76.80599212646484,-10.457873344421387,14.403517723083496,-1.3323123455047607,6.5283308029174805,-0.2664624750614166,-38.400001525878906,-3.1500000953674316,-3.0
0.039,75.31201171875,-11.30063247680664,14.748282432556152,1.0658499002456665,1.3323123455047607,-0.7993874549865723,-38.400001525878906,-3.1500000953674316,-3.0
0.049,75.84831237792969,-11.338939666748047,13.713987350463867,-4.396630764007568,6.395099639892578,-11.191424369812012,-36.45000076293945,-2.4000000953674316,-3.750000238418579
0.069,76.26969146728516,-10.304644584655762,12.373234748840332,1.8652373552322388,9.059723854064941,-3.86370587348938,-36.900001525878906,-2.4000000953674316,-4.200000286102295
0.072,76.69107055664062,-11.951854705810547,13.943830490112305,-2.797856092453003,7.06125545501709,-2.2649309635162354,-37.80000305175781,-1.8000000715255737,-4.350000381469727
0.079,76.69107055664062,-11.836933135986328,14.97812557220459,3.4640121459960938,-3.597243309020996,3.597243309020996,-37.80000305175781,-1.8000000715255737,-4.350000381469727
0.089,76.00154113769531,-11.760318756103516,15.093047142028809,-5.995405673980713,3.4640121459960938,-0.2664624750614166,-37.80000305175781,-1.8000000715255737,-4.350000381469727
0.1,76.80599212646484,-10.266336441040039,13.943830490112305,-3.86370587348938,9.992342948913574,-4.929555892944336,-37.80000305175781,-1.8000000715255737,-4.350000381469727
0.109,77.41890716552734,-10.879252433776855,13.292608261108398,0.9326186776161194,0.9326186776161194,7.327718257904053,-38.25,-3.450000047683716,-4.350000381469727
0.128,76.72937774658203,-11.683704376220703,13.139378547668457,-3.4640121459960938,-2.797856092453003,9.72588062286377,-38.400001525878906,-3.1500000953674316,-3.450000047683716
0.132,76.26969146728516,-11.30063247680664,14.403517723083496,0.0,0.2664624750614166,4.663093090057373,-36.30000305175781,-3.450000047683716,-3.3000001907348633
0.139,76.46122741699219,-10.496180534362793,14.173673629760742,1.9984685182571411,-2.398162364959717,1.0658499002456665,-36.30000305175781,-3.450000047683716,-3.3000001907348633
0.15,76.15476989746094,-10.457873344421387,13.445837020874023,1.5987749099731445,11.058192253112793,7.594180583953857,-36.30000305175781,-3.450000047683716,-3.3000001907348633
0.16,77.1507568359375,-9.691728591918945,13.828908920288086,-2.797856092453003,6.5283308029174805,12.523736000061035,-38.25,-4.200000286102295,-5.100000381469727
0.169,77.07414245605469,-12.22000503540039,15.705963134765625,-1.0658499002456665,-0.6661561727523804,7.194486618041992,-36.45000076293945,-2.1000001430511475,-4.200000286102295
0.189,76.69107055664062,-11.645397186279297,14.173673629760742,-2.531393527984619,-1.4655436277389526,1.8652373552322388,-37.05000305175781,-3.450000047683716,-3.9000000953674316
0.192,76.92091369628906,-9.232041358947754,13.177685737609863,5.062787055969238,0.2664624750614166,13.456355094909668,-38.70000076293945,-4.050000190734863,-4.5
0.199,77.1124496459961,-10.15141487121582,13.905523300170898,3.9969370365142822,9.459418296813965,-27.31240463256836,-38.70000076293945,-4.050000190734863,-4.5
0.209,76.5761489868164,-11.377246856689453,14.748282432556152,5.8621745109558105,1.9984685182571411,13.323123931884766,-39.900001525878906,-3.1500000953674316,-4.5
0.219,76.15476989746094,-13.752294540405273,14.97812557220459,0.7993874549865723,-4.396630764007568,12.390504837036133,-36.900001525878906,-3.1500000953674316,-3.750000238418579
0.23,76.30799865722656,-13.445837020874023,14.556746482849121,-3.197549819946289,4.796324729919434,-0.39969372749328613,-37.95000076293945,-2.8500001430511475,-4.200000286102295
0.246,76.03984832763672,-12.832921028137207,14.288596153259277,2.797856092453003,0.0,7.06125545501709,-38.55000305175781,-4.5,-3.6000001430511475
0.25,76.03984832763672,-12.48815631866455,14.863204002380371,0.1332312375307083,-0.39969372749328613,8.39356803894043,-38.55000305175781,-4.5,-3.6000001430511475
0.259,75.54185485839844,-11.951854705810547,15.284584045410156,-3.9969370365142822,6.794793128967285,2.531393527984619,-38.400001525878906,-5.100000381469727,-3.750000238418579
0.269,76.11646270751953,-11.224017143249512,14.288596153259277,-2.9310872554779053,7.327718257904053,-0.5329249501228333,-37.80000305175781,-3.450000047683716,-5.100000381469727
0.279,76.38461303710938,-11.338939666748047,13.79060173034668,6.9280242919921875,1.8652373552322388,5.995405673980713,-39.0,-3.450000047683716,-4.650000095367432
0.289,76.03984832763672,-12.02846908569336,13.905523300170898,5.728943347930908,1.7320060729980469,5.8621745109558105,-38.25,-3.450000047683716,-5.100000381469727
0.302,76.72937774658203,-12.105083465576172,12.947842597961426,-2.797856092453003,8.39356803894043,-5.728943347930908,-36.75,-4.5,-3.3000001907348633
0.31,75.81000518798828,-12.986149787902832,13.369222640991211,1.0658499002456665,6.661561965942383,11.457886695861816,-36.75,-4.5,-3.3000001907348633
0.32,76.19307708740234,-14.288596153259277,14.595053672790527,-4.529861927032471,4.130168437957764,3.3307809829711914,-37.5,-3.750000238418579,-3.3000001907348633
0.329,75.54185485839844,-11.836933135986328,13.828908920288086,-0.5329249501228333,11.990811347961426,-1.1990811824798584,-37.650001525878906,-5.100000381469727,-3.450000047683716
0.339,76.23138427734375,-11.951854705810547,14.824896812438965,-4.929555892944336,13.58958625793457,3.4640121459960938,-37.650001525878906,-5.100000381469727,-3.450000047683716
0.358,76.5761489868164,-11.91354751586914,13.522451400756836,2.398162364959717,3.197549819946289,-2.398162364959717,-38.400001525878906,-5.550000190734863,-4.5
0.362,75.84831237792969,-12.832921028137207,15.054739952087402,12.25727367401123,1.1990811824798584,1.5987749099731445,-37.80000305175781,-4.5,-4.350000381469727
0.37,76.95922088623047,-13.943830490112305,15.207969665527344,7.194486618041992,11.324655532836914,-9.859111785888672,-37.80000305175781,-4.950000286102295,-3.9000000953674316
0.379,78.4148941040039,-12.871228218078613,16.58702850341797,19.31852912902832,8.127105712890625,-12.523736000061035,-37.95000076293945,-4.050000190734863,-4.950000286102295
0.389,77.26567840576172,-8.312667846679688,15.207969665527344,26.779478073120117,3.9969370365142822,-6.5283308029174805,-37.95000076293945,-4.050000190734863,-4.950000286102295
0.4,73.664794921875,-11.109095573425293,15.24627685546875,16.387441635131836,0.39969372749328613,-0.2664624750614166,-38.400001525878906,-4.050000190734863,-3.0
