time,voltage,current,percentage
0.0,4.0,0.5,80.0
0.003,4.0,0.5,80.0
0.01,4.0,0.5,80.0
0.02,4.0,0.5,80.0
0.03,4.0,0.5,80.0
0.04,4.0,0.5,80.0
0.05,4.0,0.5,80.0
0.07,4.0,0.5,80.0
0.073,4.0,0.5,80.0
0.08,4.0,0.5,80.0
0.09,4.0,0.5,80.0
0.1,4.0,0.5,80.0
0.11,4.0,0.5,80.0
0.125,4.0,0.5,80.0
0.13,4.0,0.5,80.0
0.14,4.0,0.5,80.0
0.15,4.0,0.5,80.0
0.16,4.0,0.5,80.0
0.17,4.0,0.5,80.0
0.188,4.0,0.5,80.0
0.192,4.0,0.5,80.0
0.2,4.0,0.5,80.0
0.21,4.0,0.5,80.0
0.22,4.0,0.5,80.0
0.239,4.0,0.5,80.0
0.243,4.0,0.5,80.0
0.25,4.0,0.5,80.0
0.26,4.0,0.5,80.0
0.27,4.0,0.5,80.0
0.28,4.0,0.5,80.0
0.3,4.0,0.5,80.0
0.304,4.0,0.5,80.0
0.31,4.0,0.5,80.0
0.32,4.0,0.5,80.0
0.33,4.0,0.5,80.0
0.34,4.0,0.5,80.0
0.36,4.0,0.5,80.0
0.364,4.0,0.5,80.0
0.37,4.0,0.5,80.0
0.38,4.0,0.5,80.0
0.39,4.0,0.5,80.0
0.4,4.0,0.5,80.0
0.42,4.0,0.5,80.0
0.423,4.0,0.5,80.0
0.43,4.0,0.5,80.0
0.44,4.0,0.5,80.0
0.45,4.0,0.5,80.0
0.46,4.0,0.5,80.0
0.48,4.0,0.5,80.0
0.483,4.0,0.5,80.0
0.49,4.0,0.5,80.0
0.5,4.0,0.5,80.0
0.51,4.0,0.5,80.0
0.52,4.0,0.5,80.0
0.54,4.0,0.5,80.0
0.543,4.0,0.5,80.0
0.55,4.0,0.5,80.0
0.56,4.0,0.5,80.0
0.57,4.0,0.5,80.0
0.58,4.0,0.5,80.0
0.599,4.0,0.5,80.0
0.603,4.0,0.5,80.0
0.61,4.0,0.5,80.0
0.62,4.0,0.5,80.0
0.63,4.0,0.5,80.0
0.64,4.0,0.5,80.0
0.659,4.0,0.5,80.0
0.663,4.0,0.5,80.0
0.67,4.0,0.5,80.0
0.68,4.0,0.5,80.0
0.69,4.0,0.5,80.0
0.7,4.0,0.5,80.0
0.72,4.0,0.5,80.0
0.723,4.0,0.5,80.0
0.73,4.0,0.5,80.0
0.74,4.0,0.5,80.0
0.75,4.0,0.5,80.0
0.76,4.0,0.5,80.0
0.78,4.0,0.5,80.0
0.783,4.0,0.5,80.0
0.79,4.0,0.5,80.0
0.8,4.0,0.5,80.0
0.81,4.0,0.5,80.0
0.82,4.0,0.5,80.0
0.838,4.0,0.5,80.0
0.841,4.0,0.5,80.0
0.85,4.0,0.5,80.0
0.86,4.0,0.5,80.0
0.87,4.0,0.5,80.0
0.88,4.0,0.5,80.0
0.893,4.0,0.5,80.0
0.9,4.0,0.5,80.0
0.91,4.0,0.5,80.0
0.92,4.0,0.5,80.0
0.93,4.0,0.5,80.0
0.94,4.0,0.5,80.0
0.956,4.0,0.5,80.0
0.96,4.0,0.5,80.0
0.97,4.0,0.5,80.0
0.98,4.0,0.5,80.0
0.99,4.0,0.5,80.0
1.009,4.0,0.5,80.0
1.013,4.0,0.5,80.0
1.02,4.0,0.5,80.0
1.03,4.0,0.5,80.0
1.04,4.0,0.5,80.0
1.05,4.0,0.5,80.0
1.069,4.0,0.5,80.0
1.073,4.0,0.5,80.0
1.08,4.0,0.5,80.0
1.09,4.0,0.5,80.0
1.1,4.0,0.5,80.0
1.11,4.0,0.5,80.0
1.13,4.0,0.5,80.0
1.133,4.0,0.5,80.0
1.14,4.0,0.5,80.0
1.15,4.0,0.5,80.0
1.16,4.0,0.5,80.0
1.17,4.0,0.5,80.0
1.189,4.0,0.5,80.0
1.194,4.0,0.5,80.0
1.2,4.0,0.5,80.0
1.21,4.0,0.5,80.0
1.22,4.0,0.5,80.0
1.23,4.0,0.5,80.0
1.25,4.0,0.5,80.0
1.253,4.0,0.5,80.0
1.26,4.0,0.5,80.0
1.27,4.0,0.5,80.0
1.28,4.0,0.5,80.0
1.29,4.0,0.5,80.0
1.309,4.0,0.5,80.0
1.313,4.0,0.5,80.0
1.32,4.0,0.5,80.0
1.33,4.0,0.5,80.0
1.34,4.0,0.5,80.0
1.35,4.0,0.5,80.0
1.37,4.0,0.5,80.0
1.374,4.0,0.5,80.0
1.38,4.0,0.5,80.0
1.39,4.0,0.5,80.0
1.4,4.0,0.5,80.0
1.41,4.0,0.5,80.0
1.429,4.0,0.5,80.0
1.433,4.0,0.5,80.0
1.44,4.0,0.5,80.0
1.45,4.0,0.5,80.0
1.46,4.0,0.5,80.0
1.47,4.0,0.5,80.0
1.49,4.0,0.5,80.0
1.494,4.0,0.5,80.0
1.5,4.0,0.5,80.0
1.51,4.0,0.5,80.0
1.52,4.0,0.5,80.0
1.53,4.0,0.5,80.0
1.55,4.0,0.5,80.0
1.553,4.0,0.5,80.0
1.56,4.0,0.5,80.0
1.57,4.0,0.5,80.0
1.58,4.0,0.5,80.0
1.59,4.0,0.5,80.0
1.609,4.0,0.5,80.0
1.612,4.0,0.5,80.0
1.62,4.0,0.5,80.0
1.63,4.0,0.5,80.0
1.64,4.0,0.5,80.0
1.65,4.0,0.5,80.0
1.669,4.0,0.5,80.0
1.673,4.0,0.5,80.0
1.68,4.0,0.5,80.0
1.69,4.0,0.5,80.0
1.7,4.0,0.5,80.0
1.71,4.0,0.5,80.0
1.726,4.0,0.5,80.0
1.73,4.0,0.5,80.0
1.74,4.0,0.5,80.0
1.75,4.0,0.5,80.0
1.76,4.0,0.5,80.0
1.77,4.0,0.5,80.0
1.79,4.0,0.5,80.0
1.794,4.0,0.5,80.0
1.8,4.0,0.5,80.0
1.81,4.0,0.5,80.0
1.82,4.0,0.5,80.0
1.83,4.0,0.5,80.0
1.843,4.0,0.5,80.0
1.85,4.0,0.5,80.0
1.86,4.0,0.5,80.0
1.87,4.0,0.5,80.0
1.88,4.0,0.5,80.0
1.9,4.0,0.5,80.0
1.903,4.0,0.5,80.0
1.91,4.0,0.5,80.0
1.92,4.0,0.5,80.0
1.93,4.0,0.5,80.0
1.94,4.0,0.5,80.0
1.959,4.0,0.5,80.0
1.963,4.0,0.5,80.0
