time,voltage,current,percentage
0.0,4.0,0.5,80.0
0.004,4.0,0.5,80.0
0.011,4.0,0.5,80.0
0.021,4.0,0.5,80.0
0.031,4.0,0.5,80.0
0.041,4.0,0.5,80.0
0.06,4.0,0.5,80.0
0.064,4.0,0.5,80.0
0.071,4.0,0.5,80.0
0.081,4.0,0.5,80.0
0.091,4.0,0.5,80.0
0.101,4.0,0.5,80.0
0.12,4.0,0.5,80.0
0.124,4.0,0.5,80.0
0.131,4.0,0.5,80.0
0.141,4.0,0.5,80.0
0.151,4.0,0.5,80.0
0.161,4.0,0.5,80.0
0.18,4.0,0.5,80.0
0.184,4.0,0.5,80.0
0.191,4.0,0.5,80.0
0.201,4.0,0.5,80.0
0.211,4.0,0.5,80.0
0.221,4.0,0.5,80.0
0.24,4.0,0.5,80.0
0.244,4.0,0.5,80.0
0.251,4.0,0.5,80.0
0.261,4.0,0.5,80.0
0.271,4.0,0.5,80.0
0.281,4.0,0.5,80.0
0.3,4.0,0.5,80.0
0.304,4.0,0.5,80.0
0.311,4.0,0.5,80.0
0.321,4.0,0.5,80.0
0.331,4.0,0.5,80.0
0.341,4.0,0.5,80.0
0.36,4.0,0.5,80.0
0.364,4.0,0.5,80.0
0.371,4.0,0.5,80.0
0.381,4.0,0.5,80.0
0.391,4.0,0.5,80.0
0.401,4.0,0.5,80.0
0.421,4.0,0.5,80.0
0.424,4.0,0.5,80.0
0.431,4.0,0.5,80.0
0.441,4.0,0.5,80.0
0.451,4.0,0.5,80.0
0.461,4.0,0.5,80.0
0.48,4.0,0.5,80.0
0.484,4.0,0.5,80.0
0.491,4.0,0.5,80.0
0.501,4.0,0.5,80.0
0.511,4.0,0.5,80.0
0.521,4.0,0.5,80.0
0.54,4.0,0.5,80.0
0.543,4.0,0.5,80.0
0.551,4.0,0.5,80.0
0.561,4.0,0.5,80.0
0.571,4.0,0.5,80.0
0.581,4.0,0.5,80.0
0.6,4.0,0.5,80.0
0.603,4.0,0.5,80.0
0.611,4.0,0.5,80.0
0.621,4.0,0.5,80.0
0.631,4.0,0.5,80.0
0.641,4.0,0.5,80.0
0.66,4.0,0.5,80.0
0.664,4.0,0.5,80.0
0.671,4.0,0.5,80.0
0.681,4.0,0.5,80.0
0.691,4.0,0.5,80.0
0.701,4.0,0.5,80.0
0.72,4.0,0.5,80.0
0.724,4.0,0.5,80.0
0.731,4.0,0.5,80.0
0.741,4.0,0.5,80.0
0.751,4.0,0.5,80.0
0.761,4.0,0.5,80.0
0.78,4.0,0.5,80.0
0.783,4.0,0.5,80.0
0.791,4.0,0.5,80.0
0.801,4.0,0.5,80.0
0.811,4.0,0.5,80.0
0.821,4.0,0.5,80.0
0.839,4.0,0.5,80.0
0.842,4.0,0.5,80.0
0.851,4.0,0.5,80.0
0.861,4.0,0.5,80.0
0.871,4.0,0.5,80.0
0.881,4.0,0.5,80.0
0.894,4.0,0.5,80.0
0.901,4.0,0.5,80.0
0.911,4.0,0.5,80.0
0.921,4.0,0.5,80.0
0.931,4.0,0.5,80.0
0.941,4.0,0.5,80.0
0.957,4.0,0.5,80.0
0.961,4.0,0.5,80.0
0.971,4.0,0.5,80.0
0.981,4.0,0.5,80.0
0.991,4.0,0.5,80.0
1.009,4.0,0.5,80.0
1.013,4.0,0.5,80.0
1.021,4.0,0.5,80.0
1.031,4.0,0.5,80.0
1.041,4.0,0.5,80.0
1.051,4.0,0.5,80.0
1.061,4.0,0.5,80.0
1.073,4.0,0.5,80.0
1.081,4.0,0.5,80.0
1.091,4.0,0.5,80.0
1.101,4.0,0.5,80.0
1.111,4.0,0.5,80.0
1.13,4.0,0.5,80.0
1.134,4.0,0.5,80.0
1.141,4.0,0.5,80.0
1.151,4.0,0.5,80.0
1.161,4.0,0.5,80.0
1.171,4.0,0.5,80.0
1.189,4.0,0.5,80.0
1.194,4.0,0.5,80.0
1.201,4.0,0.5,80.0
1.211,4.0,0.5,80.0
1.221,4.0,0.5,80.0
1.231,4.0,0.5,80.0
1.251,4.0,0.5,80.0
1.254,4.0,0.5,80.0
1.261,4.0,0.5,80.0
1.271,4.0,0.5,80.0
1.281,4.0,0.5,80.0
1.291,4.0,0.5,80.0
1.31,4.0,0.5,80.0
1.314,4.0,0.5,80.0
1.321,4.0,0.5,80.0
1.331,4.0,0.5,80.0
1.341,4.0,0.5,80.0
1.351,4.0,0.5,80.0
1.37,4.0,0.5,80.0
1.374,4.0,0.5,80.0
1.381,4.0,0.5,80.0
1.391,4.0,0.5,80.0
1.401,4.0,0.5,80.0
1.411,4.0,0.5,80.0
1.432,4.0,0.5,80.0
1.435,4.0,0.5,80.0
1.441,4.0,0.5,80.0
1.451,4.0,0.5,80.0
1.461,4.0,0.5,80.0
1.471,4.0,0.5,80.0
1.49,4.0,0.5,80.0
1.495,4.0,0.5,80.0
1.501,4.0,0.5,80.0
1.511,4.0,0.5,80.0
1.521,4.0,0.5,80.0
1.531,4.0,0.5,80.0
1.551,4.0,0.5,80.0
1.555,4.0,0.5,80.0
1.561,4.0,0.5,80.0
1.571,4.0,0.5,80.0
1.581,4.0,0.5,80.0
1.591,4.0,0.5,80.0
1.61,4.0,0.5,80.0
1.613,4.0,0.5,80.0
1.621,4.0,0.5,80.0
1.631,4.0,0.5,80.0
1.641,4.0,0.5,80.0
1.651,4.0,0.5,80.0
1.672,4.0,0.5,80.0
1.675,4.0,0.5,80.0
1.681,4.0,0.5,80.0
1.691,4.0,0.5,80.0
1.701,4.0,0.5,80.0
1.711,4.0,0.5,80.0
1.73,4.0,0.5,80.0
1.733,4.0,0.5,80.0
1.741,4.0,0.5,80.0
1.751,4.0,0.5,80.0
1.761,4.0,0.5,80.0
1.771,4.0,0.5,80.0
1.79,4.0,0.5,80.0
1.795,4.0,0.5,80.0
1.801,4.0,0.5,80.0
1.811,4.0,0.5,80.0
1.821,4.0,0.5,80.0
1.831,4.0,0.5,80.0
1.85,4.0,0.5,80.0
1.854,4.0,0.5,80.0
1.861,4.0,0.5,80.0
1.871,4.0,0.5,80.0
1.881,4.0,0.5,80.0
1.891,4.0,0.5,80.0
1.91,4.0,0.5,80.0
1.914,4.0,0.5,80.0
1.921,4.0,0.5,80.0
1.931,4.0,0.5,80.0
1.941,4.0,0.5,80.0
1.951,4.0,0.5,80.0
1.97,4.0,0.5,80.0
1.973,4.0,0.5,80.0
1.981,4.0,0.5,80.0
