time,voltage,current,percentage
0.0,4.0,0.5,80.0
0.009,4.0,0.5,80.0
0.019,4.0,0.5,80.0
0.038,4.0,0.5,80.0
0.041,4.0,0.5,80.0
0.05,4.0,0.5,80.0
0.06,4.0,0.5,80.0
0.069,4.0,0.5,80.0
0.079,4.0,0.5,80.0
0.089,4.0,0.5,80.0
0.103,4.0,0.5,80.0
0.11,4.0,0.5,80.0
0.119,4.0,0.5,80.0
0.13,4.0,0.5,80.0
0.14,4.0,0.5,80.0
0.158,4.0,0.5,80.0
0.162,4.0,0.5,80.0
0.17,4.0,0.5,80.0
0.179,4.0,0.5,80.0
0.19,4.0,0.5,80.0
0.2,4.0,0.5,80.0
0.219,4.0,0.5,80.0
0.223,4.0,0.5,80.0
0.23,4.0,0.5,80.0
0.239,4.0,0.5,80.0
0.25,4.0,0.5,80.0
0.26,4.0,0.5,80.0
0.278,4.0,0.5,80.0
0.282,4.0,0.5,80.0
0.29,4.0,0.5,80.0
0.3,4.0,0.5,80.0
0.309,4.0,0.5,80.0
0.319,4.0,0.5,80.0
0.339,4.0,0.5,80.0
0.343,4.0,0.5,80.0
0.35,4.0,0.5,80.0
0.359,4.0,0.5,80.0
0.369,4.0,0.5,80.0
0.38,4.0,0.5,80.0
0.399,4.0,0.5,80.0
0.403,4.0,0.5,80.0
0.41,4.0,0.5,80.0
0.42,4.0,0.5,80.0
0.429,4.0,0.5,80.0
0.44,4.0,0.5,80.0
0.459,4.0,0.5,80.0
0.463,4.0,0.5,80.0
0.47,4.0,0.5,80.0
0.479,4.0,0.5,80.0
0.49,4.0,0.5,80.0
0.5,4.0,0.5,80.0
0.519,4.0,0.5,80.0
0.523,4.0,0.5,80.0
0.53,4.0,0.5,80.0
0.54,4.0,0.5,80.0
0.549,4.0,0.5,80.0
0.559,4.0,0.5,80.0
0.579,4.0,0.5,80.0
0.583,4.0,0.5,80.0
0.59,4.0,0.5,80.0
0.6,4.0,0.5,80.0
0.609,4.0,0.5,80.0
0.62,4.0,0.5,80.0
0.639,4.0,0.5,80.0
0.642,4.0,0.5,80.0
0.65,4.0,0.5,80.0
0.66,4.0,0.5,80.0
0.67,4.0,0.5,80.0
0.679,4.0,0.5,80.0
0.699,4.0,0.5,80.0
0.703,4.0,0.5,80.0
0.71,4.0,0.5,80.0
0.72,4.0,0.5,80.0
0.729,4.0,0.5,80.0
0.74,4.0,0.5,80.0
0.759,4.0,0.5,80.0
