time,voltage,current,percentage
0.0,4.0,0.5,80.0
0.02,4.0,0.5,80.0
0.023,4.0,0.5,80.0
0.03,4.0,0.5,80.0
0.04,4.0,0.5,80.0
0.05,4.0,0.5,80.0
0.06,4.0,0.5,80.0
0.07,4.0,0.5,80.0
0.086,4.0,0.5,80.0
0.09,4.0,0.5,80.0
0.1,4.0,0.5,80.0
0.11,4.0,0.5,80.0
0.12,4.0,0.5,80.0
0.139,4.0,0.5,80.0
0.143,4.0,0.5,80.0
0.15,4.0,0.5,80.0
0.16,4.0,0.5,80.0
0.17,4.0,0.5,80.0
0.18,4.0,0.5,80.0
0.199,4.0,0.5,80.0
0.204,4.0,0.5,80.0
0.21,4.0,0.5,80.0
0.22,4.0,0.5,80.0
0.23,4.0,0.5,80.0
0.24,4.0,0.5,80.0
0.26,4.0,0.5,80.0
0.263,4.0,0.5,80.0
0.27,4.0,0.5,80.0
0.28,4.0,0.5,80.0
0.29,4.0,0.5,80.0
0.3,4.0,0.5,80.0
0.32,4.0,0.5,80.0
0.324,4.0,0.5,80.0
0.33,4.0,0.5,80.0
0.34,4.0,0.5,80.0
0.35,4.0,0.5,80.0
0.36,4.0,0.5,80.0
0.38,4.0,0.5,80.0
0.384,4.0,0.5,80.0
0.39,4.0,0.5,80.0
0.4,4.0,0.5,80.0
0.41,4.0,0.5,80.0
0.42,4.0,0.5,80.0
0.44,4.0,0.5,80.0
0.443,4.0,0.5,80.0
0.45,4.0,0.5,80.0
0.46,4.0,0.5,80.0
0.47,4.0,0.5,80.0
0.48,4.0,0.5,80.0
0.5,4.0,0.5,80.0
0.504,4.0,0.5,80.0
0.51,4.0,0.5,80.0
0.52,4.0,0.5,80.0
0.53,4.0,0.5,80.0
0.54,4.0,0.5,80.0
0.561,4.0,0.5,80.0
0.565,4.0,0.5,80.0
0.57,4.0,0.5,80.0
0.58,4.0,0.5,80.0
0.59,4.0,0.5,80.0
0.6,4.0,0.5,80.0
0.619,4.0,0.5,80.0
0.623,4.0,0.5,80.0
0.63,4.0,0.5,80.0
0.64,4.0,0.5,80.0
0.65,4.0,0.5,80.0
0.66,4.0,0.5,80.0
0.68,4.0,0.5,80.0
0.683,4.0,0.5,80.0
0.69,4.0,0.5,80.0
0.7,4.0,0.5,80.0
0.71,4.0,0.5,80.0
0.72,4.0,0.5,80.0
0.74,4.0,0.5,80.0
0.743,4.0,0.5,80.0
0.75,4.0,0.5,80.0
0.76,4.0,0.5,80.0
0.77,4.0,0.5,80.0
0.78,4.0,0.5,80.0
0.799,4.0,0.5,80.0
1.048,4.0,0.5,80.0
1.058,4.0,0.5,80.0
1.068,4.0,0.5,80.0
1.078,4.0,0.5,80.0
1.098,4.0,0.5,80.0
1.101,4.0,0.5,80.0
1.108,4.0,0.5,80.0
1.118,4.0,0.5,80.0
1.128,4.0,0.5,80.0
1.138,4.0,0.5,80.0
1.158,4.0,0.5,80.0
1.161,4.0,0.5,80.0
1.168,4.0,0.5,80.0
1.178,4.0,0.5,80.0
1.188,4.0,0.5,80.0
1.198,4.0,0.5,80.0
1.218,4.0,0.5,80.0
1.222,4.0,0.5,80.0
1.228,4.0,0.5,80.0
1.238,4.0,0.5,80.0
1.248,4.0,0.5,80.0
1.258,4.0,0.5,80.0
1.278,4.0,0.5,80.0
