time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
57.58,9.867562,0.006708,-0.797566,0.043418,-0.013966,-0.029659,0.0,0.0,0.0
57.59,9.820398,-0.043264,-0.975658,0.040553,-0.01197,-0.052602,0.0,0.0,0.0
57.6,10.010304,-0.11822,-0.830613,0.062726,-0.004207,-0.064046,0.0,0.0,0.0
57.61,9.897335,-0.060244,-1.157271,0.112863,0.000952,-0.061192,0.0,0.0,0.0
57.62,9.846368,0.205154,-1.013309,0.139006,0.018038,-0.079194,0.0,0.0,0.0
57.63,9.888677,-0.281685,-0.900114,0.216976,0.04147,-0.066737,0.0,0.0,0.0
57.64,9.660512,-0.102486,-0.703025,0.231253,0.054935,-0.053157,0.0,0.0,0.0
57.65,9.580068,-0.011029,-0.823365,0.211414,0.028429,-0.049458,0.0,0.0,0.0
57.66,9.775388,0.202653,-0.665494,0.186276,0.01841,-0.04639,0.0,0.0,0.0
57.67,10.026426,0.368506,-0.440901,0.1439,0.009895,-0.039714,0.0,0.0,0.0
57.68,10.068809,0.298398,-0.509576,0.086103,0.005677,-0.03111,0.0,0.0,0.0
57.69,10.078323,-0.047695,-0.911741,0.046801,-0.008505,-0.026699,0.0,0.0,0.0
57.7,10.119059,-0.376145,-1.123507,0.161263,0.026586,-0.015803,0.0,0.0,0.0
57.71,9.915723,-0.380368,-1.190307,0.250177,0.032554,-0.011472,0.0,0.0,0.0
57.72,9.919143,-0.95179,-1.479244,0.331064,0.027487,0.014476,0.0,0.0,0.0
57.73,9.796702,-1.380398,-1.671816,0.430998,0.01995,0.049536,0.0,0.0,0.0
57.74,9.627594,-1.689811,-1.693293,0.546383,0.014623,0.100275,0.0,0.0,0.0
57.75,9.368791,-1.439892,-1.455445,0.594027,0.007349,0.150884,0.0,0.0,0.0
57.76,9.314432,-0.774473,-1.346748,0.568506,-0.017271,0.20055,0.0,0.0,0.0
57.77,9.309826,-0.288355,-1.106381,0.413072,-0.054062,0.234518,0.0,0.0,0.0
57.78,9.524411,-0.063145,-0.886307,0.337118,-0.072354,0.260718,0.0,0.0,0.0
57.79,9.625442,0.1441,-0.632331,0.26027,-0.08619,0.275986,0.0,0.0,0.0
57.8,9.731414,0.001181,-0.604561,0.194482,-0.084452,0.290234,0.0,0.0,0.0
57.81,9.768827,-0.070957,-0.594397,0.129533,-0.089361,0.303169,0.0,0.0,0.0
57.82,9.790806,0.100147,-0.606987,0.092511,-0.089377,0.305085,0.0,0.0,0.0
57.83,9.767048,-0.208064,-0.722136,-0.015711,-0.100123,0.315506,0.0,0.0,0.0
57.84,9.798494,-0.420222,-0.861096,-0.006896,-0.094727,0.320097,0.0,0.0,0.0
57.85,9.792071,-0.453052,-0.962119,-0.028295,-0.103304,0.326202,0.0,0.0,0.0
57.86,9.698936,-0.257802,-1.002896,-0.012309,-0.081093,0.328052,0.0,0.0,0.0
57.87,9.547615,-0.335207,-1.01124,-0.116525,-0.111697,0.335738,0.0,0.0,0.0
57.88,9.830725,-0.952092,-0.997413,-0.203452,-0.121805,0.344965,0.0,0.0,0.0
57.89,10.167288,-1.737708,-1.336269,-0.199414,-0.147684,0.381041,0.0,0.0,0.0
