time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
57.58,9.643609,1.234271,-1.748012,-0.003487,-0.000844,0.014152,0.0,0.0,0.0
57.59,9.645057,0.995826,-1.756395,-0.015039,-0.00257,0.028449,0.0,0.0,0.0
57.6,9.655126,0.917414,-1.67451,-0.018052,0.004995,0.029395,0.0,0.0,0.0
57.61,9.725329,0.830174,-1.760934,0.010069,0.010471,0.022943,0.0,0.0,0.0
57.62,9.755332,0.741336,-1.966819,0.055825,0.026891,0.027197,0.0,0.0,0.0
57.63,9.690937,1.137785,-2.030061,0.074539,0.03784,0.021478,0.0,0.0,0.0
57.64,9.671947,1.33803,-1.843423,0.029736,0.045432,0.010079,0.0,0.0,0.0
57.65,9.773591,1.271882,-1.61868,0.001353,0.063567,0.008233,0.0,0.0,0.0
57.66,10.049602,1.280366,-1.459747,-0.057426,0.090617,0.00176,0.0,0.0,0.0
57.67,10.172767,0.969077,-1.526436,-0.035163,0.109535,0.001231,0.0,0.0,0.0
57.68,10.054302,1.072388,-1.362044,-0.02717,0.113548,-0.006794,0.0,0.0,0.0
57.69,9.938135,1.024662,-1.38984,-0.005045,0.125278,-0.023842,0.0,0.0,0.0
57.7,9.922072,1.526082,-1.197587,0.067522,0.139052,-0.061019,0.0,0.0,0.0
57.71,9.922961,2.173648,-1.101912,0.13893,0.160276,-0.121776,0.0,0.0,0.0
57.72,9.791189,3.409444,-0.863832,0.271261,0.204762,-0.21254,0.0,0.0,0.0
57.73,9.441559,3.95849,-0.912072,0.291581,0.257795,-0.33164,0.0,0.0,0.0
57.74,8.95266,4.213835,-0.985467,0.417493,0.280644,-0.439571,0.0,0.0,0.0
57.75,8.93413,3.981382,-1.143178,0.472903,0.300716,-0.5246,0.0,0.0,0.0
57.76,9.115344,3.542238,-1.359792,0.540168,0.3056,-0.584711,0.0,0.0,0.0
57.77,9.223321,3.175617,-1.339701,0.594739,0.298994,-0.63565,0.0,0.0,0.0
57.78,9.310284,2.382487,-1.809285,0.555909,0.266121,-0.678284,0.0,0.0,0.0
57.79,9.215663,2.305039,-1.81012,0.48855,0.240507,-0.701399,0.0,0.0,0.0
57.8,9.286053,2.210876,-1.817605,0.284153,0.230364,-0.710527,0.0,0.0,0.0
57.81,9.043516,1.799102,-1.750229,0.24417,0.24907,-0.69351,0.0,0.0,0.0
57.82,8.880392,1.784252,-1.468491,0.256521,0.189628,-0.684826,0.0,0.0,0.0
57.83,9.022646,1.454949,-1.506918,0.126638,0.138784,-0.658312,0.0,0.0,0.0
57.84,9.194535,0.791981,-1.35985,0.015243,0.117932,-0.611775,0.0,0.0,0.0
57.85,9.532256,0.238467,-1.297321,-0.002707,0.087569,-0.562924,0.0,0.0,0.0
57.86,9.860207,-0.196495,-1.413128,0.058827,0.069275,-0.507562,0.0,0.0,0.0
57.87,9.910083,0.441597,-1.308949,0.122043,0.041976,-0.48558,0.0,0.0,0.0
57.88,10.019056,0.870468,-1.459314,0.137931,0.021767,-0.473362,0.0,0.0,0.0
57.89,9.756424,1.28852,-1.319744,0.167364,0.030702,-0.468812,0.0,0.0,0.0
57.9,9.613494,1.831036,-1.258122,0.19201,0.021464,-0.491318,0.0,0.0,0.0
57.91,9.574194,2.101771,-1.340862,0.234872,0.039147,-0.507804,0.0,0.0,0.0
57.92,9.306064,2.825273,-1.333206,0.372688,0.059177,-0.54412,0.0,0.0,0.0
57.93,9.103721,3.446728,-1.335966,0.351792,0.068356,-0.596364,0.0,0.0,0.0
57.94,8.959498,3.500867,-1.469127,0.342462,0.07494,-0.642338,0.0,0.0,0.0
57.95,8.810802,3.376142,-1.428034,0.35223,0.085716,-0.676489,0.0,0.0,0.0
57.96,8.841229,3.197704,-1.50167,0.293245,0.070347,-0.701494,0.0,0.0,0.0
57.97,8.92847,2.787455,-1.641725,0.266024,0.079531,-0.713775,0.0,0.0,0.0
57.98,9.019065,2.491586,-1.787318,0.196396,0.06263,-0.732259,0.0,0.0,0.0
57.99,9.297718,1.924581,-1.801903,0.202221,0.066082,-0.71337,0.0,0.0,0.0
58.0,9.579629,1.200497,-2.109281,0.177374,0.061495,-0.679233,0.0,0.0,0.0
58.01,9.586594,0.725221,-2.052789,0.121903,0.060292,-0.643875,0.0,0.0,0.0
58.02,9.579777,0.676836,-2.086761,0.146224,0.043664,-0.599019,0.0,0.0,0.0
58.03,9.648309,0.211084,-1.986518,0.093802,0.050386,-0.539255,0.0,0.0,0.0
58.04,9.408525,0.121623,-1.804989,0.014848,0.040113,-0.494241,0.0,0.0,0.0
58.05,9.555899,-0.428651,-1.701897,-0.006866,0.037104,-0.405043,0.0,0.0,0.0
58.06,9.902137,-0.880728,-1.597073,-0.048358,0.042035,-0.319888,0.0,0.0,0.0
58.07,10.426806,-1.459062,-1.288965,-0.079322,0.058223,-0.216094,0.0,0.0,0.0
58.08,11.407904,-1.168088,-1.253883,0.040211,0.085553,-0.125281,0.0,0.0,0.0
58.09,11.252319,2.208244,-1.578574,0.225574,0.093859,-0.119645,0.0,0.0,0.0
58.1,9.982948,4.369116,-1.855186,0.083837,0.119279,-0.17443,0.0,0.0,0.0
58.11,8.378719,3.488102,-2.033339,-0.032935,0.159897,-0.189611,0.0,0.0,0.0
58.12,7.681809,2.236066,-1.872227,-0.09893,0.0918,-0.225656,0.0,0.0,0.0
58.13,8.962347,0.231288,-1.960375,-0.040689,0.143284,-0.229763,0.0,0.0,0.0
58.14,9.143827,0.002894,-1.388916,-0.144541,0.064283,-0.238698,0.0,0.0,0.0
58.15,10.350704,0.65745,-1.272522,-0.185169,0.064028,-0.254739,0.0,0.0,0.0
58.16,10.526161,2.139465,-1.41729,-0.179095,0.069458,-0.278915,0.0,0.0,0.0
58.17,9.678965,3.461231,-0.994098,-0.175482,0.112633,-0.306075,0.0,0.0,0.0
58.18,8.301512,3.116,-0.90564,-0.131746,0.153913,-0.316839,0.0,0.0,0.0
58.19,7.773853,1.369179,-1.647643,0.072957,0.120922,-0.318234,0.0,0.0,0.0
58.2,8.026767,0.47017,-2.399452,0.336729,0.069527,-0.304313,0.0,0.0,0.0
58.21,9.242017,1.99144,-2.558485,0.433083,0.017488,-0.315737,0.0,0.0,0.0
58.22,10.193598,3.343205,-1.804181,0.171302,0.051705,-0.324841,0.0,0.0,0.0
58.23,10.182089,3.74793,-0.706188,-0.198792,0.103019,-0.362459,0.0,0.0,0.0
58.24,10.067049,3.474809,-0.203592,-0.381532,0.120759,-0.387297,0.0,0.0,0.0
58.25,9.51429,3.898272,-0.242337,-0.258662,0.092124,-0.403844,0.0,0.0,0.0
58.26,9.107379,4.581502,-0.007333,-0.163535,0.054341,-0.414937,0.0,0.0,0.0
58.27,8.344838,3.299172,-0.227241,-0.057881,0.043246,-0.427056,0.0,0.0,0.0
58.28,8.803719,3.88572,-0.692689,0.059291,-0.042297,-0.41056,0.0,0.0,0.0
58.29,9.386106,4.117659,-1.0534,0.031894,-0.030116,-0.394369,0.0,0.0,0.0
58.3,9.368777,3.753861,-1.37682,0.02,0.004436,-0.376122,0.0,0.0,0.0
58.31,9.482683,3.661692,-1.238266,0.011014,0.031305,-0.366995,0.0,0.0,0.0
58.32,9.55867,3.518984,-1.244926,-0.010289,0.063528,-0.357621,0.0,0.0,0.0
58.33,9.407128,3.319562,-1.264867,-0.042284,0.075724,-0.363216,0.0,0.0,0.0
58.34,9.123345,3.259706,-1.369887,-0.012146,0.073194,-0.372539,0.0,0.0,0.0
58.35,8.984722,3.538822,-1.2382,0.033956,0.080671,-0.382349,0.0,0.0,0.0
58.36,9.135765,3.769104,-1.213087,0.001279,0.07704,-0.386776,0.0,0.0,0.0
58.37,9.191089,3.7693,-1.370098,-0.010884,0.105407,-0.387103,0.0,0.0,0.0
58.38,9.330546,3.867701,-1.177737,-0.061386,0.130412,-0.376934,0.0,0.0,0.0
58.39,8.997113,3.804053,-1.167781,-0.091606,0.147222,-0.371637,0.0,0.0,0.0
58.4,9.107265,3.871862,-1.193275,-0.096287,0.13828,-0.347589,0.0,0.0,0.0
58.41,8.966572,3.766463,-1.37019,-0.090467,0.133692,-0.324755,0.0,0.0,0.0
58.42,8.957787,4.149149,-1.165964,-0.103224,0.116847,-0.312239,0.0,0.0,0.0
58.43,8.766388,4.708114,-0.834757,-0.14059,0.128366,-0.29539,0.0,0.0,0.0
58.44,8.72615,4.5839,-0.653896,-0.192426,0.128707,-0.263708,0.0,0.0,0.0
58.45,8.687285,3.802969,-0.823624,-0.154504,0.128367,-0.233613,0.0,0.0,0.0
58.46,8.930458,3.995816,-1.030085,-0.05269,0.10061,-0.206327,0.0,0.0,0.0
58.47,8.907644,4.128974,-0.902613,-0.06742,0.107782,-0.192285,0.0,0.0,0.0
58.48,8.738215,3.986966,-0.982466,-0.076761,0.093956,-0.175585,0.0,0.0,0.0
58.49,9.001545,3.880493,-1.056148,-0.04219,0.068954,-0.157905,0.0,0.0,0.0
58.5,8.949869,4.152919,-1.110251,-0.026915,0.063466,-0.145057,0.0,0.0,0.0
58.51,8.817352,4.487224,-0.769018,-0.083752,0.074768,-0.136116,0.0,0.0,0.0
58.52,8.608417,4.144023,-0.942505,-0.074715,0.08086,-0.121159,0.0,0.0,0.0
58.53,8.796551,4.172734,-1.061967,-0.01877,0.076766,-0.100639,0.0,0.0,0.0
58.54,8.892519,4.123269,-1.151471,-0.028885,0.081486,-0.084868,0.0,0.0,0.0
58.55,8.875229,4.234587,-1.102146,-0.066525,0.090388,-0.07814,0.0,0.0,0.0
58.56,8.854463,4.14282,-1.124227,-0.094719,0.099334,-0.067587,0.0,0.0,0.0
58.57,8.927048,4.005885,-1.190328,-0.080329,0.10637,-0.051988,0.0,0.0,0.0
58.58,9.092193,3.999391,-1.130399,-0.043543,0.118044,-0.037489,0.0,0.0,0.0
58.59,8.996121,4.276485,-1.267643,-0.031474,0.140512,-0.011608,0.0,0.0,0.0
58.6,9.036327,4.299716,-1.354564,-0.036029,0.177566,0.000682,0.0,0.0,0.0
58.61,9.021248,4.206821,-1.270696,-0.00058,0.197969,0.031384,0.0,0.0,0.0
58.62,9.116612,4.320479,-1.324446,-0.019489,0.235994,0.046498,0.0,0.0,0.0
58.63,8.999411,4.163084,-1.176792,-0.047993,0.262867,0.068429,0.0,0.0,0.0
58.64,9.339565,3.675931,-1.209304,-0.051926,0.257198,0.080974,0.0,0.0,0.0
58.65,10.037054,4.086043,-1.277384,-0.020609,0.291039,0.087384,0.0,0.0,0.0
58.66,9.926868,4.106548,-1.344633,-0.15965,0.375747,0.090606,0.0,0.0,0.0
58.67,9.860112,3.785683,-1.52508,-0.258266,0.425004,0.080489,0.0,0.0,0.0
58.68,10.539189,3.650141,-1.944612,-0.362543,0.478608,0.060372,0.0,0.0,0.0
58.69,11.008204,3.942945,-1.765187,-0.576302,0.571072,0.036813,0.0,0.0,0.0
58.7,11.561973,3.640821,-1.897906,-0.978123,0.68649,-0.011554,0.0,0.0,0.0
58.71,12.337605,2.873897,-2.948257,-1.323896,0.76111,-0.075428,0.0,0.0,0.0
58.72,13.36168,3.317264,-3.297685,-1.422052,0.79394,-0.162412,0.0,0.0,0.0
58.73,15.237193,3.567487,-2.260797,-1.572994,0.834157,-0.272928,0.0,0.0,0.0
58.74,19.650627,3.440259,0.379505,-1.669727,0.915107,-0.355947,0.0,0.0,0.0
58.75,22.039481,0.132211,-1.236141,-1.556593,1.113064,-0.414239,0.0,0.0,0.0
58.76,22.609938,0.369373,-2.051798,-1.109207,1.13743,-0.568251,0.0,0.0,0.0
58.77,21.279123,-0.910907,-4.530884,-0.661425,1.259159,-0.641444,0.0,0.0,0.0
58.78,17.611377,0.021085,-6.408766,0.400908,1.058408,-0.68632,0.0,0.0,0.0
58.79,15.539509,2.120384,-3.908827,-0.024573,0.800794,-0.892671,0.0,0.0,0.0
58.8,12.528367,2.474113,-6.757392,-0.033529,0.625376,-1.086023,0.0,0.0,0.0
58.81,10.720539,1.912688,-5.363002,-0.209601,0.526477,-1.253792,0.0,0.0,0.0
58.82,9.096889,1.509906,-5.442397,-0.008916,0.426522,-1.439455,0.0,0.0,0.0
58.83,8.113152,1.121185,-3.47044,-0.222528,0.2869,-1.5021,0.0,0.0,0.0
58.84,8.055625,-3.289361,-2.733869,-0.414113,0.267993,-1.437945,0.0,0.0,0.0
58.85,7.421452,-5.320121,-2.343224,-0.096194,0.27885,-1.246036,0.0,0.0,0.0
58.86,7.675927,-9.039773,-4.311784,0.265359,0.092016,-0.915517,0.0,0.0,0.0
58.87,7.365286,-11.410717,-4.693384,0.80508,-0.028174,-0.486831,0.0,0.0,0.0
58.88,6.412686,-11.396478,-4.015896,1.230002,-0.200921,-0.164309,0.0,0.0,0.0
58.89,5.53041,-10.594015,-3.633672,1.611263,-0.444843,0.154782,0.0,0.0,0.0
58.9,5.033935,-9.789402,-3.422653,1.683046,-0.670192,0.517801,0.0,0.0,0.0
58.91,5.205085,-9.611134,-3.138591,1.603672,-0.789058,0.903692,0.0,0.0,0.0
58.92,5.310774,-9.373841,-2.888535,1.494549,-0.809957,1.261501,0.0,0.0,0.0
58.93,5.625034,-9.106533,-2.297948,1.411045,-0.877969,1.599653,0.0,0.0,0.0
58.94,6.071494,-8.483385,-2.085141,1.410138,-0.928211,1.939082,0.0,0.0,0.0
58.95,6.378369,-7.258239,-1.765151,1.384407,-0.918975,2.279812,0.0,0.0,0.0
58.96,6.592476,-6.287144,-1.581921,1.307402,-0.981891,2.610984,0.0,0.0,0.0
58.97,7.286098,-5.320235,-1.231439,1.166249,-1.001418,2.965786,0.0,0.0,0.0
58.98,8.044693,-4.347581,-0.728863,0.96597,-1.000845,3.317634,0.0,0.0,0.0
58.99,8.865648,-3.484014,-0.250528,0.739339,-0.974967,3.633503,0.0,0.0,0.0
