time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
57.58,3.150622,-0.339637,9.797517,-0.212095,0.056663,-0.025796,0.0,0.0,0.0
57.59,3.305488,-0.891693,9.615116,-0.494583,0.049732,-0.002174,0.0,0.0,0.0
57.6,3.879946,-2.138012,9.283415,-0.579703,0.103755,0.062474,0.0,0.0,0.0
57.61,5.795034,-2.870159,9.588101,-0.380762,0.170714,0.2706,0.0,0.0,0.0
57.62,4.874202,-6.680654,9.24546,-0.228167,0.421481,0.417372,0.0,0.0,0.0
57.63,4.928422,-8.446359,10.337813,0.702872,0.5175,0.601266,0.0,0.0,0.0
57.64,5.049794,-7.480583,11.364249,1.379784,0.611759,0.790045,0.0,0.0,0.0
57.65,4.865574,-6.419606,11.790198,1.617437,0.663037,1.001055,0.0,0.0,0.0
57.66,4.16351,-6.353196,11.589941,1.644161,0.725355,1.218002,0.0,0.0,0.0
57.67,3.228982,-6.205941,11.266377,1.608897,0.768245,1.436368,0.0,0.0,0.0
57.68,2.532804,-5.582596,11.043475,1.41394,0.791173,1.661007,0.0,0.0,0.0
57.69,2.04385,-5.732968,10.888299,1.125459,0.807734,1.886432,0.0,0.0,0.0
57.7,1.727928,-6.165586,10.906713,0.821227,0.793837,2.122332,0.0,0.0,0.0
57.71,1.663394,-6.470121,10.95649,0.457133,0.759866,2.385621,0.0,0.0,0.0
57.72,1.750823,-6.616382,10.69541,0.076797,0.710343,2.682945,0.0,0.0,0.0
57.73,1.565774,-6.667902,10.266842,-0.256157,0.643528,2.982418,0.0,0.0,0.0
57.74,1.243731,-6.776455,9.865093,-0.420745,0.573729,3.25255,0.0,0.0,0.0
57.75,1.063466,-6.761795,9.502439,-0.45511,0.489817,3.488103,0.0,0.0,0.0
57.76,0.884165,-6.404764,9.118934,-0.432977,0.398421,3.698335,0.0,0.0,0.0
57.77,0.725579,-6.124687,8.792146,-0.441811,0.308226,3.890165,0.0,0.0,0.0
57.78,0.5783,-5.794998,8.402595,-0.434445,0.213255,4.05443,0.0,0.0,0.0
57.79,0.536502,-5.250279,8.308306,-0.323591,0.131542,4.152928,0.0,0.0,0.0
57.8,0.230002,-4.698662,8.174786,-0.195057,0.053352,4.219153,0.0,0.0,0.0
57.81,-0.205045,-3.950432,8.057083,-0.108842,-0.022327,4.259359,0.0,0.0,0.0
57.82,-0.564182,-3.205482,7.759241,-0.100921,-0.096023,4.291529,0.0,0.0,0.0
57.83,-1.06149,-2.575059,7.33797,-0.16616,-0.179326,4.314058,0.0,0.0,0.0
57.84,-1.577995,-2.22809,6.779054,-0.294731,-0.296466,4.335988,0.0,0.0,0.0
57.85,-1.92474,-1.965626,6.275241,-0.419026,-0.439207,4.349894,0.0,0.0,0.0
57.86,-1.990605,-1.88895,6.114268,-0.522837,-0.578813,4.341478,0.0,0.0,0.0
57.87,-1.850735,-1.952317,6.181159,-0.555581,-0.712478,4.320103,0.0,0.0,0.0
57.88,-1.648292,-1.756166,6.442022,-0.46338,-0.806354,4.247461,0.0,0.0,0.0
57.89,-1.60269,-1.346166,6.671679,-0.324397,-0.900479,4.159259,0.0,0.0,0.0
57.9,-1.525561,-0.973489,6.845083,-0.16292,-0.973065,4.064734,0.0,0.0,0.0
57.91,-1.437454,-0.602395,7.17455,-0.059894,-1.032033,3.976797,0.0,0.0,0.0
57.92,-1.360457,-0.306493,7.325855,-0.038059,-1.090097,3.892363,0.0,0.0,0.0
57.93,-1.345658,-0.160557,7.178227,-0.080596,-1.144652,3.81289,0.0,0.0,0.0
57.94,-1.408544,-0.148223,6.931947,-0.159489,-1.209363,3.734396,0.0,0.0,0.0
57.95,-1.347067,-0.10788,6.627473,-0.225356,-1.295516,3.638448,0.0,0.0,0.0
57.96,-1.072867,-0.117474,6.412297,-0.267777,-1.384064,3.545819,0.0,0.0,0.0
57.97,-0.761619,-0.250141,6.4717,-0.296667,-1.434268,3.429219,0.0,0.0,0.0
57.98,-0.573186,-0.44331,6.571468,-0.253589,-1.477722,3.301105,0.0,0.0,0.0
57.99,-0.326925,-0.536014,6.910464,-0.176361,-1.535527,3.165005,0.0,0.0,0.0
58.0,-0.016244,-0.508544,6.962416,-0.115201,-1.589494,3.031552,0.0,0.0,0.0
