time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
57.58,8.891048,-0.785393,-3.844033,-0.030676,-0.051913,-0.014754,0.0,0.0,0.0
57.59,8.886865,-0.734883,-3.927144,-0.029278,-0.065173,-0.014931,0.0,0.0,0.0
57.6,8.878798,-0.699484,-3.890441,-0.039332,-0.079941,-0.015858,0.0,0.0,0.0
57.61,8.888557,-0.719029,-3.920401,-0.064652,-0.08442,-0.016706,0.0,0.0,0.0
57.62,8.972706,-0.808175,-3.888952,-0.066667,-0.085193,-0.017442,0.0,0.0,0.0
57.63,9.020292,-0.778879,-3.813776,-0.05626,-0.083698,-0.022395,0.0,0.0,0.0
57.64,8.959178,-0.726129,-3.852162,-0.066198,-0.102299,-0.019992,0.0,0.0,0.0
57.65,8.841063,-0.665343,-3.932122,-0.073944,-0.129551,-0.026037,0.0,0.0,0.0
57.66,8.764206,-0.671382,-4.027122,-0.095691,-0.156672,-0.024793,0.0,0.0,0.0
57.67,8.770219,-0.597337,-4.077627,-0.107328,-0.177843,-0.029637,0.0,0.0,0.0
57.68,8.732837,-0.545108,-4.104205,-0.13496,-0.19967,-0.027901,0.0,0.0,0.0
57.69,8.512675,-0.553407,-4.091309,-0.14347,-0.154512,-0.024601,0.0,0.0,0.0
57.7,8.234666,-0.53004,-3.981727,-0.124217,-0.111627,-0.0261,0.0,0.0,0.0
57.71,8.126726,-0.390194,-3.790294,-0.157742,-0.183009,-0.015572,0.0,0.0,0.0
57.72,8.297261,-0.419517,-3.80569,-0.258794,-0.330783,-0.00216,0.0,0.0,0.0
57.73,8.675351,-0.536007,-4.07328,-0.333975,-0.473957,0.017863,0.0,0.0,0.0
57.74,9.064341,-0.687479,-4.540494,-0.336873,-0.498809,0.027362,0.0,0.0,0.0
57.75,9.221981,-0.782391,-5.028559,-0.271739,-0.382975,0.021931,0.0,0.0,0.0
57.76,9.290885,-0.748723,-5.242361,-0.169873,-0.214337,0.013488,0.0,0.0,0.0
57.77,9.406321,-0.659396,-5.169248,-0.100583,-0.038171,0.006984,0.0,0.0,0.0
57.78,9.336307,-0.679928,-4.872308,-0.070184,0.130691,-0.003292,0.0,0.0,0.0
57.79,9.253591,-0.656956,-4.461864,-0.036343,0.23185,-0.010774,0.0,0.0,0.0
57.8,9.133805,-0.599207,-4.074768,-0.025202,0.255582,-0.009873,0.0,0.0,0.0
57.81,9.061779,-0.580403,-3.804865,-0.085617,0.196441,-0.008579,0.0,0.0,0.0
57.82,9.108392,-0.602179,-3.795751,-0.136688,0.109941,-0.004021,0.0,0.0,0.0
57.83,9.203964,-0.580857,-3.833568,-0.18224,0.002125,0.005074,0.0,0.0,0.0
57.84,9.266845,-0.585328,-3.997115,-0.205733,-0.055685,0.011824,0.0,0.0,0.0
57.85,9.190934,-0.496449,-4.094647,-0.210964,-0.066162,0.010465,0.0,0.0,0.0
57.86,9.195747,-0.460044,-4.201974,-0.222341,-0.087409,0.014819,0.0,0.0,0.0
57.87,9.157703,-0.374945,-4.173984,-0.259448,-0.094961,0.007369,0.0,0.0,0.0
57.88,9.240743,-0.41739,-4.393032,-0.329708,-0.134586,0.015347,0.0,0.0,0.0
57.89,9.160311,-0.441574,-4.585694,-0.357425,-0.11493,0.016535,0.0,0.0,0.0
57.9,9.176704,-0.529656,-4.842625,-0.327988,-0.085464,0.019869,0.0,0.0,0.0
57.91,9.12968,-0.548673,-5.043386,-0.265827,-0.029663,0.026673,0.0,0.0,0.0
57.92,9.072907,-0.54886,-5.215333,-0.201338,0.017197,0.037604,0.0,0.0,0.0
57.93,9.197682,-0.55133,-5.367777,-0.134001,0.075922,0.058111,0.0,0.0,0.0
57.94,9.358157,-0.484065,-5.414326,-0.087765,0.176494,0.073813,0.0,0.0,0.0
57.95,9.402349,-0.459813,-5.525183,-0.075254,0.324726,0.094327,0.0,0.0,0.0
57.96,9.431065,-0.485306,-5.565888,-0.058118,0.478271,0.104055,0.0,0.0,0.0
