PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
5758,9.867562,0.006708,-0.797566,0.043418,-0.013966,-0.029659,164.128107,-85.361152,0.098424
5759,9.820398,-0.043264,-0.975658,0.040553,-0.01197,-0.052602,163.838922,-85.345859,0.411857
5760,10.010304,-0.11822,-0.830613,0.062726,-0.004207,-0.064046,163.470429,-85.332865,0.817323
5761,9.897335,-0.060244,-1.157271,0.112863,0.000952,-0.061192,163.14281,-85.322843,1.20992
5762,9.846368,0.205154,-1.013309,0.139006,0.018038,-0.079194,162.674589,-85.319054,1.75931
5763,9.888677,-0.281685,-0.900114,0.216976,0.04147,-0.066737,162.285892,-85.330076,2.274362
5764,9.660512,-0.102486,-0.703025,0.231253,0.054935,-0.053157,161.963524,-85.350372,2.73043
5765,9.580068,-0.011029,-0.823365,0.211414,0.028429,-0.049458,161.715492,-85.356113,3.101141
5766,9.775388,0.202653,-0.665494,0.186276,0.01841,-0.04639,161.490087,-85.357437,3.434061
5767,10.026426,0.368506,-0.440901,0.1439,0.009895,-0.039714,161.30681,-85.355217,3.700938
5768,10.068809,0.298398,-0.509576,0.086103,0.005677,-0.03111,161.155012,-85.352276,3.902425
5769,10.078323,-0.047695,-0.911741,0.046801,-0.008505,-0.026699,161.043289,-85.342345,4.039045
5770,10.119059,-0.376145,-1.123507,0.161263,0.026586,-0.015803,160.988969,-85.353524,4.185939
5771,9.915723,-0.380368,-1.190307,0.250177,0.032554,-0.011472,161.003421,-85.368719,4.315877
5772,9.919143,-0.95179,-1.479244,0.331064,0.027487,0.014476,161.246676,-85.386021,4.261825
5773,9.796702,-1.380398,-1.671816,0.430998,0.01995,0.049536,161.805653,-85.405578,3.948881
5774,9.627594,-1.689811,-1.693293,0.546383,0.014623,0.100275,162.789513,-85.430715,3.275617
5775,9.368791,-1.439892,-1.455445,0.594027,0.007349,0.150884,164.18082,-85.459027,2.223257
5776,9.314432,-0.774473,-1.346748,0.568506,-0.017271,0.20055,165.959392,-85.478679,0.765554
5777,9.309826,-0.288355,-1.106381,0.413072,-0.054062,0.234518,167.968065,-85.477933,-1.010214
5778,9.524411,-0.063145,-0.886307,0.337118,-0.072354,0.260718,170.131725,-85.465104,-2.987196
5779,9.625442,0.1441,-0.632331,0.26027,-0.08619,0.275986,172.367195,-85.439585,-5.078239
5780,9.731414,0.001181,-0.604561,0.194482,-0.084452,0.290234,174.630353,-85.409711,-7.23715
5781,9.768827,-0.070957,-0.594397,0.129533,-0.089361,0.303169,176.926291,-85.370476,-9.463534
5782,9.790806,0.100147,-0.606987,0.092511,-0.089377,0.305085,179.165122,-85.324511,-11.65689
5783,9.767048,-0.208064,-0.722136,-0.015711,-0.100123,0.315506,-178.625335,-85.264975,-13.880109
5784,9.798494,-0.420222,-0.861096,-0.006896,-0.094727,0.320097,-176.443321,-85.202001,-16.073964
