PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
5758,2.906397,5.368844,7.967464,0.085681,0.010895,-0.049173,33.978168,-15.640307,65.032573
5759,2.803751,5.400038,7.98427,0.051276,0.011903,-0.063864,34.013718,-15.615064,65.004422
5760,2.761994,5.369444,7.930477,0.031452,-0.004183,-0.085459,34.042101,-15.590224,64.961768
5761,2.697419,5.28717,8.03306,0.020466,-0.01493,-0.106043,34.067607,-15.56423,64.9081
5762,2.634265,5.162489,8.129929,0.005705,-0.04356,-0.128657,34.09042,-15.544172,64.831078
5763,2.607081,5.015856,8.182364,-0.000111,-0.080319,-0.150766,34.116226,-15.53466,64.729955
5764,2.560454,4.966606,8.25099,0.009339,-0.109345,-0.167506,34.152087,-15.533239,64.611886
5765,2.538755,5.027288,8.364107,0.042933,-0.137029,-0.18045,34.211904,-15.540659,64.477037
5766,2.508839,4.994741,8.446106,0.066536,-0.169723,-0.184311,34.288207,-15.562184,64.330489
5767,2.44156,5.032847,8.436704,0.085059,-0.184699,-0.209042,34.379251,-15.583209,64.166977
5768,2.41083,5.172594,8.432905,0.10376,-0.205802,-0.237138,34.487242,-15.604218,63.982275
5769,2.344861,5.214349,8.315023,0.104408,-0.222389,-0.264957,34.601291,-15.623662,63.776474
5770,2.124979,5.149741,8.211308,0.106522,-0.254686,-0.301502,34.723972,-15.646022,63.543608
5771,1.921095,5.012885,8.113838,0.099466,-0.290107,-0.348962,34.85188,-15.669382,63.277962
5772,1.584203,4.981229,8.038672,0.111789,-0.342837,-0.394358,34.998191,-15.701667,62.969594
5773,1.338642,4.851469,7.970342,0.114638,-0.414238,-0.446959,35.160272,-15.749215,62.610625
5774,1.151527,4.807327,8.010178,0.093564,-0.474992,-0.495309,35.322406,-15.808327,62.207442
5775,1.086055,4.888603,8.080473,0.021202,-0.538466,-0.524166,35.453699,-15.886337,61.768947
5776,1.076022,4.829142,8.003125,-0.074397,-0.607103,-0.550882,35.540781,-15.986853,61.29251
5777,1.110304,4.858648,7.968594,-0.182492,-0.667658,-0.568604,35.574996,-16.109131,60.790679
5778,1.21618,4.839533,7.953501,-0.294242,-0.716224,-0.5743,35.55198,-16.252174,60.264311
5779,1.232781,4.767565,8.012072,-0.409997,-0.75371,-0.573567,35.46758,-16.413245,59.728007
5780,1.256553,4.786065,8.176553,-0.509234,-0.794579,-0.583346,35.333298,-16.591318,59.16967
5781,1.327828,4.712599,8.267741,-0.547122,-0.819491,-0.589168,35.182291,-16.780237,58.605665
5782,1.536811,4.821043,8.364324,-0.511455,-0.841708,-0.611968,35.059068,-16.973574,58.016898
5783,1.626697,4.920069,8.307138,-0.466188,-0.865347,-0.634018,34.969368,-17.171587,57.417321
5784,1.651,4.864875,8.314109,-0.389116,-0.882086,-0.663925,34.931999,-17.368504,56.788487
5785,1.720125,5.062811,8.23278,-0.392466,-0.913272,-0.692507,34.902907,-17.570545,56.14389
5786,1.657026,5.076978,8.072134,-0.366426,-0.968189,-0.731455,34.9023,-17.786287,55.450889
5787,1.688759,4.928495,7.928319,-0.329926,-1.012887,-0.757462,34.934287,-18.014419,54.74063
5788,1.723807,4.802775,7.764151,-0.284215,-1.052199,-0.794009,35.005284,-18.248289,53.985661
5789,1.846518,4.986194,7.648974,-0.25103,-1.087692,-0.822696,35.10671,-18.487876,53.20424
5790,2.009668,4.999451,7.56251,-0.247604,-1.126785,-0.853813,35.223344,-18.734501,52.390804
5791,2.211318,4.979815,7.469278,-0.215443,-1.168896,-0.893821,35.373109,-18.985342,51.54263
5792,2.366479,4.819304,7.420771,-0.168449,-1.218748,-0.926209,35.565438,-19.246715,50.657255
5793,2.54438,4.823739,7.249336,-0.120307,-1.265145,-0.945876,35.798325,-19.519549,49.74495
5794,2.742194,4.918328,6.977584,-0.033726,-1.326118,-0.978326,36.099134,-19.806185,48.790283
5795,2.949302,5.040919,6.825111,0.031109,-1.398378,-1.009298,36.456563,-20.110077,47.792562
5796,3.1439,5.189515,6.573921,0.07775,-1.437045,-1.024178,36.855022,-20.420903,46.767629
5797,3.27879,5.31145,6.354391,0.098117,-1.485755,-1.05587,37.283259,-20.735673,45.706519
5798,3.565727,5.338085,6.114434,0.104452,-1.545332,-1.09259,37.737128,-21.057478,44.598771
5799,3.923419,5.389355,5.982692,0.132308,-1.600578,-1.11203,38.225267,-21.38846,43.457105
5800,4.090848,5.458156,6.019535,0.154627,-1.641745,-1.102788,38.739174,-21.732269,42.296773
5801,4.217657,5.468149,5.767831,0.182279,-1.687927,-1.086374,39.281198,-22.09225,41.121646
5802,4.325376,5.457169,5.596664,0.211572,-1.708024,-1.068714,39.849695,-22.457309,39.938788
5803,4.292454,5.522071,5.350202,0.240697,-1.735229,-1.041612,40.443534,-22.832874,38.752117
5804,4.172903,5.544407,4.821539,0.282371,-1.774781,-1.045197,41.07879,-23.212782,37.538735
5805,3.952406,5.701348,4.318409,0.38664,-1.826704,-1.045372,41.792775,-23.601506,36.296659
5806,3.940592,6.043035,3.943647,0.515575,-1.896151,-1.052505,42.605706,-24.001974,35.011635
5807,4.532206,7.059882,4.272649,0.701802,-1.916148,-1.077901,43.545669,-24.382649,33.696723
5808,5.531094,8.787594,5.735592,0.890852,-1.813323,-1.122769,44.595459,-24.682407,32.395129
5809,6.355929,10.766669,7.843529,0.892278,-1.678008,-1.221424,45.64747,-24.865494,31.102137
5810,6.493807,11.585206,8.139284,0.615637,-1.652029,-1.32409,46.560105,-24.975849,29.770809
5811,5.616617,9.20007,7.775761,0.367057,-1.681121,-1.295491,47.33435,-25.091662,28.435513
5812,3.23493,5.29316,6.403409,0.247481,-1.674809,-1.152888,48.017167,-25.250168,27.160937
5813,2.190963,2.97747,5.63917,0.360097,-1.643583,-1.051414,48.744839,-25.425927,25.940131
5814,3.042012,3.202156,5.835445,0.68944,-1.553819,-0.994619,49.637539,-25.577201,24.781667
5815,4.373769,4.7462,6.96729,1.177369,-1.414864,-0.943564,50.775364,-25.681307,23.708281
5816,5.082921,6.552847,8.52963,1.520766,-1.371342,-0.879259,52.092714,-25.778043,22.678416
5817,6.45267,8.248266,8.971454,1.465737,-1.306001,-0.775358,53.349237,-25.87847,21.719618
5818,6.69828,8.589472,8.000886,1.324753,-1.254427,-0.671723,54.499609,-25.991463,20.82233
5819,6.204578,7.423446,6.188715,1.295633,-1.205045,-0.554929,55.605956,-26.127064,19.991519
5820,5.217758,6.263242,4.359534,1.381822,-1.134283,-0.397958,56.724602,-26.300382,19.24894
5821,4.223172,6.803568,3.531161,1.454523,-1.031616,-0.261566,57.843194,-26.494527,18.605285
5822,4.305065,8.175976,3.972811,1.423212,-0.9178,-0.144847,58.903249,-26.70049,18.056479
5823,4.122692,9.238046,5.422917,1.327738,-0.783725,-0.056147,59.865707,-26.902296,17.606948
5824,3.578431,9.361041,6.106562,1.278189,-0.759916,-0.0259,60.793227,-27.105823,17.174682
5825,3.14868,9.214079,5.545407,1.35243,-0.744151,-0.027301,61.762361,-27.297802,16.747618
5826,3.161338,9.520782,5.156698,1.531041,-0.705445,-0.028557,62.827541,-27.472143,16.336589
5827,4.026514,9.824756,4.940045,1.682434,-0.652139,-0.02248,63.966999,-27.62873,15.955041
5828,4.559178,10.040871,5.319632,1.677597,-0.609931,0.009986,65.091247,-27.785112,15.601975
5829,5.212019,9.538549,5.146399,1.543248,-0.57392,0.052409,66.125442,-27.949039,15.278995
5830,5.323216,8.075056,4.40293,1.405405,-0.506492,0.128256,67.055647,-28.132715,15.010819
5831,5.200737,6.986462,4.035722,1.342491,-0.422768,0.203891,67.919125,-28.334176,14.809468
5832,5.026343,6.477421,4.187816,1.316086,-0.344811,0.275511,68.739751,-28.554785,14.6674
5833,5.074761,6.830698,4.20407,1.364756,-0.254945,0.351606,69.555222,-28.795864,14.595632
5834,4.826813,7.314827,3.534901,1.43201,-0.189277,0.415926,70.385599,-29.057869,14.572891
5835,4.478382,7.761722,2.516287,1.459069,-0.146853,0.472205,71.214293,-29.341885,14.586064
5836,4.51166,8.545055,1.961614,1.493144,-0.100297,0.504803,72.047807,-29.635464,14.628506
5837,4.78512,9.38136,2.179233,1.485147,-0.024314,0.557852,72.849226,-29.945257,14.726409
5838,4.844582,10.119596,2.317011,1.366229,0.030476,0.609888,73.56249,-30.275733,14.862803
5839,4.711977,10.525049,2.087292,1.219862,0.063453,0.662803,74.176974,-30.631279,15.027672
5840,4.723006,10.34463,2.080286,1.069272,0.105033,0.744294,74.685441,-31.026923,15.228807
5841,4.927784,9.846589,2.125543,0.977098,0.127914,0.841876,75.124283,-31.474369,15.46028
5842,5.244369,9.471177,2.148315,1.011761,0.150964,0.918257,75.568729,-31.962495,15.715438
5843,5.4839,8.992987,2.145802,1.027924,0.153887,0.988764,76.014349,-32.490846,15.982514
5844,5.54633,8.36383,2.03336,1.02892,0.176851,1.076829,76.444669,-33.066972,16.274548
5845,5.772401,8.177,2.176328,1.008648,0.187879,1.156225,76.850996,-33.687474,16.584811
5846,6.104588,8.118845,2.301822,0.913883,0.181762,1.243258,77.196854,-34.35924,16.900534
5847,6.422029,8.190054,2.242607,0.799567,0.184678,1.338512,77.465046,-35.085075,17.232475
5848,6.604251,8.17719,2.120095,0.706175,0.183063,1.442964,77.668521,-35.870871,17.577124
5849,6.724662,8.15355,2.016436,0.621943,0.179364,1.568884,77.809019,-36.728255,17.940374
5850,7.054603,8.428337,1.778485,0.581304,0.174547,1.699704,77.911187,-37.660317,18.320493
5851,7.29442,8.849895,1.679324,0.566837,0.161339,1.810421,77.992923,-38.656281,18.712639
5852,7.277388,9.45526,1.908758,0.51407,0.119842,1.890812,78.048173,-39.702806,19.089658
5853,7.347258,10.355094,1.980912,0.420793,0.057473,1.92706,78.06676,-40.777023,19.432982
5854,7.456442,10.87936,2.139427,0.249559,-0.002902,1.929661,78.008417,-41.859986,19.736234
5855,7.377999,11.117947,2.333509,0.013698,-0.076333,1.916064,77.843691,-42.943443,19.991097
5856,7.432104,11.324139,2.561988,-0.23194,-0.164105,1.882522,77.578882,-44.018359,20.181185
5857,7.592841,11.292517,2.614546,-0.491302,-0.274603,1.852906,77.21853,-45.08946,20.292594
5858,7.909124,10.912773,2.704832,-0.811612,-0.39539,1.829577,76.7363,-46.162823,20.315106
5859,8.259924,10.12983,2.636954,-1.159699,-0.492735,1.805765,76.103158,-47.235462,20.27115
5860,8.418944,9.245711,2.726233,-1.492556,-0.566843,1.803834,75.312215,-48.318163,20.182894
5861,8.413346,8.217816,2.95095,-1.794593,-0.656419,1.806747,74.38766,-49.416264,20.044406
5862,8.627194,7.222756,3.415474,-1.995799,-0.746922,1.813904,73.388789,-50.534472,19.854045
5863,9.176227,6.418774,3.891928,-2.019198,-0.837731,1.858403,72.410058,-51.693889,19.624459
5864,10.051331,6.252952,4.702262,-1.97086,-0.902719,1.93805,71.470113,-52.910911,19.383813
5865,11.075859,7.37874,5.673919,-2.003641,-0.875119,1.985865,70.458535,-54.150595,19.213811
5866,12.174421,8.289568,6.645955,-2.161059,-0.784697,1.955463,69.270218,-55.358232,19.151331
5867,12.851323,8.190334,7.043197,-2.304099,-0.694652,1.931079,67.897271,-56.534092,19.215116
5868,13.051829,6.747319,7.130169,-2.361929,-0.646671,1.882512,66.422836,-57.672865,19.358027
5869,13.399454,5.495827,6.847629,-2.189699,-0.585685,1.817426,64.966209,-58.760446,19.596263
5870,13.433364,4.399539,6.658933,-1.816823,-0.437703,1.732598,63.578576,-59.764527,19.998261
5871,14.284955,2.413392,6.438709,-1.425319,-0.367998,1.595183,62.359725,-60.674909,20.462821
5872,14.590766,1.912108,5.871441,-0.738224,-0.164214,1.461004,61.370742,-61.458378,21.108268
5873,14.252597,1.897325,6.056037,-0.202097,0.119675,1.289795,60.469232,-62.071329,22.001899
5874,13.990798,1.81158,5.796507,0.231286,0.315219,1.076395,59.715934,-62.516787,23.001171
5875,13.10984,1.66155,5.398654,0.610847,0.481315,0.839105,59.12806,-62.790808,24.059403
5876,12.194724,2.079263,4.951204,0.840532,0.695293,0.620766,58.584314,-62.89007,25.210557
5877,11.164724,2.175401,4.187887,0.942237,0.872367,0.413282,58.045553,-62.829357,26.42544
5878,10.557971,2.040082,3.587366,1.016756,1.060898,0.173376,57.526422,-62.590227,27.663861
5879,9.66538,1.707788,2.831043,1.156823,1.231548,-0.073905,57.091503,-62.173711,28.905768
5880,8.848058,1.419599,2.162871,1.321125,1.397483,-0.308619,56.771094,-61.589467,30.126032
5881,8.073712,1.119094,1.579425,1.426804,1.548498,-0.501388,56.520505,-60.861876,31.347642
5882,7.313769,0.660416,1.128421,1.517492,1.660761,-0.650073,56.352676,-60.026263,32.538814
5883,6.609478,0.220468,0.796411,1.602719,1.722645,-0.754977,56.275234,-59.11904,33.696573
5884,6.157511,-0.443627,0.477424,1.699977,1.719536,-0.842149,56.341106,-58.171873,34.758714
5885,5.614005,-0.756644,0.213929,1.876957,1.721048,-0.900119,56.562301,-57.197268,35.77235
5886,5.230883,-0.94524,0.091195,2.04206,1.705092,-0.927773,56.930122,-56.217879,36.73073
5887,4.844033,-1.185958,0.000504,2.206544,1.653889,-0.917743,57.438297,-55.262632,37.648249
5888,4.392121,-1.038162,0.032258,2.319345,1.567659,-0.884129,58.071279,-54.355829,38.498442
5889,4.001058,-0.632787,0.123041,2.356724,1.464204,-0.835981,58.779665,-53.508765,39.295126
5890,3.714271,-0.117622,0.412071,2.320495,1.364421,-0.795357,59.524419,-52.717561,40.02491
5891,3.565337,0.466143,0.737018,2.267002,1.268275,-0.74724,60.281958,-51.983069,40.711035
5892,3.4308,1.133336,1.182778,2.155484,1.191167,-0.714309,61.017059,-51.292716,41.34718
5893,3.362049,1.727171,1.705112,1.977715,1.14052,-0.676452,61.667632,-50.639555,41.9707
5894,3.342985,2.512827,2.288508,1.808053,1.103234,-0.615737,62.229153,-50.031861,42.585561
5895,3.556297,3.168129,3.182658,1.591703,1.126746,-0.546388,62.6319,-49.455848,43.255059
5896,3.618988,3.664492,3.810436,1.242952,1.145307,-0.45034,62.803891,-48.926649,43.967262
5897,3.74928,4.115425,3.977606,0.859531,1.134326,-0.35944,62.741522,-48.446353,44.708291
5898,3.908546,4.046578,4.028041,0.471242,1.136708,-0.282101,62.445883,-48.003987,45.465271
5899,3.975448,3.678204,3.869946,0.127047,1.123422,-0.185288,61.940634,-47.609867,46.247942
5900,3.904619,3.481237,3.851984,-0.208565,1.075646,-0.074887,61.251211,-47.279863,47.020127
5901,4.080952,3.039506,3.47485,-0.480463,1.009516,0.033151,60.41682,-47.014496,47.78539
5902,4.034104,2.411527,3.223366,-0.632234,0.984117,0.174866,59.477356,-46.819729,48.574183
5903,3.864617,1.958119,3.003883,-0.731641,0.929833,0.317433,58.468203,-46.700808,49.386724
5904,3.839652,1.57032,2.747303,-0.773362,0.84776,0.465295,57.436649,-46.669909,50.193953
5905,3.946395,1.069764,2.42335,-0.740212,0.782197,0.63713,56.397734,-46.730897,51.041539
5906,3.992832,0.748776,2.210572,-0.650037,0.699733,0.811255,55.392213,-46.891825,51.908305
5907,4.167081,0.860786,1.96552,-0.52864,0.629147,0.984496,54.41989,-47.145812,52.826256
5908,4.427953,0.908307,1.743977,-0.412452,0.524386,1.138029,53.502225,-47.49714,53.751526
5909,4.758566,1.073658,1.587191,-0.288771,0.428106,1.296553,52.625199,-47.943187,54.716224
5910,5.052678,1.328738,1.536206,-0.190751,0.313645,1.452352,51.784385,-48.491443,55.695734
5911,5.512123,1.586086,1.495365,-0.118092,0.193868,1.60255,50.95736,-49.139051,56.707686
5912,6.040327,1.942002,1.57084,-0.062922,0.086895,1.753027,50.126651,-49.883724,57.751064
5913,6.498817,2.274044,1.664552,-0.0407,-0.026659,1.895457,49.266013,-50.721491,58.842226
5914,7.049356,2.550436,1.822977,-0.038137,-0.130452,2.033562,48.358236,-51.648355,59.977764
5915,7.633124,2.809331,1.898902,-0.049336,-0.221712,2.160507,47.377331,-52.651255,61.187094
5916,8.236981,2.943366,1.973199,-0.063746,-0.325328,2.276922,46.32815,-53.731349,62.450446
5917,8.841391,3.000631,1.930664,-0.072413,-0.414456,2.378793,45.194725,-54.873179,63.797803
5918,9.373776,2.991178,1.934195,-0.070423,-0.506293,2.471628,43.982062,-56.074705,65.219296
5919,10.012841,2.939401,1.956433,-0.036335,-0.5966,2.546043,42.697764,-57.324235,66.733629
5920,10.740518,2.863675,1.811845,0.026491,-0.677819,2.616075,41.346017,-58.616922,68.34456
5921,11.430841,2.852698,1.752029,0.119762,-0.747023,2.672576,39.922577,-59.938734,70.082628
5922,12.056126,2.825372,1.645238,0.237361,-0.819684,2.704845,38.449916,-61.282755,71.927467
5923,12.64317,2.837961,1.57494,0.338119,-0.882454,2.722785,36.899636,-62.636286,73.90554
5924,13.235495,2.899834,1.604284,0.416283,-0.937296,2.735624,35.243577,-63.994038,76.02454
5925,13.950188,2.913679,1.863414,0.410809,-1.011342,2.740389,33.423481,-65.358097,78.300274
5926,14.72117,2.660427,1.6114,0.494048,-1.079799,2.727314,31.483085,-66.719503,80.732007
5927,15.324701,2.752637,1.701596,0.604681,-1.151682,2.732759,29.382613,-68.081681,83.38378
5928,16.142881,2.819334,1.602181,0.718545,-1.197062,2.714807,27.100845,-69.422802,86.272264
5929,16.585625,2.932952,1.453233,0.853402,-1.207069,2.65205,24.645067,-70.70843,89.405569
5930,16.424304,3.038339,1.30549,1.004704,-1.204832,2.556754,22.047843,-71.923629,92.753546
5931,15.912571,3.067432,1.251625,1.169756,-1.148539,2.475317,19.240784,-73.039829,96.400378
5932,15.622231,3.177456,1.353606,1.289574,-1.115093,2.338233,16.314556,-74.058088,100.22055
5933,15.225856,3.210542,1.531261,1.345163,-1.05639,2.204414,13.226507,-74.965679,104.224823
5934,14.516715,2.84408,1.841347,1.387141,-0.944413,2.078989,9.967419,-75.735859,108.413574
5935,13.754663,2.927307,1.994775,1.506465,-0.825844,1.91929,6.71828,-76.363675,112.650742
5936,13.237283,2.989164,2.068329,1.589801,-0.698528,1.731969,3.623212,-76.852057,116.767434
5937,12.664995,3.05555,2.088964,1.674971,-0.544299,1.543283,0.792008,-77.197473,120.657549
5938,11.876473,2.948335,1.966102,1.700314,-0.425132,1.328091,-1.629036,-77.435537,124.136549
5939,11.219438,2.693135,1.704524,1.684064,-0.351925,1.107195,-3.576589,-77.607631,127.119398
5940,11.425393,2.298016,1.271587,1.711965,-0.274981,0.907701,-5.027794,-77.72562,129.607799
5941,11.344,2.04993,0.95811,1.806252,-0.163207,0.747296,-6.004153,-77.776925,131.665825
5942,11.090421,1.999048,0.803353,1.914774,-0.075617,0.608302,-6.534508,-77.781763,133.329865
