PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
5758,9.643609,1.234271,-1.748012,-0.003487,-0.000844,0.014152,152.787203,-78.353425,-161.150719
5759,9.645057,0.995826,-1.756395,-0.015039,-0.00257,0.028449,152.85233,-78.35862,-161.227978
5760,9.655126,0.917414,-1.67451,-0.018052,0.004995,0.029395,152.909104,-78.367912,-161.296865
5761,9.725329,0.830174,-1.760934,0.010069,0.010471,0.022943,152.958223,-78.378258,-161.342292
5762,9.755332,0.741336,-1.966819,0.055825,0.026891,0.027197,153.024376,-78.398128,-161.377535
5763,9.690937,1.137785,-2.030061,0.074539,0.03784,0.021478,153.073775,-78.421365,-161.387569
5764,9.671947,1.33803,-1.843423,0.029736,0.045432,0.010079,153.059009,-78.446255,-161.355469
5765,9.773591,1.271882,-1.61868,0.001353,0.063567,0.008233,152.999322,-78.480116,-161.295646
5766,10.049602,1.280366,-1.459747,-0.057426,0.090617,0.00176,152.85533,-78.525873,-161.182644
5767,10.172767,0.969077,-1.526436,-0.035163,0.109535,0.001231,152.69508,-78.581508,-161.039417
5768,10.054302,1.072388,-1.362044,-0.02717,0.113548,-0.006794,152.514481,-78.636548,-160.871433
5769,9.938135,1.024662,-1.38984,-0.005045,0.125278,-0.023842,152.285122,-78.69249,-160.641605
5770,9.922072,1.526082,-1.197587,0.067522,0.139052,-0.061019,151.982934,-78.745652,-160.294378
5771,9.922961,2.173648,-1.101912,0.13893,0.160276,-0.121776,151.533129,-78.793082,-159.755554
5772,9.791189,3.409444,-0.863832,0.271261,0.204762,-0.21254,150.863879,-78.836295,-158.91528
5773,9.441559,3.95849,-0.912072,0.291581,0.257795,-0.33164,149.820285,-78.869732,-157.681232
5774,8.95266,4.213835,-0.985467,0.417493,0.280644,-0.439571,148.541786,-78.877874,-156.134821
5775,8.93413,3.981382,-1.143178,0.472903,0.300716,-0.5246,147.050073,-78.86278,-154.337931
5776,9.115344,3.542238,-1.359792,0.540168,0.3056,-0.584711,145.455271,-78.821352,-152.397316
5777,9.223321,3.175617,-1.339701,0.594739,0.298994,-0.63565,143.794313,-78.74957,-150.356982
5778,9.310284,2.382487,-1.809285,0.555909,0.266121,-0.678284,142.103504,-78.636202,-148.30826
5779,9.215663,2.305039,-1.81012,0.48855,0.240507,-0.701399,140.40453,-78.491002,-146.289837
5780,9.286053,2.210876,-1.817605,0.284153,0.230364,-0.710527,138.641457,-78.326251,-144.324235
5781,9.043516,1.799102,-1.750229,0.24417,0.24907,-0.69351,136.902838,-78.163545,-142.405058
