PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
5758,3.150622,-0.339637,9.797517,-0.212095,0.056663,-0.025796,-4.653036,-15.12975,12.598158
5759,3.305488,-0.891693,9.615116,-0.494583,0.049732,-0.002174,-4.935586,-15.102223,12.596264
5760,3.879946,-2.138012,9.283415,-0.579703,0.103755,0.062474,-5.276189,-15.039979,12.626741
5761,5.795034,-2.870159,9.588101,-0.380762,0.170714,0.2706,-5.533633,-14.928563,12.778507
5762,4.874202,-6.680654,9.24546,-0.228167,0.421481,0.417372,-5.721259,-14.664947,12.999197
5763,4.928422,-8.446359,10.337813,0.702872,0.5175,0.601266,-5.400457,-14.337098,13.325712
5764,5.049794,-7.480583,11.364249,1.379784,0.611759,0.790045,-4.716018,-13.948194,13.757869
5765,4.865574,-6.419606,11.790198,1.617437,0.663037,1.001055,-3.923812,-13.527368,14.319753
5766,4.16351,-6.353196,11.589941,1.644161,0.725355,1.218002,-3.140658,-13.069691,15.008202
5767,3.228982,-6.205941,11.266377,1.608897,0.768245,1.436368,-2.403894,-12.591958,15.832452
5768,2.532804,-5.582596,11.043475,1.41394,0.791173,1.661007,-1.798634,-12.104156,16.788035
5769,2.04385,-5.732968,10.888299,1.125459,0.807734,1.886432,-1.382812,-11.613142,17.881012
5770,1.727928,-6.165586,10.906713,0.821227,0.793837,2.122332,-1.155112,-11.131561,19.109828
5771,1.663394,-6.470121,10.95649,0.457133,0.759866,2.385621,-1.160172,-10.670074,20.494276
5772,1.750823,-6.616382,10.69541,0.076797,0.710343,2.682945,-1.398305,-10.228923,22.046829
5773,1.565774,-6.667902,10.266842,-0.256157,0.643528,2.982418,-1.849648,-9.812534,23.772109
5774,1.243731,-6.776455,9.865093,-0.420745,0.573729,3.25255,-2.404518,-9.414938,25.647597
5775,1.063466,-6.761795,9.502439,-0.45511,0.489817,3.488103,-2.992848,-9.040662,27.657527
5776,0.884165,-6.404764,9.118934,-0.432977,0.398421,3.698335,-3.569342,-8.691561,29.784457
5777,0.725579,-6.124687,8.792146,-0.441811,0.308226,3.890165,-4.160384,-8.364702,32.021186
5778,0.5783,-5.794998,8.402595,-0.434445,0.213255,4.05443,-4.742721,-8.06268,34.350676
5779,0.536502,-5.250279,8.308306,-0.323591,0.131542,4.152928,-5.263951,-7.778915,36.736253
5780,0.230002,-4.698662,8.174786,-0.195057,0.053352,4.219153,-5.698933,-7.517687,39.160315
5781,-0.205045,-3.950432,8.057083,-0.108842,-0.022327,4.259359,-6.08415,-7.277867,41.607072
5782,-0.564182,-3.205482,7.759241,-0.100921,-0.096023,4.291529,-6.45072,-7.06426,44.075635
5783,-1.06149,-2.575059,7.33797,-0.16616,-0.179326,4.314058,-6.855072,-6.877191,46.558863
5784,-1.577995,-2.22809,6.779054,-0.294731,-0.296466,4.335988,-7.321277,-6.739357,49.061907
5785,-1.92474,-1.965626,6.275241,-0.419026,-0.439207,4.349894,-7.862894,-6.655815,51.579973
5786,-1.990605,-1.88895,6.114268,-0.522837,-0.578813,4.341478,-8.455257,-6.631262,54.105388
5787,-1.850735,-1.952317,6.181159,-0.555581,-0.712478,4.320103,-9.073101,-6.652811,56.626883
5788,-1.648292,-1.756166,6.442022,-0.46338,-0.806354,4.247461,-9.629279,-6.71348,59.119255
5789,-1.60269,-1.346166,6.671679,-0.324397,-0.900479,4.159259,-10.110734,-6.80808,61.570212
5790,-1.525561,-0.973489,6.845083,-0.16292,-0.973065,4.064734,-10.492824,-6.940383,63.977698
5791,-1.437454,-0.602395,7.17455,-0.059894,-1.032033,3.976797,-10.822645,-7.093805,66.340029
5792,-1.360457,-0.306493,7.325855,-0.038059,-1.090097,3.892363,-11.136036,-7.282477,68.665702
5793,-1.345658,-0.160557,7.178227,-0.080596,-1.144652,3.81289,-11.482357,-7.490205,70.95151
5794,-1.408544,-0.148223,6.931947,-0.159489,-1.209363,3.734396,-11.873018,-7.735985,73.206102
5795,-1.347067,-0.10788,6.627473,-0.225356,-1.295516,3.638448,-12.310674,-8.017666,75.417303
5796,-1.072867,-0.117474,6.412297,-0.267777,-1.384064,3.545819,-12.774547,-8.350864,77.593914
5797,-0.761619,-0.250141,6.4717,-0.296667,-1.434268,3.429219,-13.263549,-8.700827,79.712515
5798,-0.573186,-0.44331,6.571468,-0.253589,-1.477722,3.301105,-13.727947,-9.083043,81.773151
5799,-0.326925,-0.536014,6.910464,-0.176361,-1.535527,3.165005,-14.15507,-9.491071,83.765294
5800,-0.016244,-0.508544,6.962416,-0.115201,-1.589494,3.031552,-14.54831,-9.943158,85.700664
5801,0.265082,-0.360385,7.11475,-0.032278,-1.598117,2.877723,-14.897402,-10.403104,87.560924
5802,0.499747,-0.260765,7.442512,0.075171,-1.584645,2.71621,-15.18134,-10.876456,89.329005
5803,0.660595,-0.139473,7.653727,0.121432,-1.572629,2.560653,-15.438551,-11.351359,91.017196
5804,0.852449,-0.038113,7.792618,0.0982,-1.552806,2.413772,-15.704996,-11.837482,92.620091
5805,0.997923,-0.095493,7.778205,0.029955,-1.52979,2.276677,-16.009017,-12.317311,94.151704
5806,1.03083,-0.314475,7.749115,-0.067269,-1.507666,2.156157,-16.365903,-12.802839,95.613036
5807,1.18584,-0.776336,7.81705,-0.197045,-1.497555,2.051377,-16.797352,-13.282804,97.024064
5808,1.374173,-1.468971,7.731284,-0.305225,-1.487663,1.965551,-17.291687,-13.767991,98.387571
5809,1.647648,-2.061632,7.764016,-0.355754,-1.47556,1.883534,-17.815702,-14.239364,99.705606
5810,1.942268,-2.478228,7.813811,-0.319925,-1.444533,1.806786,-18.319616,-14.705517,100.986245
5811,2.254507,-2.648016,7.973636,-0.268643,-1.409254,1.722281,-18.79097,-15.148064,102.21612
5812,2.504848,-2.814667,8.008457,-0.214878,-1.380338,1.649471,-19.230801,-15.588324,103.409086
5813,2.63853,-3.029746,7.989098,-0.191256,-1.34057,1.580866,-19.653461,-16.002319,104.558255
5814,2.768191,-3.2596,7.862999,-0.160707,-1.297727,1.526631,-20.058307,-16.40495,105.677103
5815,2.840867,-3.509555,7.754852,-0.146626,-1.253252,1.459657,-20.449071,-16.780771,106.752241
5816,3.090705,-3.832751,7.799169,-0.134508,-1.216855,1.392682,-20.829233,-17.152364,107.78902
5817,3.622774,-4.221775,7.945385,-0.152287,-1.175746,1.319206,-21.21076,-17.502264,108.779786
5818,4.358731,-4.580521,8.130193,-0.167733,-1.138469,1.235087,-21.592982,-17.851754,109.720247
5819,5.149725,-4.946576,8.379342,-0.208011,-1.09258,1.168135,-21.988652,-18.177528,110.61879
5820,5.752832,-5.250766,8.500441,-0.274553,-1.04867,1.117816,-22.417985,-18.492204,111.481807
5821,6.082841,-5.427566,8.428754,-0.373196,-0.976918,1.083381,-22.896435,-18.763136,112.315435
5822,6.395646,-5.698679,8.534936,-0.480568,-0.902151,1.085111,-23.437047,-18.994182,113.133573
5823,6.402382,-5.937041,8.400901,-0.598057,-0.840756,1.099666,-24.045338,-19.175649,113.95175
5824,6.49272,-6.24273,8.152719,-0.692645,-0.781824,1.09332,-24.70629,-19.325569,114.751107
5825,6.748995,-6.696429,7.975766,-0.725391,-0.734035,1.068692,-25.378814,-19.442023,115.530738
5826,7.318181,-7.165527,7.892809,-0.729179,-0.695958,1.022878,-26.045047,-19.547488,116.273567
5827,7.986192,-7.671743,8.112886,-0.686437,-0.666203,0.957074,-26.673011,-19.641429,116.979114
5828,8.592032,-8.211889,8.240118,-0.675064,-0.655433,0.915533,-27.288315,-19.738574,117.655742
5829,9.064001,-8.533629,8.343112,-0.681237,-0.648671,0.872551,-27.899762,-19.832377,118.314033
5830,9.404421,-8.800912,8.488698,-0.734702,-0.634302,0.814542,-28.531846,-19.932456,118.933242
5831,9.743521,-8.973676,8.625211,-0.768325,-0.62221,0.737612,-29.169373,-20.037352,119.514524
5832,10.145729,-8.987648,8.880769,-0.787937,-0.604024,0.636448,-29.799575,-20.159635,120.033115
5833,10.554741,-8.882105,9.265255,-0.811196,-0.572608,0.525977,-30.42136,-20.289364,120.490142
5834,10.892722,-8.602555,9.377789,-0.863759,-0.552232,0.423411,-31.053942,-20.437846,120.884262
5835,11.059903,-8.424055,9.453968,-0.950545,-0.519611,0.329564,-31.717727,-20.591503,121.225982
5836,11.067828,-8.42037,9.291047,-1.075103,-0.48555,0.257893,-32.436955,-20.749295,121.516923
5837,10.887342,-8.506752,9.145604,-1.18483,-0.462463,0.175679,-33.203489,-20.915652,121.764065
5838,10.676961,-8.713374,9.044689,-1.256414,-0.471602,0.087393,-33.997091,-21.113558,121.96816
5839,10.48926,-8.831404,9.009245,-1.292248,-0.508163,-0.003978,-34.801788,-21.354283,122.145851
5840,10.390173,-8.863395,9.081616,-1.292497,-0.575971,-0.093955,-35.600219,-21.655547,122.302283
5841,10.203306,-8.757137,9.326496,-1.271969,-0.651369,-0.193421,-36.382535,-22.022318,122.445235
5842,10.04936,-8.471981,9.754349,-1.21598,-0.73518,-0.301946,-37.125898,-22.463922,122.56706
5843,9.799575,-8.018001,9.976938,-1.133722,-0.800339,-0.418358,-37.814433,-22.974155,122.667062
5844,9.401115,-7.574516,9.916716,-1.06175,-0.867526,-0.528568,-38.452569,-23.552739,122.741132
5845,9.000865,-7.245387,9.588735,-0.970765,-0.894731,-0.639631,-39.026028,-24.182768,122.782912
5846,8.692843,-7.309137,9.278919,-0.863411,-0.925955,-0.745437,-39.523352,-24.864458,122.787925
5847,8.339083,-7.437629,8.96889,-0.707125,-0.960941,-0.85234,-39.919159,-25.601414,122.765636
5848,8.15059,-7.444792,8.753648,-0.540218,-1.028786,-0.950067,-40.210766,-26.403533,122.723532
5849,8.060535,-7.646322,8.575148,-0.405897,-1.109483,-1.019252,-40.428269,-27.267949,122.690346
5850,7.994149,-7.60494,8.502956,-0.263722,-1.195816,-1.0662,-40.569287,-28.186318,122.667509
5851,8.062385,-7.270853,8.472387,-0.151693,-1.296156,-1.105634,-40.659842,-29.164622,122.675651
5852,8.100205,-6.806351,8.46188,-0.084742,-1.385654,-1.146184,-40.719771,-30.195405,122.697534
5853,8.207041,-6.114104,8.363623,-0.023448,-1.462113,-1.217553,-40.744872,-31.286364,122.717844
5854,8.475517,-5.505307,8.190857,0.012664,-1.551147,-1.320843,-40.741913,-32.454284,122.724961
5855,8.675086,-4.993718,7.976284,-0.016099,-1.64262,-1.434114,-40.746596,-33.704789,122.714342
5856,8.767739,-4.630582,7.561048,-0.117809,-1.734052,-1.558282,-40.795494,-35.040912,122.680438
5857,8.695654,-4.448926,7.091276,-0.248297,-1.819232,-1.691323,-40.901475,-36.464634,122.616303
5858,8.622431,-4.530594,6.583616,-0.373423,-1.884136,-1.830057,-41.051906,-37.967881,122.510373
5859,8.745937,-5.088566,6.22857,-0.453808,-1.929596,-1.954827,-41.219066,-39.539022,122.36016
5860,8.883115,-5.383036,5.803638,-0.493047,-1.993978,-2.071391,-41.384688,-41.181268,122.178843
5861,9.151908,-5.437803,5.385429,-0.480167,-2.058407,-2.188139,-41.516896,-42.897026,121.963572
5862,9.26876,-5.180109,5.075067,-0.446611,-2.118755,-2.301372,-41.598864,-44.680784,121.711464
5863,9.364308,-4.729963,4.697012,-0.41194,-2.183722,-2.409462,-41.629806,-46.535086,121.422566
5864,9.394535,-4.264765,4.286298,-0.396456,-2.249169,-2.493008,-41.625925,-48.447859,121.108447
5865,9.39065,-3.911169,3.918087,-0.394052,-2.299118,-2.560053,-41.592881,-50.409088,120.765788
5866,9.450566,-3.551886,3.645229,-0.375513,-2.335504,-2.614289,-41.515481,-52.404702,120.390826
5867,9.547968,-3.144525,3.43085,-0.38115,-2.364887,-2.641843,-41.41485,-54.424861,119.991588
5868,9.675026,-2.811928,3.221644,-0.415926,-2.375409,-2.66349,-41.295251,-56.455441,119.556373
5869,9.710428,-2.543784,2.97366,-0.436293,-2.356111,-2.671484,-41.134769,-58.482187,119.067574
5870,9.598834,-2.374581,2.830647,-0.456745,-2.327215,-2.656039,-40.933504,-60.487728,118.529609
5871,9.370169,-2.210595,2.752516,-0.483077,-2.28457,-2.621144,-40.693133,-62.46293,117.939053
5872,9.023835,-2.040855,2.674052,-0.522604,-2.224951,-2.576525,-40.406067,-64.391959,117.282749
5873,8.544852,-2.029357,2.623032,-0.56132,-2.148647,-2.522039,-40.056695,-66.268222,116.542452
5874,8.083942,-2.01862,2.52728,-0.600897,-2.056704,-2.452899,-39.630068,-68.074105,115.705507
5875,7.528052,-2.01111,2.448819,-0.624523,-1.948021,-2.379916,-39.087354,-69.804987,114.738667
5876,7.030521,-1.991097,2.381323,-0.628031,-1.837443,-2.296881,-38.400426,-71.450407,113.628602
5877,6.568462,-1.968813,2.286794,-0.652244,-1.713384,-2.210386,-37.542361,-73.006609,112.333377
5878,6.191554,-1.882973,2.209969,-0.646439,-1.605405,-2.124958,-36.475734,-74.474717,110.836046
5879,5.899171,-1.826846,2.138061,-0.639901,-1.485247,-2.036104,-35.148519,-75.850429,109.082174
5880,5.6734,-1.762237,2.098081,-0.625888,-1.368072,-1.951311,-33.501276,-77.128974,107.018807
5881,5.472845,-1.71671,2.020165,-0.606795,-1.252715,-1.867653,-31.4692,-78.312029,104.581895
5882,5.37798,-1.668612,1.968274,-0.57696,-1.137541,-1.784284,-28.97859,-79.390657,101.706037
5883,5.34975,-1.640468,1.941451,-0.55357,-1.022274,-1.709572,-25.933797,-80.364793,98.289609
5884,5.438427,-1.525731,1.980399,-0.539134,-0.923237,-1.636096,-22.289638,-81.23152,94.284617
5885,5.440452,-1.391063,1.992076,-0.555631,-0.84971,-1.566265,-18.02055,-82.000368,89.646454
5886,5.465813,-1.216997,2.022131,-0.618142,-0.777396,-1.503651,-13.090301,-82.661523,84.313948
5887,5.597637,-1.223904,2.022249,-0.694544,-0.707087,-1.459185,-7.416069,-83.211303,78.194296
5888,5.674653,-1.235,2.09629,-0.776228,-0.64115,-1.41578,-1.066798,-83.638533,71.3549
5889,5.858061,-1.224565,2.145372,-0.875733,-0.570888,-1.382444,5.845488,-83.933908,63.89612
5890,5.989231,-1.23606,2.147495,-0.983064,-0.508171,-1.347423,13.014849,-84.094928,56.120703
5891,6.183387,-1.311537,2.197056,-1.067374,-0.454531,-1.310282,20.123515,-84.130902,48.358725
5892,6.267727,-1.447741,2.255367,-1.158076,-0.392848,-1.272841,26.799603,-84.046553,40.979432
5893,6.234412,-1.607292,2.288027,-1.227201,-0.349464,-1.234805,32.852352,-83.867948,34.185079
5894,6.201928,-1.842785,2.264938,-1.2791,-0.303941,-1.204288,38.169373,-83.608072,28.098407
5895,6.037264,-1.850429,2.242021,-1.292852,-0.254462,-1.137415,42.587279,-83.296246,22.905257
5896,5.734409,-1.699648,2.330168,-1.338434,-0.209435,-1.069852,46.156398,-82.952525,18.537363
5897,5.625752,-1.684734,2.291288,-1.400713,-0.197422,-0.997846,49.061119,-82.605876,14.799925
5898,5.517198,-1.777531,2.24561,-1.448476,-0.173532,-0.917772,51.345448,-82.26472,11.657818
5899,5.44856,-1.846219,2.26558,-1.492186,-0.15253,-0.84079,53.117134,-81.936901,9.005575
5900,5.466392,-1.932839,2.185129,-1.506829,-0.155416,-0.763315,54.543612,-81.635644,6.691482
5901,5.565315,-1.996117,2.1654,-1.493225,-0.145722,-0.677328,55.632054,-81.364803,4.725554
5902,5.708597,-2.101259,2.186509,-1.437239,-0.146416,-0.598843,56.507405,-81.126203,3.00616
5903,5.896509,-2.122012,2.282181,-1.357443,-0.160371,-0.51832,57.242439,-80.927498,1.47438
5904,6.087881,-2.18357,2.423849,-1.242777,-0.195054,-0.44641,57.969706,-80.770657,0.015957
5905,6.275962,-2.094062,2.677841,-1.112678,-0.237032,-0.382402,58.738106,-80.655383,-1.408773
5906,6.629487,-2.022919,2.99763,-1.002295,-0.267137,-0.32553,59.540162,-80.573037,-2.804322
5907,7.100747,-1.868888,3.406846,-0.914425,-0.27467,-0.292593,60.331683,-80.506949,-4.137938
5908,7.48682,-1.622806,3.884482,-0.819225,-0.255772,-0.281552,61.096438,-80.437173,-5.389882
5909,7.700107,-1.412428,4.17147,-0.774293,-0.239937,-0.282146,61.815309,-80.361155,-6.568824
5910,7.812388,-1.269016,3.999087,-0.790576,-0.256475,-0.277373,62.561932,-80.288376,-7.786267
5911,7.877236,-1.329366,3.753041,-0.792073,-0.28311,-0.272423,63.352572,-80.223516,-9.048765
5912,7.961862,-1.383634,3.625918,-0.789357,-0.327394,-0.258197,64.254722,-80.172796,-10.423791
5913,8.039867,-1.571871,3.642854,-0.774266,-0.376081,-0.242752,65.264375,-80.139453,-11.898506
5914,8.045864,-1.88874,3.652941,-0.695146,-0.408293,-0.21866,66.389543,-80.12015,-13.445396
5915,8.024872,-2.083447,3.890957,-0.560475,-0.44754,-0.192403,67.657484,-80.119568,-15.058009
5916,8.177071,-2.020183,4.253402,-0.413147,-0.478623,-0.16973,69.092802,-80.129411,-16.755733
5917,8.491354,-1.860783,4.612149,-0.268706,-0.495583,-0.14323,70.619953,-80.151256,-18.461541
5918,8.79776,-1.616655,5.139199,-0.137531,-0.486095,-0.105435,72.176769,-80.182011,-20.122087
5919,9.178726,-1.354509,5.584895,-0.038233,-0.481967,-0.071643,73.736098,-80.225085,-21.726095
5920,9.625716,-1.266796,5.771317,0.04598,-0.478076,-0.031492,75.328513,-80.279899,-23.315649
5921,10.057012,-1.217971,5.875779,0.143187,-0.460058,0.004134,76.88625,-80.347123,-24.81194
5922,10.498979,-1.26058,5.898587,0.246089,-0.437981,0.042007,78.445083,-80.423379,-26.250517
5923,10.975665,-1.202738,5.885321,0.338381,-0.401197,0.084527,79.90677,-80.51603,-27.535196
5924,11.421114,-1.168764,5.673545,0.391572,-0.362133,0.128541,81.291807,-80.621705,-28.712326
5925,11.832041,-1.020627,5.443912,0.4246,-0.340696,0.169381,82.604781,-80.747349,-29.795317
5926,12.151596,-0.923162,5.076297,0.420976,-0.317711,0.192525,83.88394,-80.877423,-30.847307
5927,12.491659,-0.956707,4.891855,0.417133,-0.288097,0.205721,85.054148,-81.01316,-31.789146
5928,12.748168,-1.126697,4.877872,0.441079,-0.253529,0.210196,86.171127,-81.143462,-32.664533
5929,13.086914,-1.342672,5.058229,0.502521,-0.197153,0.210837,87.111288,-81.273482,-33.32329
5930,13.552078,-1.510454,5.428986,0.609658,-0.127982,0.222033,87.905335,-81.402868,-33.773705
5931,14.334913,-1.651772,5.891131,0.737972,-0.022068,0.23956,88.348146,-81.54355,-33.792555
5932,15.034696,-1.780612,6.176235,0.893446,0.122234,0.263597,88.35557,-81.691607,-33.283169
5933,15.467155,-1.88124,6.318102,1.08219,0.283624,0.331778,87.766866,-81.87933,-32.060406
5934,15.432547,-1.829107,6.244151,1.273738,0.465031,0.437741,86.514956,-82.115673,-30.05976
5935,14.998731,-1.717612,5.863154,1.437858,0.648548,0.568367,84.374515,-82.413918,-27.066689
5936,14.450781,-1.504517,5.296531,1.539081,0.851694,0.704126,81.147128,-82.751978,-22.923383
5937,14.056894,-1.195101,4.59204,1.597588,1.037539,0.85362,76.533265,-83.119409,-17.350276
5938,13.814701,-0.78525,3.959499,1.590865,1.194388,0.995874,70.482387,-83.472067,-10.340639
5939,13.769586,-0.538456,3.356202,1.529425,1.334945,1.109936,62.756833,-83.75355,-1.683545
5940,13.872397,-0.476896,2.868169,1.44143,1.453389,1.207654,53.658099,-83.902783,8.29811
5941,13.969672,-0.566184,2.353964,1.339464,1.570379,1.299607,43.448267,-83.863108,19.339632
5942,14.05093,-0.658155,1.917954,1.283507,1.677002,1.3847,33.085376,-83.598314,30.503726
5943,13.932012,-0.77098,1.622265,1.258034,1.744273,1.477851,23.282595,-83.110775,41.099745
5944,13.766296,-0.772703,1.378586,1.25923,1.795483,1.54807,14.750477,-82.424712,50.426559
5945,13.401008,-0.630905,1.361067,1.230945,1.856092,1.595981,7.583166,-81.550501,58.378005
5946,13.039812,-0.550867,1.467921,1.190706,1.896881,1.62682,1.806195,-80.541974,64.915947
5947,12.878971,-0.499081,1.542262,1.128665,1.938222,1.647873,-2.849897,-79.415291,70.302167
5948,12.825227,-0.452606,1.579184,1.011873,1.982794,1.67516,-6.627864,-78.203069,74.743508
5949,12.675725,-0.407247,1.718023,0.856727,2.029661,1.712097,-9.791803,-76.904928,78.487573
5950,12.227987,-0.483873,1.633256,0.703071,2.078117,1.748398,-12.458509,-75.543069,81.647223
5951,11.627712,-0.518688,1.679981,0.528694,2.130439,1.792297,-14.779361,-74.108379,84.367054
5952,11.007749,-0.669137,1.688119,0.377479,2.157869,1.828637,-16.809911,-72.633517,86.711184
5953,10.473387,-0.779303,1.560143,0.240522,2.187038,1.864424,-18.616987,-71.108755,88.758893
5954,9.941299,-0.79087,1.476838,0.117222,2.185623,1.893989,-20.246383,-69.566972,90.55975
5955,9.396969,-0.928617,1.370244,-0.00549,2.170912,1.918078,-21.744929,-68.006354,92.165026
5956,8.860764,-1.03782,1.184838,-0.116866,2.137123,1.947516,-23.153452,-66.448847,93.61927
