PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
5758,8.891048,-0.785393,-3.844033,-0.030676,-0.051913,-0.014754,-170.11805,-65.962422,166.447289
5759,8.886865,-0.734883,-3.927144,-0.029278,-0.065173,-0.014931,-170.173909,-65.928941,166.49271
5760,8.878798,-0.699484,-3.890441,-0.039332,-0.079941,-0.015858,-170.238327,-65.887378,166.542317
5761,8.888557,-0.719029,-3.920401,-0.064652,-0.08442,-0.016706,-170.320516,-65.843157,166.59441
5762,8.972706,-0.808175,-3.888952,-0.066667,-0.085193,-0.017442,-170.403652,-65.798659,166.646437
5763,9.020292,-0.778879,-3.813776,-0.05626,-0.083698,-0.022395,-170.487543,-65.755324,166.705704
5764,8.959178,-0.726129,-3.852162,-0.066198,-0.102299,-0.019992,-170.57599,-65.701444,166.765052
5765,8.841063,-0.665343,-3.932122,-0.073944,-0.129551,-0.026037,-170.683441,-65.63245,166.839106
5766,8.764206,-0.671382,-4.027122,-0.095691,-0.156672,-0.024793,-170.805235,-65.548159,166.916259
5767,8.770219,-0.597337,-4.077627,-0.107328,-0.177843,-0.029637,-170.944742,-65.452044,167.004618
5768,8.732837,-0.545108,-4.104205,-0.13496,-0.19967,-0.027901,-171.099577,-65.343561,167.093594
5769,8.512675,-0.553407,-4.091309,-0.14347,-0.154512,-0.024601,-171.24731,-65.260023,167.168355
5770,8.234666,-0.53004,-3.981727,-0.124217,-0.111627,-0.0261,-171.374957,-65.201112,167.234302
5771,8.126726,-0.390194,-3.790294,-0.157742,-0.183009,-0.015572,-171.523723,-65.100509,167.301281
5772,8.297261,-0.419517,-3.80569,-0.258794,-0.330783,-0.00216,-171.735595,-64.915535,167.379095
5773,8.675351,-0.536007,-4.07328,-0.333975,-0.473957,0.017863,-171.992599,-64.646998,167.454305
5774,9.064341,-0.687479,-4.540494,-0.336873,-0.498809,0.027362,-172.239791,-64.363629,167.518043
5775,9.221981,-0.782391,-5.028559,-0.271739,-0.382975,0.021931,-172.435736,-64.146188,167.565385
5776,9.290885,-0.748723,-5.242361,-0.169873,-0.214337,0.013488,-172.55473,-64.025257,167.593212
5777,9.406321,-0.659396,-5.169248,-0.100583,-0.038171,0.006984,-172.615344,-64.00474,167.599193
5778,9.336307,-0.679928,-4.872308,-0.070184,0.130691,-0.003292,-172.644075,-64.081037,167.590181
5779,9.253591,-0.656956,-4.461864,-0.036343,0.23185,-0.010774,-172.647826,-64.215258,167.573869
5780,9.133805,-0.599207,-4.074768,-0.025202,0.255582,-0.009873,-172.639459,-64.362998,167.552312
5781,9.061779,-0.580403,-3.804865,-0.085617,0.196441,-0.008579,-172.674126,-64.476939,167.539013
5782,9.108392,-0.602179,-3.795751,-0.136688,0.109941,-0.004021,-172.745028,-64.541507,167.534542
5783,9.203964,-0.580857,-3.833568,-0.18224,0.002125,0.005074,-172.848597,-64.544024,167.536253
5784,9.266845,-0.585328,-3.997115,-0.205733,-0.055685,0.011824,-172.96521,-64.513328,167.538588
5785,9.190934,-0.496449,-4.094647,-0.210964,-0.066162,0.010465,-173.088784,-64.476631,167.544231
5786,9.195747,-0.460044,-4.201974,-0.222341,-0.087409,0.014819,-173.215606,-64.427692,167.547328
5787,9.157703,-0.374945,-4.173984,-0.259448,-0.094961,0.007369,-173.374278,-64.374803,167.561091
5788,9.240743,-0.41739,-4.393032,-0.329708,-0.134586,0.015347,-173.567821,-64.298976,167.569949
5789,9.160311,-0.441574,-4.585694,-0.357425,-0.11493,0.016535,-173.773622,-64.234099,167.573727
5790,9.176704,-0.529656,-4.842625,-0.327988,-0.085464,0.019869,-173.953511,-64.18595,167.568517
5791,9.12968,-0.548673,-5.043386,-0.265827,-0.029663,0.026673,-174.083543,-64.169047,167.546429
5792,9.072907,-0.54886,-5.215333,-0.201338,0.017197,0.037604,-174.157088,-64.178356,167.5037
5793,9.197682,-0.55133,-5.367777,-0.134001,0.075922,0.058111,-174.161685,-64.219826,167.426185
5794,9.358157,-0.484065,-5.414326,-0.087765,0.176494,0.073813,-174.107812,-64.317772,167.3143
5795,9.402349,-0.459813,-5.525183,-0.075254,0.324726,0.094327,-174.004021,-64.49882,167.154064
5796,9.431065,-0.485306,-5.565888,-0.058118,0.478271,0.104055,-173.855847,-64.766656,166.956976
5797,9.509301,-0.483686,-5.39888,-0.028777,0.594359,0.122529,-173.649635,-65.099148,166.71376
5798,9.509737,-0.642013,-5.29624,-0.009539,0.691598,0.137698,-173.392416,-65.485598,166.428338
5799,9.523529,-0.613515,-5.176261,0.074812,0.829653,0.14097,-173.053423,-65.949749,166.106097
5800,9.333581,-0.567412,-4.900006,0.131658,0.897136,0.130677,-172.669846,-66.45211,165.773046
5801,9.377141,-0.546208,-4.750295,0.081831,0.861416,0.130321,-172.307712,-66.933365,165.432395
